DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DDR1);7(DDL1)
2020-11-17 00:00:00;12;7;5;2;1;1;0
2020-11-17 00:15:00;21;4;8;2;3;6;5
2020-11-17 00:30:00;9;2;7;1;3;6;5
2020-11-17 00:45:00;10;3;2;3;2;4;3
2020-11-17 01:00:00;7;0;4;2;2;0;1
2020-11-17 01:15:00;7;2;5;0;2;2;3
2020-11-17 01:30:00;5;0;6;1;2;2;3
2020-11-17 01:45:00;6;2;11;2;3;4;2
2020-11-17 02:00:00;2;1;4;5;5;4;1
2020-11-17 02:15:00;5;2;6;3;3;4;7
2020-11-17 02:30:00;1;1;7;3;4;4;3
2020-11-17 02:45:00;9;0;5;1;4;6;2
2020-11-17 03:00:00;7;1;3;1;2;5;3
2020-11-17 03:15:00;5;2;2;1;4;6;2
2020-11-17 03:30:00;5;1;9;1;1;3;1
2020-11-17 03:45:00;11;5;12;2;3;3;2
2020-11-17 04:00:00;3;2;6;4;1;6;4
2020-11-17 04:15:00;8;9;11;2;2;0;2
2020-11-17 04:30:00;4;6;15;4;2;2;1
2020-11-17 04:45:00;15;10;37;9;2;1;1
2020-11-17 05:00:00;18;12;67;15;0;3;3
2020-11-17 05:15:00;55;22;94;34;1;0;0
2020-11-17 05:30:00;47;25;96;53;0;0;0
2020-11-17 05:45:00;54;45;89;62;1;0;0
2020-11-17 06:00:00;79;56;95;55;1;0;0
2020-11-17 06:15:00;67;46;139;88;4;0;0
2020-11-17 06:30:00;105;67;136;75;4;1;1
2020-11-17 06:45:00;119;81;166;96;6;0;0
2020-11-17 07:00:00;154;69;139;91;3;1;2
2020-11-17 07:15:00;199;102;171;85;15;1;2
2020-11-17 07:30:00;199;129;197;110;19;2;1
2020-11-17 07:45:00;180;121;196;114;13;0;1
2020-11-17 08:00:00;140;89;150;83;12;0;0
2020-11-17 08:15:00;146;92;152;73;7;0;1
2020-11-17 08:30:00;117;94;141;72;17;1;1
2020-11-17 08:45:00;118;91;132;90;15;4;0
2020-11-17 09:00:00;121;83;122;58;11;2;2
2020-11-17 09:15:00;122;85;131;61;9;0;1
2020-11-17 09:30:00;108;97;140;63;6;0;1
2020-11-17 09:45:00;116;76;167;85;10;2;1
2020-11-17 10:00:00;144;87;115;56;10;1;0
2020-11-17 10:15:00;126;82;139;56;7;2;1
2020-11-17 10:30:00;119;98;154;71;9;2;1
2020-11-17 10:45:00;128;102;149;70;10;3;0
2020-11-17 11:00:00;106;92;162;63;5;0;3
2020-11-17 11:15:00;139;104;146;76;7;3;2
2020-11-17 11:30:00;127;117;128;77;10;0;4
2020-11-17 11:45:00;140;120;134;55;8;3;1
2020-11-17 12:00:00;146;108;155;84;4;3;7
2020-11-17 12:15:00;133;99;143;96;10;1;5
2020-11-17 12:30:00;142;127;150;69;12;4;2
2020-11-17 12:45:00;145;111;169;77;8;2;3
2020-11-17 13:00:00;154;120;196;103;9;3;4
2020-11-17 13:15:00;133;102;176;101;12;2;3
2020-11-17 13:30:00;128;98;174;87;9;4;5
2020-11-17 13:45:00;170;86;135;92;6;1;1
2020-11-17 14:00:00;139;110;169;92;4;4;3
2020-11-17 14:15:00;154;124;123;73;11;2;2
2020-11-17 14:30:00;182;125;162;84;6;1;2
2020-11-17 14:45:00;188;136;150;90;16;4;4
2020-11-17 15:00:00;165;127;155;89;11;3;2
2020-11-17 15:15:00;182;126;134;91;18;5;1
2020-11-17 15:30:00;188;126;179;95;13;4;2
2020-11-17 15:45:00;189;139;170;107;13;3;4
2020-11-17 16:00:00;200;150;167;108;23;6;3
2020-11-17 16:15:00;187;173;189;111;24;8;5
2020-11-17 16:30:00;186;131;202;95;11;5;3
2020-11-17 16:45:00;194;180;154;91;15;4;2
2020-11-17 17:00:00;196;152;199;99;10;1;6
2020-11-17 17:15:00;198;171;173;91;13;5;7
2020-11-17 17:30:00;170;135;153;94;9;3;2
2020-11-17 17:45:00;159;126;160;80;8;4;4
2020-11-17 18:00:00;143;101;162;74;2;7;3
2020-11-17 18:15:00;138;94;148;65;9;0;1
2020-11-17 18:30:00;112;79;122;51;7;1;2
2020-11-17 18:45:00;100;92;97;39;5;2;3
2020-11-17 19:00:00;109;67;98;49;1;3;4
2020-11-17 19:15:00;77;67;89;49;3;3;4
2020-11-17 19:30:00;76;31;82;39;0;1;1
2020-11-17 19:45:00;59;44;79;25;3;1;2
2020-11-17 20:00:00;61;49;77;28;2;1;0
2020-11-17 20:15:00;65;47;68;25;0;0;0
2020-11-17 20:30:00;54;41;58;22;2;1;0
2020-11-17 20:45:00;39;44;68;34;1;1;1
2020-11-17 21:00:00;49;31;63;26;2;1;1
2020-11-17 21:15:00;42;29;68;30;2;3;3
2020-11-17 21:30:00;45;29;48;18;0;2;1
2020-11-17 21:45:00;66;43;43;11;7;2;1
2020-11-17 22:00:00;46;59;36;9;8;0;1
2020-11-17 22:15:00;34;35;45;12;1;1;0
2020-11-17 22:30:00;32;20;39;9;3;0;1
2020-11-17 22:45:00;26;16;30;9;2;3;1
2020-11-17 23:00:00;19;9;24;4;0;1;1
2020-11-17 23:15:00;17;17;23;4;0;1;1
2020-11-17 23:30:00;13;7;11;6;2;0;2
