DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DF1);8(DH1);9(DH2);10(DH3);11(DH4)
2019-08-12 00:00:00;0;2;0;6;2;3;4;17;10;1;1
2019-08-12 00:15:00;1;2;0;5;8;47;4;12;10;5;4
2019-08-12 00:30:00;1;3;0;9;6;3;3;4;2;0;0
2019-08-12 00:45:00;2;2;0;8;4;5;2;5;6;5;3
2019-08-12 01:00:00;0;0;0;3;3;3;0;4;5;0;0
2019-08-12 01:15:00;1;0;0;8;8;4;1;6;6;1;1
2019-08-12 01:30:00;0;3;0;1;2;2;1;4;5;1;0
2019-08-12 01:45:00;0;2;0;2;0;0;1;4;4;0;0
2019-08-12 02:00:00;0;0;0;2;4;3;2;3;2;0;0
2019-08-12 02:15:00;0;0;0;2;1;1;2;5;4;1;1
2019-08-12 02:30:00;0;1;0;3;1;1;1;2;5;2;2
2019-08-12 02:45:00;0;0;0;4;4;2;1;1;2;0;0
2019-08-12 03:00:00;0;0;0;4;2;1;1;2;2;0;0
2019-08-12 03:15:00;0;0;0;2;1;0;1;3;1;0;0
2019-08-12 03:30:00;0;2;0;6;1;1;0;3;1;0;0
2019-08-12 03:45:00;0;0;0;1;1;1;1;3;6;3;3
2019-08-12 04:00:00;0;0;0;9;2;2;0;4;1;1;1
2019-08-12 04:15:00;0;2;0;7;3;2;0;2;3;1;0
2019-08-12 04:30:00;0;3;0;4;3;3;0;8;6;3;3
2019-08-12 04:45:00;0;3;1;8;3;1;0;12;9;1;0
2019-08-12 05:00:00;1;0;0;14;9;2;0;10;6;2;2
2019-08-12 05:15:00;1;11;1;19;14;5;5;21;12;4;3
2019-08-12 05:30:00;3;8;3;19;9;3;5;31;30;11;7
2019-08-12 05:45:00;2;15;3;19;25;12;4;51;58;19;13
2019-08-12 06:00:00;3;12;6;20;11;2;2;39;42;12;9
2019-08-12 06:15:00;4;18;2;29;10;1;8;54;63;19;14
2019-08-12 06:30:00;1;31;6;42;36;18;8;87;82;15;9
2019-08-12 06:45:00;8;22;2;55;37;9;14;76;89;21;13
2019-08-12 07:00:00;9;22;5;41;32;10;14;63;79;11;9
2019-08-12 07:15:00;5;22;5;53;32;4;24;83;94;18;15
2019-08-12 07:30:00;10;29;5;71;41;15;26;88;97;18;16
2019-08-12 07:45:00;8;29;2;57;45;9;27;83;81;10;10
2019-08-12 08:00:00;5;25;6;64;39;12;24;77;97;17;12
2019-08-12 08:15:00;8;15;6;74;40;10;22;69;79;16;14
2019-08-12 08:30:00;6;28;5;50;32;10;22;60;76;10;8
2019-08-12 08:45:00;4;18;3;80;59;60;16;64;69;12;9
2019-08-12 09:00:00;8;23;2;55;36;12;27;65;61;13;8
2019-08-12 09:15:00;11;25;5;61;31;8;25;65;47;10;6
2019-08-12 09:30:00;16;21;6;67;47;6;30;76;72;8;5
2019-08-12 09:45:00;8;20;5;77;39;10;22;65;66;6;4
2019-08-12 10:00:00;7;22;3;76;47;13;29;76;66;10;5
2019-08-12 10:15:00;5;18;7;86;47;10;31;55;51;13;12
2019-08-12 10:30:00;10;21;1;87;51;10;38;69;68;16;9
2019-08-12 10:45:00;16;29;6;99;41;11;17;73;76;8;8
2019-08-12 11:00:00;10;28;2;84;51;15;23;58;46;4;4
2019-08-12 11:15:00;15;55;12;104;74;17;33;76;68;9;5
2019-08-12 11:30:00;9;30;8;78;58;16;22;59;64;12;11
2019-08-12 11:45:00;12;24;5;106;77;13;24;61;53;3;3
2019-08-12 12:00:00;12;26;4;93;62;15;44;60;59;3;3
2019-08-12 12:15:00;20;23;4;106;62;17;24;68;60;7;5
2019-08-12 12:30:00;9;17;3;85;47;12;29;57;57;3;3
2019-08-12 12:45:00;6;24;3;93;74;21;34;61;55;8;6
2019-08-12 13:00:00;11;23;7;85;50;9;26;68;49;4;4
2019-08-12 13:15:00;8;16;2;81;69;17;31;49;42;6;4
2019-08-12 13:30:00;12;29;3;87;50;10;42;70;57;9;10
2019-08-12 13:45:00;9;22;5;94;49;16;25;67;67;10;12
