DATUM;1(RES1);2(DE1);3(DE2);4(DH1);5(DH2);6(DDL1);7(DDL2);8(DAL1);9(RES2);10(DBR1);11(DBR2)
2020-03-24 00:00:00;5;6;5;3;3;0;0;0;0;0;0
2020-03-24 00:15:00;8;9;6;5;1;1;1;4;0;1;1
2020-03-24 00:30:00;7;7;7;6;1;2;0;1;0;1;0
2020-03-24 00:45:00;4;6;2;9;4;2;1;1;0;1;0
2020-03-24 01:00:00;7;7;9;5;1;0;0;0;0;0;0
2020-03-24 01:15:00;4;4;2;9;0;0;0;4;0;0;1
2020-03-24 01:30:00;5;6;3;4;2;0;0;0;0;0;3
2020-03-24 01:45:00;9;9;7;4;1;0;0;1;0;1;2
2020-03-24 02:00:00;6;7;5;4;0;2;0;1;0;2;2
2020-03-24 02:15:00;10;12;7;5;3;1;0;0;0;1;0
2020-03-24 02:30:00;8;12;6;7;3;1;0;0;0;0;0
2020-03-24 02:45:00;6;9;5;8;2;2;0;0;0;1;1
2020-03-24 03:00:00;2;3;2;6;3;0;0;1;0;0;0
2020-03-24 03:15:00;7;10;6;5;2;4;1;1;0;2;0
2020-03-24 03:30:00;4;4;3;4;1;1;4;2;0;1;3
2020-03-24 03:45:00;8;10;2;5;2;3;0;1;0;1;0
2020-03-24 04:00:00;10;10;6;3;5;0;0;2;0;1;0
2020-03-24 04:15:00;14;16;9;7;5;1;0;2;0;0;0
2020-03-24 04:30:00;12;13;9;7;3;0;1;3;0;1;1
2020-03-24 04:45:00;22;23;15;8;5;2;0;2;0;1;6
2020-03-24 05:00:00;27;26;14;6;7;19;33;3;0;1;3
2020-03-24 05:15:00;34;37;24;18;12;17;2;9;0;8;7
2020-03-24 05:30:00;72;76;52;27;24;11;2;15;0;5;14
2020-03-24 05:45:00;69;78;57;25;19;8;18;9;0;8;17
2020-03-24 06:00:00;51;59;44;35;23;11;4;9;0;7;15
2020-03-24 06:15:00;81;90;63;52;28;18;4;22;0;18;23
2020-03-24 06:30:00;108;122;97;72;34;19;8;14;0;19;26
2020-03-24 06:45:00;94;116;77;70;54;29;44;22;0;24;31
2020-03-24 07:00:00;79;91;65;81;35;30;8;18;0;25;25
2020-03-24 07:15:00;87;102;79;87;49;46;5;20;0;16;26
2020-03-24 07:30:00;97;112;89;76;42;24;15;19;0;17;34
2020-03-24 07:45:00;94;111;95;94;59;21;14;28;0;10;22
2020-03-24 08:00:00;75;88;64;77;42;24;14;11;0;24;17
2020-03-24 08:15:00;72;84;69;56;49;14;12;14;0;9;19
2020-03-24 08:30:00;56;77;49;53;39;15;14;28;0;15;16
2020-03-24 08:45:00;73;93;62;65;33;18;11;23;0;13;24
2020-03-24 09:00:00;59;77;49;62;33;17;6;25;0;9;17
2020-03-24 09:15:00;54;67;57;76;48;18;17;22;0;13;19
2020-03-24 09:30:00;74;96;57;63;30;11;7;32;0;13;13
2020-03-24 09:45:00;67;85;64;74;45;25;8;23;0;17;17
