DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(TAAC);22(TARDB);23(TARDD)
2020-01-03 00:00:00;0;0;0;8;0;0;0;0
2020-01-03 00:15:00;2;2;1;15;0;0;0;0
2020-01-03 00:30:00;4;2;1;4;4;0;0;0
2020-01-03 00:45:00;3;0;1;4;1;0;0;0
2020-01-03 01:00:00;1;2;3;7;3;0;0;0
2020-01-03 01:15:00;3;2;0;4;0;0;0;0
2020-01-03 01:30:00;5;0;0;6;0;0;0;0
2020-01-03 01:45:00;3;1;0;3;0;0;0;0
2020-01-03 02:00:00;3;2;2;1;2;0;0;0
2020-01-03 02:15:00;2;2;1;3;3;0;0;0
2020-01-03 02:30:00;2;1;1;1;1;0;0;0
2020-01-03 02:45:00;0;0;0;1;0;0;0;0
2020-01-03 03:00:00;5;1;1;5;0;0;0;0
2020-01-03 03:15:00;2;0;2;1;0;0;0;0
2020-01-03 03:30:00;3;0;0;0;0;0;0;0
2020-01-03 03:45:00;3;0;0;2;2;0;0;0
2020-01-03 04:00:00;6;0;1;0;1;0;0;0
2020-01-03 04:15:00;8;0;0;2;0;0;0;0
2020-01-03 04:30:00;7;1;0;5;1;0;0;0
2020-01-03 04:45:00;1;0;0;2;0;0;0;0
2020-01-03 05:00:00;7;0;0;1;0;0;0;0
2020-01-03 05:15:00;12;4;1;7;1;0;0;0
2020-01-03 05:30:00;17;3;0;22;2;0;0;0
2020-01-03 05:45:00;29;5;4;18;1;0;0;0
2020-01-03 06:00:00;20;2;1;15;2;0;0;0
2020-01-03 06:15:00;19;5;2;21;2;0;0;0
2020-01-03 06:30:00;54;4;1;34;4;0;0;0
2020-01-03 06:45:00;39;5;2;29;3;0;0;0
2020-01-03 07:00:00;51;3;4;34;6;3;0;1
2020-01-03 07:15:00;58;10;7;48;2;0;0;0
2020-01-03 07:30:00;68;6;9;55;5;0;0;2
2020-01-03 07:45:00;63;8;9;39;6;1;0;0
2020-01-03 08:00:00;67;9;9;36;6;10;0;0
2020-01-03 08:15:00;61;7;17;51;7;3;0;0
2020-01-03 08:30:00;55;10;17;41;10;2;0;0
2020-01-03 08:45:00;67;8;24;29;14;2;0;0
2020-01-03 09:00:00;55;16;12;54;13;3;0;0
2020-01-03 09:15:00;74;18;18;61;11;1;0;0
2020-01-03 09:30:00;87;19;32;72;12;9;0;0
2020-01-03 09:45:00;73;12;39;76;13;0;0;0
2020-01-03 10:00:00;95;12;37;67;13;1;0;0
2020-01-03 10:15:00;84;13;31;66;14;1;0;0
2020-01-03 10:30:00;83;20;52;60;23;7;0;0
2020-01-03 10:45:00;96;17;46;69;9;2;0;0
2020-01-03 11:00:00;70;22;37;92;17;5;0;0
2020-01-03 11:15:00;84;14;43;88;19;6;0;0
2020-01-03 11:30:00;96;23;53;86;20;19;0;1
2020-01-03 11:45:00;73;13;43;112;19;12;0;0
2020-01-03 12:00:00;97;9;50;82;15;23;0;0
2020-01-03 12:15:00;91;13;52;75;20;12;0;0
2020-01-03 12:30:00;98;11;60;99;15;13;0;0
2020-01-03 12:45:00;94;23;45;101;22;5;0;0
2020-01-03 13:00:00;110;17;55;96;24;1;0;0
2020-01-03 13:15:00;85;12;61;86;32;21;0;0
2020-01-03 13:30:00;100;24;35;104;26;18;0;0
2020-01-03 13:45:00;70;9;55;103;20;1;0;0
2020-01-03 14:00:00;98;17;40;105;37;7;0;0
2020-01-03 14:15:00;110;13;55;119;28;13;0;0
2020-01-03 14:30:00;97;16;52;92;27;4;0;0
2020-01-03 14:45:00;102;15;55;118;24;2;0;0
2020-01-03 15:00:00;102;14;45;92;27;17;0;0
2020-01-03 15:15:00;85;17;40;92;27;10;0;0
2020-01-03 15:30:00;101;20;52;111;30;15;0;0
2020-01-03 15:45:00;72;16;48;100;27;4;0;0
2020-01-03 16:00:00;90;12;44;110;22;16;0;0
2020-01-03 16:15:00;98;8;40;93;23;27;0;1
2020-01-03 16:30:00;78;13;38;110;28;8;0;0
2020-01-03 16:45:00;82;15;44;90;20;16;0;0
2020-01-03 17:00:00;88;14;28;113;19;0;0;0
2020-01-03 17:15:00;66;10;31;91;19;3;0;0
2020-01-03 17:30:00;74;11;30;85;5;9;0;0
2020-01-03 17:45:00;72;15;37;64;16;0;0;0
2020-01-03 18:00:00;73;12;31;80;8;0;0;0
2020-01-03 18:15:00;81;7;39;66;10;4;0;0
2020-01-03 18:30:00;70;11;43;70;6;7;0;0
2020-01-03 18:45:00;66;7;24;66;9;4;0;0
2020-01-03 19:00:00;41;8;24;67;7;7;0;0
2020-01-03 19:15:00;39;3;16;59;7;6;0;0
2020-01-03 19:30:00;49;7;19;58;7;2;0;0
2020-01-03 19:45:00;60;5;13;46;10;2;0;0
2020-01-03 20:00:00;34;4;18;40;8;0;0;0
2020-01-03 20:15:00;18;6;10;46;3;2;0;0
2020-01-03 20:30:00;28;6;8;45;5;0;0;0
2020-01-03 20:45:00;21;2;5;30;2;1;0;0
2020-01-03 21:00:00;20;6;12;28;7;0;0;0
2020-01-03 21:15:00;23;1;5;32;6;0;0;0
2020-01-03 21:30:00;25;2;7;30;3;1;0;0
2020-01-03 21:45:00;19;1;2;31;14;0;0;0
2020-01-03 22:00:00;26;1;4;47;11;0;0;0
2020-01-03 22:15:00;20;3;7;60;1;0;0;0
2020-01-03 22:30:00;22;4;6;31;4;0;0;0
2020-01-03 22:45:00;13;3;2;18;6;0;0;0
2020-01-03 23:00:00;14;3;2;19;2;0;0;0
2020-01-03 23:15:00;10;6;4;27;2;0;0;0
2020-01-03 23:30:00;11;1;1;19;1;0;0;0
2020-01-03 23:45:00;8;0;2;12;3;0;0;0
