DATUM;1(RES1);2(DE1);3(DE2);4(DH1);5(DH2);6(DDL1);7(DDL2);8(DAL1);9(RES2);10(DBR1);11(DBR2)
2020-12-04 00:00:00;7;8;5;4;1;3;1;2;0;1;0
2020-12-04 00:15:00;16;19;15;8;5;2;1;2;0;2;1
2020-12-04 00:30:00;4;4;5;14;3;1;2;2;0;1;1
2020-12-04 00:45:00;3;3;4;11;3;0;13;1;0;1;1
2020-12-04 01:00:00;5;5;5;4;3;2;6;3;0;0;1
2020-12-04 01:15:00;10;12;5;5;5;3;1;1;0;0;1
2020-12-04 01:30:00;9;10;6;5;1;2;1;1;0;1;1
2020-12-04 01:45:00;6;6;6;6;3;1;0;3;0;1;1
2020-12-04 02:00:00;6;6;3;7;5;1;0;1;0;2;1
2020-12-04 02:15:00;14;14;13;3;1;0;0;1;0;0;0
2020-12-04 02:30:00;8;8;6;4;3;1;0;0;0;0;0
2020-12-04 02:45:00;4;6;4;5;2;1;0;2;0;0;0
2020-12-04 03:00:00;4;5;2;5;1;1;0;0;0;0;0
2020-12-04 03:15:00;6;11;4;1;1;0;0;0;0;0;0
2020-12-04 03:30:00;6;7;6;5;2;0;1;0;0;0;3
2020-12-04 03:45:00;6;7;6;5;4;3;13;1;0;1;2
2020-12-04 04:00:00;11;12;7;7;2;5;2;2;0;0;0
2020-12-04 04:15:00;13;15;12;5;1;3;1;3;0;1;0
2020-12-04 04:30:00;17;18;8;10;4;1;0;7;0;3;1
2020-12-04 04:45:00;32;33;19;15;6;5;1;6;0;2;4
2020-12-04 05:00:00;55;60;61;29;27;13;2;5;0;14;18
2020-12-04 05:15:00;69;74;75;27;13;29;5;8;0;6;18
2020-12-04 05:30:00;84;93;88;44;25;18;6;18;0;21;27
2020-12-04 05:45:00;89;105;76;40;42;18;5;25;0;13;22
2020-12-04 06:00:00;70;86;56;60;39;11;4;28;0;9;11
2020-12-04 06:15:00;97;119;92;61;43;26;6;24;0;18;25
2020-12-04 06:30:00;117;131;98;75;47;25;25;23;0;25;43
2020-12-04 06:45:00;125;136;99;87;60;29;22;28;0;24;40
2020-12-04 07:00:00;105;118;98;119;57;18;9;24;0;23;37
2020-12-04 07:15:00;126;148;119;137;99;83;36;25;0;30;39
2020-12-04 07:30:00;154;178;149;158;139;49;23;34;0;38;51
2020-12-04 07:45:00;155;187;146;137;109;42;20;42;0;32;56
2020-12-04 08:00:00;126;149;119;136;82;52;22;32;0;34;35
2020-12-04 08:15:00;115;140;111;106;100;39;28;28;0;28;39
2020-12-04 08:30:00;113;131;106;96;80;21;4;37;0;30;36
2020-12-04 08:45:00;101;121;105;110;75;27;14;31;0;22;25
2020-12-04 09:00:00;103;133;102;86;79;16;8;33;0;26;33
2020-12-04 09:15:00;104;130;100;111;72;30;14;39;0;22;35
2020-12-04 09:30:00;115;141;115;122;84;25;12;43;0;27;37
2020-12-04 09:45:00;130;170;104;116;87;32;10;25;0;32;27
2020-12-04 10:00:00;110;144;101;93;84;27;13;44;0;35;30
2020-12-04 10:15:00;122;152;116;106;85;29;32;49;0;32;31
2020-12-04 10:30:00;123;154;111;111;103;22;13;44;0;21;26
2020-12-04 10:45:00;118;154;102;126;101;36;50;46;0;28;31
2020-12-04 11:00:00;137;164;97;121;99;31;25;41;0;25;29
2020-12-04 11:15:00;145;168;124;116;86;29;13;53;0;33;34
2020-12-04 11:30:00;121;164;100;105;83;21;18;50;0;25;38
2020-12-04 11:45:00;110;152;122;131;108;30;19;46;0;27;22
2020-12-04 12:00:00;119;158;106;151;107;32;17;56;0;30;30
2020-12-04 12:15:00;107;148;116;162;133;46;24;64;0;35;37
2020-12-04 12:30:00;130;165;131;165;136;33;11;65;0;35;37
