DATUM;1(DA1);2(TAFBA)
2020-09-19 00:00:00;8;0
2020-09-19 00:15:00;8;0
2020-09-19 00:30:00;6;0
2020-09-19 00:45:00;3;0
2020-09-19 01:00:00;1;0
2020-09-19 01:15:00;4;0
2020-09-19 01:30:00;1;0
2020-09-19 01:45:00;5;0
2020-09-19 02:00:00;1;0
2020-09-19 02:15:00;1;0
2020-09-19 02:30:00;1;0
2020-09-19 02:45:00;2;0
2020-09-19 03:00:00;1;0
2020-09-19 03:15:00;0;0
2020-09-19 03:30:00;1;0
2020-09-19 03:45:00;1;0
2020-09-19 04:00:00;0;0
2020-09-19 04:15:00;1;0
2020-09-19 04:30:00;0;0
2020-09-19 04:45:00;2;0
2020-09-19 05:00:00;1;0
2020-09-19 05:15:00;7;0
2020-09-19 05:30:00;5;0
2020-09-19 05:45:00;3;0
2020-09-19 06:00:00;4;0
2020-09-19 06:15:00;7;0
2020-09-19 06:30:00;12;0
2020-09-19 06:45:00;13;0
2020-09-19 07:00:00;11;0
2020-09-19 07:15:00;18;0
2020-09-19 07:30:00;13;0
2020-09-19 07:45:00;24;0
2020-09-19 08:00:00;18;0
2020-09-19 08:15:00;24;0
2020-09-19 08:30:00;28;0
2020-09-19 08:45:00;31;0
2020-09-19 09:00:00;35;0
2020-09-19 09:15:00;37;0
2020-09-19 09:30:00;41;0
2020-09-19 09:45:00;49;0
2020-09-19 10:00:00;50;0
2020-09-19 10:15:00;49;0
2020-09-19 10:30:00;47;0
2020-09-19 10:45:00;52;0
2020-09-19 11:00:00;51;0
2020-09-19 11:15:00;50;0
2020-09-19 11:30:00;50;0
2020-09-19 11:45:00;46;0
2020-09-19 12:00:00;31;0
2020-09-19 12:15:00;42;0
2020-09-19 12:30:00;33;0
2020-09-19 12:45:00;34;0
2020-09-19 13:00:00;42;0
2020-09-19 13:15:00;40;0
2020-09-19 13:30:00;38;0
2020-09-19 13:45:00;34;0
2020-09-19 14:00:00;33;0
2020-09-19 14:15:00;33;0
2020-09-19 14:30:00;48;0
2020-09-19 14:45:00;33;0
2020-09-19 15:00:00;35;0
2020-09-19 15:15:00;41;0
2020-09-19 15:30:00;29;0
2020-09-19 15:45:00;35;0
2020-09-19 16:00:00;40;0
2020-09-19 16:15:00;40;0
2020-09-19 16:30:00;35;0
2020-09-19 16:45:00;25;0
2020-09-19 17:00:00;16;0
2020-09-19 17:15:00;27;0
2020-09-19 17:30:00;30;0
2020-09-19 17:45:00;30;0
2020-09-19 18:00:00;27;0
2020-09-19 18:15:00;28;0
2020-09-19 18:30:00;25;0
2020-09-19 18:45:00;29;0
2020-09-19 19:00:00;23;0
2020-09-19 19:15:00;17;0
2020-09-19 19:30:00;18;0
2020-09-19 19:45:00;25;0
2020-09-19 20:00:00;23;0
2020-09-19 20:15:00;16;0
2020-09-19 20:30:00;14;0
2020-09-19 20:45:00;20;0
2020-09-19 21:00:00;12;0
2020-09-19 21:15:00;14;0
2020-09-19 21:30:00;13;0
2020-09-19 21:45:00;23;0
2020-09-19 22:00:00;12;0
2020-09-19 22:15:00;11;0
2020-09-19 22:30:00;10;0
2020-09-19 22:45:00;11;0
2020-09-19 23:00:00;11;0
2020-09-19 23:15:00;9;0
2020-09-19 23:30:00;9;0
2020-09-19 23:45:00;14;0
