DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DD1);7(DD2);8(DD3);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC);14(TAFBD)
2020-11-27 00:00:00;2;1;1;1;4;0;0;0;0;0;0;0;0;0
2020-11-27 00:15:00;0;1;1;1;3;0;0;0;0;0;0;0;0;0
2020-11-27 00:30:00;0;2;2;3;2;0;0;0;0;0;0;0;0;0
2020-11-27 00:45:00;0;1;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-27 01:00:00;1;3;2;1;2;0;0;0;0;0;0;0;0;0
2020-11-27 01:15:00;0;0;0;0;3;0;0;0;0;0;0;0;0;0
2020-11-27 01:30:00;0;0;1;1;0;1;1;1;0;0;0;0;0;0
2020-11-27 01:45:00;1;0;0;0;1;1;1;1;0;0;0;0;0;0
2020-11-27 02:00:00;0;1;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-27 02:15:00;1;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-11-27 02:30:00;1;2;1;1;3;0;0;0;0;0;0;0;0;0
2020-11-27 02:45:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-27 03:00:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-27 03:15:00;1;1;1;1;0;1;1;2;0;0;0;0;0;0
2020-11-27 03:30:00;1;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-11-27 03:45:00;1;0;0;0;1;2;2;3;0;0;0;0;0;0
2020-11-27 04:00:00;1;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-11-27 04:15:00;0;2;2;2;1;0;0;0;0;0;0;0;0;0
2020-11-27 04:30:00;1;0;0;0;5;3;3;2;0;0;0;0;0;0
2020-11-27 04:45:00;2;4;4;4;7;4;3;4;0;0;0;0;0;0
2020-11-27 05:00:00;4;2;2;2;15;5;5;6;0;0;0;0;0;0
2020-11-27 05:15:00;6;4;4;3;13;8;8;11;0;0;0;0;0;0
2020-11-27 05:30:00;3;9;9;10;31;6;6;6;0;0;0;0;0;0
2020-11-27 05:45:00;5;6;5;4;32;10;12;6;0;0;0;0;0;0
2020-11-27 06:00:00;13;8;8;7;21;254;12;16;0;0;0;0;0;0
2020-11-27 06:15:00;7;11;13;11;34;36;12;12;0;0;0;0;0;0
2020-11-27 06:30:00;6;12;12;11;41;27;26;23;0;0;0;0;0;0
2020-11-27 06:45:00;13;12;13;12;45;15;15;15;0;0;0;0;0;0
