DATUM;1(DA1);2(DB1);3(TAFGA);4(TAFGB);5(TAFBA);6(TAFBB)
2019-10-20 00:00:00;3;3;0;0;0;0
2019-10-20 00:15:00;6;1;0;0;0;0
2019-10-20 00:30:00;1;0;0;0;0;0
2019-10-20 00:45:00;3;2;0;0;0;0
2019-10-20 01:00:00;2;1;0;0;0;0
2019-10-20 01:15:00;0;0;0;0;0;0
2019-10-20 01:30:00;3;1;0;0;0;0
2019-10-20 01:45:00;1;2;0;0;0;0
2019-10-20 02:00:00;0;2;0;0;0;0
2019-10-20 02:15:00;3;0;0;0;0;0
2019-10-20 02:30:00;1;2;0;0;0;0
2019-10-20 02:45:00;2;1;0;0;0;0
2019-10-20 03:00:00;2;0;0;0;0;0
2019-10-20 03:15:00;0;0;0;0;0;0
2019-10-20 03:30:00;0;0;0;0;0;0
2019-10-20 03:45:00;2;1;0;0;0;0
2019-10-20 04:00:00;1;2;0;0;0;0
2019-10-20 04:15:00;0;2;0;0;0;0
2019-10-20 04:30:00;0;0;0;0;0;0
2019-10-20 04:45:00;1;1;0;0;0;0
2019-10-20 05:00:00;0;1;0;0;0;0
2019-10-20 05:15:00;0;0;0;0;0;0
2019-10-20 05:30:00;1;0;0;0;0;0
2019-10-20 05:45:00;0;0;0;0;0;0
2019-10-20 06:00:00;1;1;0;0;0;0
2019-10-20 06:15:00;0;1;0;0;0;0
2019-10-20 06:30:00;2;1;0;0;0;0
2019-10-20 06:45:00;0;1;0;0;0;0
2019-10-20 07:00:00;1;0;0;0;0;0
2019-10-20 07:15:00;1;1;0;0;0;0
2019-10-20 07:30:00;0;1;0;0;0;0
2019-10-20 07:45:00;1;1;0;0;0;0
2019-10-20 08:00:00;2;1;0;0;0;0
2019-10-20 08:15:00;3;2;0;0;0;0
2019-10-20 08:30:00;3;3;0;0;0;0
2019-10-20 08:45:00;4;1;0;0;0;0
2019-10-20 09:00:00;5;7;0;1;0;0
2019-10-20 09:15:00;2;2;0;0;0;0
2019-10-20 09:30:00;1;11;4;2;0;0
2019-10-20 09:45:00;5;1;3;0;0;0
2019-10-20 10:00:00;3;7;0;2;0;0
2019-10-20 10:15:00;2;5;0;1;0;0
2019-10-20 10:30:00;10;12;5;2;0;0
2019-10-20 10:45:00;7;8;0;0;0;0
2019-10-20 11:00:00;10;8;2;0;0;0
2019-10-20 11:15:00;9;6;0;1;0;0
2019-10-20 11:30:00;11;11;1;1;0;0
2019-10-20 11:45:00;2;2;1;0;0;0
2019-10-20 12:00:00;9;10;3;2;0;0
2019-10-20 12:15:00;12;4;0;0;0;0
2019-10-20 12:30:00;8;7;4;1;0;0
2019-10-20 12:45:00;16;6;0;0;0;0
2019-10-20 13:00:00;10;7;5;2;0;0
2019-10-20 13:15:00;10;6;0;3;0;0
2019-10-20 13:30:00;8;14;2;1;0;0
2019-10-20 13:45:00;7;8;1;2;0;0
2019-10-20 14:00:00;11;11;4;2;0;0
2019-10-20 14:15:00;13;6;2;4;0;0
2019-10-20 14:30:00;13;7;2;2;0;0
2019-10-20 14:45:00;11;8;5;1;0;0
2019-10-20 15:00:00;8;9;0;5;0;0
2019-10-20 15:15:00;11;9;1;8;0;0
2019-10-20 15:30:00;10;11;5;8;0;0
2019-10-20 15:45:00;14;9;5;7;0;0
2019-10-20 16:00:00;12;11;12;4;0;0
2019-10-20 16:15:00;3;11;2;5;0;0
2019-10-20 16:30:00;9;12;2;2;0;0
2019-10-20 16:45:00;15;12;1;0;0;0
2019-10-20 17:00:00;15;5;4;1;0;0
2019-10-20 17:15:00;5;12;4;0;0;0
2019-10-20 17:30:00;18;15;0;2;0;0
2019-10-20 17:45:00;12;6;3;1;0;0
2019-10-20 18:00:00;8;10;0;0;0;0
2019-10-20 18:15:00;5;10;0;0;0;0
2019-10-20 18:30:00;10;8;0;0;0;0
2019-10-20 18:45:00;10;17;1;0;0;0
2019-10-20 19:00:00;5;12;0;0;0;0
2019-10-20 19:15:00;4;12;0;0;0;0
2019-10-20 19:30:00;5;5;0;0;0;0
2019-10-20 19:45:00;6;3;0;0;0;0
2019-10-20 20:00:00;7;5;0;0;0;0
2019-10-20 20:15:00;1;3;0;0;0;0
2019-10-20 20:30:00;1;1;0;0;0;0
2019-10-20 20:45:00;5;3;0;0;0;0
2019-10-20 21:00:00;4;3;0;0;0;0
2019-10-20 21:15:00;3;1;0;0;0;0
2019-10-20 21:30:00;5;3;0;0;0;0
2019-10-20 21:45:00;2;1;0;0;0;0
2019-10-20 22:00:00;3;0;0;0;0;0
2019-10-20 22:15:00;1;0;0;0;0;0
2019-10-20 22:30:00;0;0;0;0;0;0
2019-10-20 22:45:00;0;1;0;0;0;0
2019-10-20 23:00:00;1;0;0;0;0;0
2019-10-20 23:15:00;0;2;0;0;0;0
2019-10-20 23:30:00;2;1;0;0;0;0
2019-10-20 23:45:00;0;0;0;0;0;0
