DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DB4);6(DB5);7(DC1);8(DD1);9(DD2);10(DD3);11(DD4);12(DD5);13(TAFGA);14(TAFBA);15(TAFBB);16(TAFGC);17(TAFBC);18(TAFBD)
2020-11-10 00:00:00;1;0;0;4;4;260;0;1;0;0;1;0;0;0;0;0;0;0
2020-11-10 00:15:00;2;0;0;12;9;4;0;1;1;0;0;1;0;0;0;0;0;0
2020-11-10 00:30:00;0;2;1;6;7;11;4;0;1;0;0;1;0;0;0;0;0;0
2020-11-10 00:45:00;1;0;0;4;3;3;2;0;0;0;0;0;0;0;0;0;0;0
2020-11-10 01:00:00;2;1;0;4;4;11;1;0;0;0;0;0;0;0;0;0;0;0
2020-11-10 01:15:00;0;0;0;4;6;3;0;0;1;0;0;1;0;0;0;0;0;0
2020-11-10 01:30:00;2;0;0;3;7;6;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-10 01:45:00;0;0;0;6;4;7;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-10 02:00:00;1;1;1;4;7;7;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-10 02:15:00;1;0;0;5;3;5;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-10 02:30:00;0;0;2;2;4;5;1;3;1;0;2;1;0;0;0;0;0;0
2020-11-10 02:45:00;0;1;0;2;8;3;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-10 03:00:00;0;0;0;5;5;8;2;0;0;0;0;0;0;0;0;0;0;0
2020-11-10 03:15:00;3;0;0;5;6;11;2;0;0;0;0;0;0;0;0;0;0;0
2020-11-10 03:30:00;4;0;1;4;7;4;2;1;0;0;1;0;0;0;0;0;0;0
2020-11-10 03:45:00;1;1;1;3;8;4;3;0;1;0;0;0;0;0;0;0;0;0
2020-11-10 04:00:00;1;1;3;6;5;6;2;2;2;0;1;1;0;0;0;0;0;0
2020-11-10 04:15:00;8;2;3;5;10;7;5;2;0;0;2;5;0;0;0;0;0;0
2020-11-10 04:30:00;7;0;0;5;3;2;6;0;0;0;0;0;0;0;0;0;0;0
2020-11-10 04:45:00;19;5;3;12;13;7;7;3;1;0;2;1;0;0;0;0;0;0
2020-11-10 05:00:00;32;3;3;9;6;8;9;2;3;0;2;3;0;0;0;0;0;0
2020-11-10 05:15:00;47;4;6;7;6;4;12;3;2;1;4;0;0;0;0;0;0;0
2020-11-10 05:30:00;55;7;4;5;14;8;22;0;1;0;0;0;0;0;0;0;0;0
2020-11-10 05:45:00;44;8;6;12;19;10;26;7;4;2;8;4;0;0;0;2;3;5
2020-11-10 06:00:00;53;12;9;7;14;1;29;10;4;1;8;5;0;0;0;0;0;0
2020-11-10 06:15:00;61;11;18;5;9;5;51;10;7;1;12;9;0;0;0;0;0;0
2020-11-10 06:30:00;68;16;13;8;19;11;41;6;6;2;6;1;1;0;0;0;0;0
2020-11-10 06:45:00;62;19;15;10;12;5;34;12;6;1;9;7;0;0;0;1;1;0
2020-11-10 07:00:00;101;30;17;9;22;4;38;10;8;2;8;7;0;0;0;0;0;0
2020-11-10 07:15:00;111;36;24;10;18;6;51;18;15;7;12;8;0;0;0;0;0;0
2020-11-10 07:30:00;120;64;41;27;304;12;64;41;31;13;34;22;1;0;1;13;8;0
2020-11-10 07:45:00;99;69;28;16;52;15;86;47;22;4;32;15;0;0;0;0;0;0
2020-11-10 08:00:00;102;33;20;5;276;14;72;24;9;2;19;6;1;0;0;0;0;0
