DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DA3);8(TA1);9(TA2);10(TA3);11(TAFBAC1);12(TAFBAC2);13(TAFBAC3);14(TAFBB)
2020-09-27 00:00:00;18;1;6;7;14;29;29;0;0;0;0;0;0;0
2020-09-27 00:15:00;27;1;5;5;11;46;23;0;0;0;0;0;0;0
2020-09-27 00:30:00;23;2;2;2;20;44;34;0;0;0;0;0;0;0
2020-09-27 00:45:00;18;2;3;4;8;26;28;0;0;0;0;0;0;0
2020-09-27 01:00:00;11;3;1;4;12;24;17;0;0;0;0;0;0;0
2020-09-27 01:15:00;14;2;1;1;10;20;18;0;0;0;0;0;0;0
2020-09-27 01:30:00;9;0;0;0;6;19;11;0;0;0;0;0;0;0
2020-09-27 01:45:00;14;0;2;1;4;28;14;0;0;0;0;0;0;0
2020-09-27 02:00:00;10;1;0;0;6;15;15;0;0;0;0;0;0;0
2020-09-27 02:15:00;7;1;1;1;5;22;12;0;0;0;0;0;0;0
2020-09-27 02:30:00;9;2;0;1;1;12;15;0;0;0;0;0;0;0
2020-09-27 02:45:00;5;0;2;0;1;10;7;0;0;0;0;0;0;0
2020-09-27 03:00:00;9;0;0;0;4;11;7;0;0;0;0;0;0;0
2020-09-27 03:15:00;3;0;1;1;4;12;7;0;0;0;0;0;0;0
2020-09-27 03:30:00;7;0;0;0;6;5;7;0;0;0;0;0;0;0
2020-09-27 03:45:00;3;1;1;3;6;5;6;0;0;0;0;0;0;0
2020-09-27 04:00:00;2;0;1;0;3;11;6;0;0;0;0;0;0;0
2020-09-27 04:15:00;3;1;1;0;1;2;5;0;0;0;0;0;0;0
2020-09-27 04:30:00;2;1;1;0;1;5;10;0;0;0;0;0;0;0
2020-09-27 04:45:00;3;0;0;0;3;6;8;0;0;0;0;0;0;0
2020-09-27 05:00:00;4;2;0;1;0;8;3;0;0;0;0;0;0;0
2020-09-27 05:15:00;2;1;2;2;2;10;14;0;0;0;0;0;0;0
2020-09-27 05:30:00;9;0;0;0;2;11;21;0;0;0;0;0;0;0
2020-09-27 05:45:00;9;1;0;0;6;8;19;0;0;0;0;0;0;0
2020-09-27 06:00:00;7;0;2;1;3;16;9;0;0;0;0;0;0;0
2020-09-27 06:15:00;6;2;3;2;6;17;6;0;0;0;0;0;0;0
2020-09-27 06:30:00;8;3;0;4;5;19;8;0;0;0;0;0;0;0
2020-09-27 06:45:00;7;3;2;2;6;17;7;0;0;0;0;0;0;0
2020-09-27 07:00:00;4;1;1;2;3;14;7;0;0;0;0;0;0;0
2020-09-27 07:15:00;19;7;4;6;6;17;22;0;0;0;0;0;0;0
2020-09-27 07:30:00;17;6;5;8;5;22;19;0;0;0;0;0;0;0
2020-09-27 07:45:00;12;8;4;3;15;22;27;0;0;0;0;0;0;0
2020-09-27 08:00:00;13;8;11;6;16;41;24;0;0;2;0;0;0;0
2020-09-27 08:15:00;25;4;9;5;11;43;24;0;0;0;0;0;0;0
2020-09-27 08:30:00;25;12;3;6;13;32;33;0;0;0;0;0;0;0
2020-09-27 08:45:00;36;15;16;12;21;61;43;0;0;0;0;0;0;0
2020-09-27 09:00:00;31;8;15;10;22;39;49;0;0;1;0;0;0;0
2020-09-27 09:15:00;33;23;16;22;33;54;62;2;0;1;0;0;0;0
2020-09-27 09:30:00;36;22;19;12;27;59;55;0;0;0;0;0;0;0
2020-09-27 09:45:00;45;27;19;15;41;74;73;6;0;4;0;0;0;0
2020-09-27 10:00:00;49;28;16;16;41;80;79;1;0;0;0;0;0;0
2020-09-27 10:15:00;55;32;23;14;37;74;82;0;0;13;0;0;0;0
2020-09-27 10:30:00;53;21;26;20;33;62;81;7;0;2;3;3;3;0
2020-09-27 10:45:00;45;35;20;24;33;73;80;1;1;1;0;0;0;0
2020-09-27 11:00:00;53;21;24;26;43;78;98;0;0;5;0;0;0;0
2020-09-27 11:15:00;62;29;20;17;58;85;80;0;0;3;0;0;0;0
2020-09-27 11:30:00;66;24;37;20;53;88;98;13;0;0;3;3;3;0
2020-09-27 11:45:00;70;25;34;23;53;99;93;0;0;2;0;0;0;4
2020-09-27 12:00:00;50;20;36;16;51;90;89;14;0;0;1;1;1;0
2020-09-27 12:15:00;76;32;27;12;49;84;109;5;0;5;0;0;0;0
