DATUM;1(DA1);2(DC1);3(TAFGA);4(TAFBA)
2019-09-16 00:00:00;0;0;0;0
2019-09-16 00:15:00;0;0;0;0
2019-09-16 00:30:00;0;0;0;0
2019-09-16 00:45:00;0;0;0;0
2019-09-16 01:00:00;0;0;0;0
2019-09-16 01:15:00;0;0;0;0
2019-09-16 01:30:00;0;0;0;0
2019-09-16 01:45:00;0;0;0;0
2019-09-16 02:00:00;0;0;0;0
2019-09-16 02:15:00;0;0;0;0
2019-09-16 02:30:00;0;0;0;0
2019-09-16 02:45:00;0;0;0;0
2019-09-16 03:00:00;0;0;0;0
2019-09-16 03:15:00;0;0;0;0
2019-09-16 03:30:00;0;0;0;0
2019-09-16 03:45:00;0;0;0;0
2019-09-16 04:00:00;0;0;0;0
2019-09-16 04:15:00;0;0;0;0
2019-09-16 04:30:00;0;0;0;0
2019-09-16 04:45:00;0;0;0;0
2019-09-16 05:00:00;0;0;0;0
2019-09-16 05:15:00;0;0;0;0
2019-09-16 05:30:00;0;0;0;0
2019-09-16 05:45:00;0;0;0;0
2019-09-16 06:00:00;0;0;0;0
2019-09-16 06:15:00;0;0;0;0
2019-09-16 06:30:00;0;0;0;0
2019-09-16 06:45:00;0;0;0;0
2019-09-16 07:00:00;0;0;1;5
2019-09-16 07:15:00;0;0;10;6
2019-09-16 07:30:00;0;0;19;1
2019-09-16 07:45:00;0;0;4;6
2019-09-16 08:00:00;0;0;6;1
2019-09-16 08:15:00;0;0;7;1
2019-09-16 08:30:00;0;0;0;0
2019-09-16 08:45:00;0;0;3;0
2019-09-16 09:00:00;0;0;1;0
2019-09-16 09:15:00;0;0;0;0
2019-09-16 09:30:00;0;0;0;0
2019-09-16 09:45:00;0;0;2;0
2019-09-16 10:00:00;0;0;0;0
2019-09-16 10:15:00;0;0;0;0
2019-09-16 10:30:00;0;0;0;0
2019-09-16 10:45:00;0;0;0;0
2019-09-16 11:00:00;0;0;1;0
2019-09-16 11:15:00;0;0;1;0
2019-09-16 11:30:00;0;0;0;0
2019-09-16 11:45:00;0;0;0;0
2019-09-16 12:00:00;0;0;0;0
2019-09-16 12:15:00;0;0;3;3
2019-09-16 12:30:00;0;0;0;0
2019-09-16 12:45:00;0;0;3;2
2019-09-16 13:00:00;0;0;11;0
2019-09-16 13:15:00;0;0;4;5
2019-09-16 13:30:00;0;0;0;0
2019-09-16 13:45:00;0;0;1;1
2019-09-16 14:00:00;0;0;1;1
2019-09-16 14:15:00;0;0;6;0
2019-09-16 14:30:00;0;0;0;0
2019-09-16 14:45:00;0;0;2;2
2019-09-16 15:00:00;0;0;1;0
2019-09-16 15:15:00;0;0;1;0
2019-09-16 15:30:00;0;0;9;3
2019-09-16 15:45:00;0;0;3;1
2019-09-16 16:00:00;0;0;3;1
2019-09-16 16:15:00;0;0;6;2
2019-09-16 16:30:00;0;0;1;0
2019-09-16 16:45:00;0;0;6;2
2019-09-16 17:00:00;0;0;4;0
2019-09-16 17:15:00;0;0;0;0
2019-09-16 17:30:00;0;0;12;1
2019-09-16 17:45:00;0;0;4;1
2019-09-16 18:00:00;0;0;4;1
2019-09-16 18:15:00;0;0;0;0
2019-09-16 18:30:00;0;0;0;0
2019-09-16 18:45:00;0;0;1;0
2019-09-16 19:00:00;0;0;2;0
2019-09-16 19:15:00;0;0;4;0
2019-09-16 19:30:00;0;0;0;0
2019-09-16 19:45:00;0;0;0;0
2019-09-16 20:00:00;0;0;0;0
2019-09-16 20:15:00;0;0;0;0
2019-09-16 20:30:00;0;0;0;0
2019-09-16 20:45:00;0;0;1;0
2019-09-16 21:00:00;0;0;0;0
2019-09-16 21:15:00;0;0;0;0
2019-09-16 21:30:00;0;0;0;0
2019-09-16 21:45:00;0;0;0;0
2019-09-16 22:00:00;0;0;0;0
2019-09-16 22:15:00;0;0;0;0
2019-09-16 22:30:00;0;0;0;0
2019-09-16 22:45:00;0;0;0;0
2019-09-16 23:00:00;0;0;0;0
2019-09-16 23:15:00;0;0;0;0
2019-09-16 23:30:00;0;0;0;0
2019-09-16 23:45:00;0;0;0;0
