DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DBL1);7(DBL2);8(DC1);9(DC2);10(DC3);11(DC4);12(DC5);13(DC6);14(DC7);15(TAFGA);16(TAFGB);17(TAFBA);18(TAFBB);19(TAFBC);20(TAFBD)
2019-11-20 00:00:00;0;6;1;4;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2019-11-20 00:15:00;0;1;0;3;5;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0
2019-11-20 00:30:00;0;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 00:45:00;0;5;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 01:00:00;0;5;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 01:15:00;1;3;0;3;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 01:30:00;0;2;1;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 01:45:00;1;4;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 02:00:00;1;7;0;7;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 02:15:00;0;8;0;4;4;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
2019-11-20 02:30:00;0;3;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 02:45:00;0;3;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 03:00:00;0;8;0;3;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 03:15:00;0;11;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 03:30:00;0;4;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 03:45:00;0;6;0;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 04:00:00;2;6;0;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 04:15:00;0;6;3;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 04:30:00;2;10;1;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-20 04:45:00;0;19;3;13;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2019-11-20 05:00:00;1;33;2;9;7;1;0;2;1;1;1;0;1;1;0;0;0;0;0;0
2019-11-20 05:15:00;5;49;9;28;14;1;0;1;1;2;0;0;2;0;0;0;0;0;0;0
2019-11-20 05:30:00;5;61;13;27;9;0;0;1;1;3;2;0;3;2;0;0;0;0;0;0
2019-11-20 05:45:00;19;72;13;41;18;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0
2019-11-20 06:00:00;10;74;15;52;22;4;2;0;0;3;1;0;3;1;0;0;0;0;0;0
2019-11-20 06:15:00;18;102;30;49;19;2;3;1;0;1;0;0;1;0;0;0;0;0;0;0
2019-11-20 06:30:00;37;94;37;56;33;3;3;5;4;1;2;1;1;2;0;0;1;0;0;0
2019-11-20 06:45:00;39;111;74;57;29;10;4;2;5;6;6;5;7;5;0;1;0;3;0;0
2019-11-20 07:00:00;30;99;39;43;22;9;4;1;0;5;3;0;5;3;0;1;0;1;0;0
2019-11-20 07:15:00;40;120;61;44;32;12;9;5;5;7;2;4;6;3;0;1;0;1;0;0
2019-11-20 07:30:00;45;112;48;48;24;10;7;5;3;9;5;1;9;5;0;0;0;2;0;0
2019-11-20 07:45:00;49;108;45;45;34;6;6;0;1;6;3;1;6;3;0;0;0;5;0;0
2019-11-20 08:00:00;46;114;42;37;31;6;11;7;5;8;3;2;7;3;0;0;0;0;0;0
2019-11-20 08:15:00;37;101;40;42;50;8;6;8;1;7;5;1;7;4;0;0;0;0;0;0
2019-11-20 08:30:00;32;79;24;38;26;16;4;2;5;10;0;4;8;0;0;0;0;0;0;0
2019-11-20 08:45:00;34;100;40;41;24;21;11;6;4;2;1;4;6;1;0;0;0;1;0;0
2019-11-20 09:00:00;35;85;22;34;29;21;11;6;2;3;4;2;4;4;0;3;1;31;2;0
2019-11-20 09:15:00;30;84;27;37;35;27;14;9;3;12;10;3;10;11;0;0;0;2;0;0
2019-11-20 09:30:00;27;77;18;47;41;10;9;9;4;16;8;3;15;7;0;1;0;3;1;0
2019-11-20 09:45:00;25;89;30;44;43;22;21;6;8;6;10;3;8;8;0;0;3;0;0;0
2019-11-20 10:00:00;28;94;19;40;38;13;7;12;9;15;11;5;15;11;0;0;0;0;0;0
2019-11-20 10:15:00;20;99;29;50;43;6;10;8;4;10;2;1;10;2;0;2;0;6;0;0
2019-11-20 10:30:00;17;70;12;41;33;7;9;9;3;6;14;3;6;13;0;2;0;16;0;0
2019-11-20 10:45:00;18;82;28;48;44;7;4;5;4;14;9;3;14;10;0;1;1;28;0;5
2019-11-20 11:00:00;23;94;16;50;43;6;8;6;1;9;10;0;11;8;0;1;0;4;0;0
2019-11-20 11:15:00;22;80;25;57;56;1;5;10;3;8;9;1;8;9;0;0;0;0;0;0
