DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DB4);6(DB5);7(DC1);8(DD1);9(DD2);10(DD3);11(DD4);12(DD5);13(TAFGA);14(TAFBA);15(TAFBB);16(TAFGC);17(TAFBC);18(TAFBD)
2020-09-01 00:00:00;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-09-01 00:15:00;5;0;0;0;0;0;4;1;2;0;0;0;0;0;0;0;0;0
2020-09-01 00:30:00;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-09-01 00:45:00;1;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
2020-09-01 01:00:00;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
2020-09-01 01:15:00;1;1;1;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0
2020-09-01 01:30:00;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-09-01 01:45:00;2;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
2020-09-01 02:00:00;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-09-01 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-09-01 02:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-09-01 02:45:00;2;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0
2020-09-01 03:00:00;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
2020-09-01 03:15:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-09-01 03:30:00;1;1;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
2020-09-01 03:45:00;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
2020-09-01 04:00:00;3;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2020-09-01 04:15:00;2;1;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
2020-09-01 04:30:00;12;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
2020-09-01 04:45:00;17;3;7;0;0;0;3;1;2;0;0;0;0;0;0;0;0;0
2020-09-01 05:00:00;22;3;3;0;0;0;9;2;6;0;0;0;0;0;0;0;0;0
2020-09-01 05:15:00;37;5;9;0;0;0;3;3;6;0;0;0;0;0;0;2;5;1
2020-09-01 05:30:00;47;9;9;0;0;0;10;2;10;0;0;0;0;0;0;1;3;0
2020-09-01 05:45:00;33;8;12;0;0;0;19;7;5;0;0;0;0;0;0;0;0;0
2020-09-01 06:00:00;42;9;15;0;0;0;26;10;8;0;0;0;1;0;0;1;0;0
2020-09-01 06:15:00;53;11;26;0;0;0;24;8;6;0;0;0;0;0;0;0;0;0
2020-09-01 06:30:00;53;18;18;0;0;0;33;12;4;0;0;0;0;0;0;0;0;0
2020-09-01 06:45:00;56;21;25;0;0;0;22;11;10;0;0;0;0;0;0;0;0;0
2020-09-01 07:00:00;55;23;16;0;0;0;14;12;5;0;0;0;3;0;0;2;2;0
2020-09-01 07:15:00;62;17;21;0;0;0;26;17;9;0;0;0;0;0;0;0;0;0
2020-09-01 07:30:00;67;22;22;0;0;0;48;21;11;0;0;0;0;0;0;0;0;0
2020-09-01 07:45:00;90;33;40;0;0;0;32;31;18;0;0;0;0;0;1;0;2;0
2020-09-01 08:00:00;67;29;35;0;0;0;39;10;17;0;0;0;0;0;0;0;0;0
2020-09-01 08:15:00;72;43;41;0;0;0;33;15;9;0;0;0;0;0;1;0;0;0
2020-09-01 08:30:00;56;46;41;0;0;0;31;30;15;0;0;0;0;0;0;0;0;2
2020-09-01 08:45:00;67;39;38;0;0;0;40;18;15;0;0;0;0;0;0;0;0;0
2020-09-01 09:00:00;62;37;23;0;0;0;28;22;12;0;0;0;1;0;0;0;0;0
2020-09-01 09:15:00;75;35;36;0;0;0;34;20;15;0;0;0;0;0;0;0;0;0
2020-09-01 09:30:00;78;39;34;0;0;0;42;26;15;0;0;0;1;0;0;0;0;0
2020-09-01 09:45:00;53;39;30;0;0;0;49;27;17;0;0;0;0;0;0;0;0;0
2020-09-01 10:00:00;66;57;29;0;0;0;38;22;14;0;0;0;0;0;0;0;0;0
2020-09-01 10:15:00;51;33;25;0;0;0;40;22;12;0;0;0;0;0;0;0;0;0
2020-09-01 10:30:00;59;41;31;0;0;0;38;19;14;0;0;0;0;0;0;0;0;0
2020-09-01 10:45:00;64;50;29;0;0;0;49;28;16;0;0;0;7;0;0;0;0;0
2020-09-01 11:00:00;55;45;35;0;0;0;61;34;11;0;0;0;0;0;0;0;0;0
2020-09-01 11:15:00;65;42;48;0;0;0;40;27;20;0;0;0;0;0;0;0;0;0
2020-09-01 11:30:00;71;40;49;0;0;0;31;27;19;0;0;0;0;0;0;0;0;0
2020-09-01 11:45:00;66;56;55;0;0;0;42;24;15;0;0;0;0;0;1;0;0;0
2020-09-01 12:00:00;45;51;49;0;0;0;57;30;16;0;0;0;3;1;2;0;0;0
2020-09-01 12:15:00;45;34;27;0;0;0;42;18;12;0;0;0;0;0;0;0;0;0
2020-09-01 12:30:00;53;37;22;0;0;0;45;21;15;0;0;0;1;0;0;0;0;0
2020-09-01 12:45:00;57;35;33;0;0;0;47;19;18;0;0;0;0;0;0;0;0;0
2020-09-01 13:00:00;65;42;28;0;0;0;61;36;20;0;0;0;2;0;0;1;0;0
2020-09-01 13:15:00;99;34;34;0;0;0;47;36;18;0;0;0;0;0;0;0;0;0
2020-09-01 13:30:00;74;42;19;0;0;0;58;18;14;0;0;0;2;0;0;1;0;0
2020-09-01 13:45:00;55;31;29;0;0;0;43;20;11;0;0;0;0;0;0;0;0;0
2020-09-01 14:00:00;58;41;28;0;0;0;59;20;13;0;0;0;0;0;0;1;0;0
2020-09-01 14:15:00;56;33;25;0;0;0;71;24;14;0;0;0;0;0;0;1;0;0
2020-09-01 14:30:00;80;44;42;0;0;0;70;31;22;0;0;0;3;0;0;1;1;0
2020-09-01 14:45:00;70;48;26;0;0;0;77;29;12;0;0;0;1;4;0;2;0;0
2020-09-01 15:00:00;68;35;36;0;0;0;63;26;15;0;0;0;6;28;0;4;2;0
2020-09-01 15:15:00;70;40;37;0;0;0;69;26;13;0;0;0;2;0;0;0;0;1
2020-09-01 15:30:00;62;38;32;0;0;0;71;21;15;0;0;0;0;0;0;1;0;0
2020-09-01 15:45:00;56;50;26;0;0;0;78;27;19;0;0;0;1;0;0;0;0;0
2020-09-01 16:00:00;66;51;27;0;0;0;76;32;15;0;0;0;1;0;0;1;0;0
2020-09-01 16:15:00;90;59;42;0;0;0;76;36;23;0;0;0;1;0;0;0;0;0
2020-09-01 16:30:00;71;50;35;0;0;0;76;35;10;0;0;0;0;0;0;0;0;0
2020-09-01 16:45:00;60;42;36;0;0;0;78;37;20;0;0;0;2;3;0;3;1;1
2020-09-01 17:00:00;74;45;32;0;0;0;84;26;22;0;0;0;1;0;0;0;0;0
2020-09-01 17:15:00;83;48;31;0;0;0;78;38;18;0;0;0;0;0;0;0;0;0
2020-09-01 17:30:00;64;33;20;0;0;0;85;26;14;0;0;0;0;0;0;3;8;0
2020-09-01 17:45:00;60;41;18;0;0;0;63;25;16;0;0;0;0;0;2;1;1;0
2020-09-01 18:00:00;53;40;34;0;0;0;76;34;16;0;0;0;4;2;0;0;0;0
2020-09-01 18:15:00;60;40;33;0;0;0;77;30;20;0;0;0;1;0;0;0;0;0
2020-09-01 18:30:00;65;28;18;0;0;0;51;13;14;0;0;0;0;0;0;0;0;0
2020-09-01 18:45:00;48;36;24;0;0;0;50;22;10;0;0;0;0;0;0;0;0;0
2020-09-01 19:00:00;45;37;21;0;0;0;37;17;12;0;0;0;0;0;0;0;0;0
2020-09-01 19:15:00;38;23;16;0;0;0;34;6;9;0;0;0;0;0;0;0;0;0
2020-09-01 19:30:00;36;21;17;0;0;0;38;18;6;0;0;0;0;0;0;1;0;0
2020-09-01 19:45:00;29;22;6;0;0;0;11;7;9;0;0;0;3;0;0;0;0;0
2020-09-01 20:00:00;22;9;8;0;0;0;32;7;7;0;0;0;0;0;0;0;0;0
2020-09-01 20:15:00;26;5;11;0;0;0;37;14;13;0;0;0;0;0;0;1;0;0
2020-09-01 20:30:00;13;5;8;0;0;0;16;6;4;0;0;0;0;0;0;0;0;0
2020-09-01 20:45:00;32;7;9;0;0;0;14;5;7;0;0;0;0;0;0;0;0;0
2020-09-01 21:00:00;25;6;7;0;0;0;14;5;8;0;0;0;0;0;0;1;0;0
2020-09-01 21:15:00;19;4;6;0;0;0;17;6;7;0;0;0;0;0;0;0;0;0
2020-09-01 21:30:00;12;2;5;0;0;0;22;3;5;0;0;0;0;0;0;0;0;0
2020-09-01 21:45:00;11;8;4;0;0;0;28;2;8;0;0;0;0;0;0;0;0;0
2020-09-01 22:00:00;15;1;4;0;0;0;47;3;5;0;0;0;0;0;0;0;0;0
2020-09-01 22:15:00;17;2;5;0;0;0;33;3;6;0;0;0;0;0;0;0;0;0
2020-09-01 22:30:00;10;6;5;0;0;0;19;2;4;0;0;0;0;0;0;0;0;0
2020-09-01 22:45:00;9;1;2;0;0;0;10;5;3;0;0;0;0;0;0;0;0;0
2020-09-01 23:00:00;5;1;1;0;0;0;9;2;4;0;0;0;0;0;0;0;0;0
2020-09-01 23:15:00;2;4;3;0;0;0;7;5;0;0;0;0;0;0;0;0;0;0
2020-09-01 23:30:00;1;2;0;0;0;0;9;2;0;0;0;0;0;0;0;0;0;0
