DATUM;1(DA1);2(DRES);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFGC);9(TAFBA);10(TAFBC);11(TAFBD);12(TARES)
2020-03-27 00:00:00;3;0;3;2;0;0;0;0;0;0;0;0
2020-03-27 00:15:00;4;0;2;0;0;0;0;0;0;0;0;0
2020-03-27 00:30:00;0;0;4;1;0;0;0;0;0;0;0;0
2020-03-27 00:45:00;0;0;2;1;0;0;0;0;0;0;0;0
2020-03-27 01:00:00;2;0;0;1;0;0;0;0;0;0;0;0
2020-03-27 01:15:00;4;0;0;1;0;0;0;0;0;0;0;0
2020-03-27 01:30:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-27 01:45:00;1;0;0;1;0;0;0;0;0;0;0;0
2020-03-27 02:00:00;4;0;0;3;0;0;0;0;0;0;0;0
2020-03-27 02:15:00;1;0;2;1;0;0;0;0;0;0;0;0
2020-03-27 02:30:00;1;0;1;0;0;0;0;0;0;0;0;0
2020-03-27 02:45:00;1;0;1;0;0;0;0;0;0;0;0;0
2020-03-27 03:00:00;2;0;2;0;0;0;0;0;0;0;0;0
2020-03-27 03:15:00;1;0;3;0;0;0;0;0;0;0;0;0
2020-03-27 03:30:00;3;0;3;1;0;0;0;0;0;0;0;0
2020-03-27 03:45:00;1;0;2;0;0;0;0;0;0;0;0;0
2020-03-27 04:00:00;3;0;0;0;0;0;0;0;0;0;0;0
2020-03-27 04:15:00;4;0;2;2;0;0;0;0;0;0;0;0
2020-03-27 04:30:00;7;0;3;4;0;0;0;0;0;0;0;0
2020-03-27 04:45:00;8;0;5;4;0;0;0;0;0;0;0;0
2020-03-27 05:00:00;5;0;5;2;0;0;0;0;0;0;0;0
2020-03-27 05:15:00;11;0;13;2;0;0;0;0;0;0;0;0
2020-03-27 05:30:00;26;0;29;9;0;0;0;0;0;0;0;0
2020-03-27 05:45:00;28;0;29;5;0;0;0;0;0;0;0;0
2020-03-27 06:00:00;19;0;23;6;0;0;0;0;0;0;0;0
