DATUM;1(DA1);2(DAL1);3(DAL2);4(DBL1);5(DBL2);6(DBR1);7(DBL3);8(DBL4);9(DCR1);10(DC1);11(TAFGC)
2019-09-05 00:00:00;2;0;0;0;0;0;0;0;0;0;6
2019-09-05 00:15:00;1;0;0;0;0;0;0;0;0;0;1
2019-09-05 00:30:00;3;0;0;0;0;0;0;0;0;0;5
2019-09-05 00:45:00;5;4;0;0;0;0;0;0;0;0;1
2019-09-05 01:00:00;3;2;0;0;0;0;0;0;0;0;4
2019-09-05 01:15:00;1;0;0;0;0;0;0;0;0;0;2
2019-09-05 01:30:00;1;0;0;0;0;0;0;0;0;0;4
2019-09-05 01:45:00;0;0;0;0;0;0;0;0;0;0;1
2019-09-05 02:00:00;7;2;0;0;0;0;0;0;0;0;4
2019-09-05 02:15:00;3;1;0;0;0;0;0;0;0;0;3
2019-09-05 02:30:00;4;0;0;0;0;0;0;0;0;0;1
2019-09-05 02:45:00;2;2;0;0;0;0;0;0;0;0;4
2019-09-05 03:00:00;2;0;0;0;0;0;0;0;0;0;2
2019-09-05 03:15:00;5;1;0;0;0;0;0;0;1;0;2
2019-09-05 03:30:00;3;2;0;0;0;0;0;0;0;0;6
2019-09-05 03:45:00;0;0;0;0;1;0;1;0;0;0;4
2019-09-05 04:00:00;3;1;1;1;0;0;0;0;0;0;3
2019-09-05 04:15:00;3;0;1;1;0;0;0;0;0;0;8
2019-09-05 04:30:00;8;1;1;1;3;0;3;0;0;1;11
2019-09-05 04:45:00;14;0;5;6;0;0;0;0;0;1;17
2019-09-05 05:00:00;58;1;9;7;0;0;0;0;2;4;34
2019-09-05 05:15:00;78;4;19;19;1;1;1;0;1;8;76
2019-09-05 05:30:00;106;6;45;48;2;1;2;0;7;44;65
2019-09-05 05:45:00;89;7;66;65;7;6;7;4;6;54;42
2019-09-05 06:00:00;59;8;56;56;10;4;12;2;6;47;52
2019-09-05 06:15:00;49;5;48;43;5;6;5;2;3;37;44
2019-09-05 06:30:00;69;7;50;53;7;4;7;2;6;42;55
2019-09-05 06:45:00;65;5;34;31;5;2;9;1;12;32;34
2019-09-05 07:00:00;61;2;42;44;7;1;9;1;4;35;41
2019-09-05 07:15:00;68;8;37;37;7;4;4;4;6;21;29
2019-09-05 07:30:00;72;6;44;40;11;7;13;6;7;36;38
2019-09-05 07:45:00;53;3;20;23;9;6;9;6;3;25;36
2019-09-05 08:00:00;65;6;24;21;10;2;11;2;7;25;45
2019-09-05 08:15:00;51;5;36;37;11;2;12;2;2;24;53
2019-09-05 08:30:00;62;4;18;19;11;4;11;4;1;10;32
2019-09-05 08:45:00;56;7;9;10;5;0;6;0;1;7;30
2019-09-05 09:00:00;54;5;19;19;8;2;11;2;8;16;26
2019-09-05 09:15:00;74;10;12;11;11;4;12;4;7;5;25
2019-09-05 09:30:00;71;2;6;6;7;3;8;2;6;6;33
2019-09-05 09:45:00;63;2;7;7;7;1;7;1;7;7;35
2019-09-05 10:00:00;78;7;9;9;8;4;8;4;6;4;44
2019-09-05 10:15:00;67;5;6;6;7;4;7;4;9;9;32
2019-09-05 10:30:00;55;5;10;10;12;4;12;2;8;7;31
2019-09-05 10:45:00;50;2;7;6;18;5;18;5;7;9;45
2019-09-05 11:00:00;49;8;4;5;12;3;13;2;8;2;42
2019-09-05 11:15:00;65;7;5;5;13;6;13;6;4;7;46
2019-09-05 11:30:00;46;7;2;2;14;3;14;2;4;5;48
2019-09-05 11:45:00;55;2;9;9;11;5;11;3;10;6;40
2019-09-05 12:00:00;40;4;9;10;14;14;15;14;23;8;54
2019-09-05 12:15:00;54;7;7;7;13;7;14;7;13;8;45
2019-09-05 12:30:00;35;2;11;11;15;4;15;3;11;4;53
2019-09-05 12:45:00;61;4;7;6;18;9;21;10;14;3;54
2019-09-05 13:00:00;72;6;6;6;21;9;22;8;15;13;55
2019-09-05 13:15:00;77;5;4;5;11;3;11;3;23;3;54
2019-09-05 13:30:00;97;11;8;7;13;6;13;5;18;8;78
2019-09-05 13:45:00;70;6;4;4;27;18;30;19;37;11;81
2019-09-05 14:00:00;117;15;11;10;25;18;26;20;33;11;70
2019-09-05 14:15:00;129;21;7;7;33;22;29;20;34;6;79
2019-09-05 14:30:00;88;10;8;9;31;20;32;23;38;10;69
2019-09-05 14:45:00;69;4;3;3;35;29;34;29;40;5;55
2019-09-05 15:00:00;79;11;9;9;51;38;54;42;57;8;54
2019-09-05 15:15:00;70;18;9;10;65;47;64;47;75;11;62
2019-09-05 15:30:00;81;15;4;4;53;34;55;35;47;10;82
2019-09-05 15:45:00;60;12;4;4;42;35;43;35;46;8;74
2019-09-05 16:00:00;68;10;4;4;57;44;60;45;47;9;76
2019-09-05 16:15:00;66;8;5;5;59;42;64;43;49;5;63
2019-09-05 16:30:00;72;10;4;4;47;38;49;38;46;8;75
2019-09-05 16:45:00;77;5;5;5;50;26;52;26;32;8;63
2019-09-05 17:00:00;78;11;3;3;47;38;47;38;35;8;66
2019-09-05 17:15:00;72;10;6;6;54;33;54;34;23;4;73
2019-09-05 17:30:00;97;15;6;6;42;33;42;33;24;4;65
2019-09-05 17:45:00;56;4;1;1;39;26;41;29;15;3;59
2019-09-05 18:00:00;49;9;1;2;33;17;32;17;16;7;57
2019-09-05 18:15:00;59;5;3;3;24;15;23;15;13;1;49
2019-09-05 18:30:00;46;4;3;3;19;4;19;4;11;1;50
2019-09-05 18:45:00;31;1;4;4;23;10;24;10;4;1;47
2019-09-05 19:00:00;28;4;1;1;22;4;21;4;7;4;43
2019-09-05 19:15:00;44;4;3;3;13;6;15;7;8;6;57
2019-09-05 19:30:00;32;2;1;1;8;1;8;1;4;1;37
2019-09-05 19:45:00;34;2;0;0;7;1;6;0;3;1;40
2019-09-05 20:00:00;30;6;0;0;5;1;6;0;5;1;62
2019-09-05 20:15:00;25;5;1;1;6;2;6;2;3;0;34
2019-09-05 20:30:00;15;1;2;2;2;0;2;0;2;0;17
2019-09-05 20:45:00;27;0;3;3;0;0;0;0;2;2;40
2019-09-05 21:00:00;38;5;6;6;4;1;5;0;1;1;42
2019-09-05 21:15:00;65;6;5;5;5;2;5;0;1;5;75
2019-09-05 21:30:00;64;8;1;1;4;2;4;2;3;2;40
2019-09-05 21:45:00;104;3;1;1;13;3;14;4;5;1;56
2019-09-05 22:00:00;59;4;1;1;8;2;7;2;7;0;69
2019-09-05 22:15:00;15;1;0;0;0;0;0;0;1;0;43
2019-09-05 22:30:00;16;1;1;1;4;0;4;0;3;1;15
2019-09-05 22:45:00;10;0;0;0;2;1;2;1;0;0;12
2019-09-05 23:00:00;7;0;1;1;0;0;0;0;0;0;12
2019-09-05 23:15:00;8;0;0;0;0;0;0;0;0;0;10
2019-09-05 23:30:00;9;0;0;0;1;0;1;0;1;0;13
2019-09-05 23:45:00;0;0;0;0;0;0;0;0;0;0;7
