DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DE1);9(DE2);10(DE3);11(DF1);12(DG1)
2020-02-22 21:00:00;109;24;11;39;23;48;107;39;51;1;2;2
2020-02-22 21:15:00;83;24;12;28;20;39;80;31;43;0;1;2
2020-02-22 21:30:00;85;19;44;50;25;39;90;66;55;1;0;1
2020-02-22 21:45:00;89;17;17;35;20;50;88;47;59;1;2;1
2020-02-22 22:00:00;117;20;10;28;26;57;116;33;60;0;1;0
2020-02-22 22:15:00;117;25;11;24;33;48;108;45;49;1;1;3
2020-02-22 22:30:00;96;24;8;25;18;34;86;38;43;0;1;2
2020-02-22 22:45:00;80;17;9;55;26;28;75;36;44;1;1;2
2020-02-22 23:00:00;56;17;14;24;20;21;58;35;46;0;1;0
2020-02-22 23:15:00;68;24;10;26;20;26;63;32;35;0;0;4
2020-02-22 23:30:00;56;21;10;34;12;20;50;30;35;0;0;3
2020-02-22 23:45:00;43;9;16;19;22;29;37;35;47;0;0;0
