2020-10-28 18:45:00;61;47;6;8;11;44;57;47;41;14;5;1
2020-10-28 19:00:00;50;31;5;8;21;58;52;37;58;15;3;6
2020-10-28 19:15:00;43;36;6;15;18;48;47;37;51;13;1;10
2020-10-28 19:30:00;56;40;0;3;4;55;47;28;27;15;4;6
2020-10-28 19:45:00;43;20;4;3;6;29;34;28;27;9;1;3
2020-10-28 20:00:00;42;31;2;6;7;47;54;33;49;10;4;10
2020-10-28 20:15:00;34;26;1;5;5;45;54;42;22;11;2;0
2020-10-28 20:30:00;34;20;4;9;12;30;38;26;36;8;0;2
2020-10-28 20:45:00;40;23;3;6;9;41;34;18;37;14;0;0
2020-10-28 21:00:00;42;24;3;3;7;36;26;17;35;15;0;0
2020-10-28 21:15:00;42;24;1;7;7;42;30;14;35;14;0;0
2020-10-28 21:30:00;33;16;1;4;4;25;33;19;30;9;0;0
2020-10-28 21:45:00;26;17;2;5;8;22;21;11;15;8;0;0
2020-10-28 22:00:00;31;25;5;4;7;26;32;31;19;13;0;2
2020-10-28 22:15:00;25;13;3;4;3;23;26;22;13;8;0;0
2020-10-28 22:30:00;12;9;0;5;6;11;24;13;13;12;0;0
2020-10-28 22:45:00;11;4;1;4;5;14;18;10;10;4;0;0
2020-10-28 23:00:00;19;8;2;1;0;9;14;7;15;6;0;0
2020-10-28 23:15:00;8;9;3;2;2;16;17;12;3;6;0;0
2020-10-28 23:30:00;7;3;1;1;1;9;7;4;7;2;0;0
2020-10-28 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
