DATUM;1(DA1);2(DA2);3(DC);4(DB);5(TAFGA);6(TAFGC)
2020-06-18 00:00:00;8;0;6;0;0;0
2020-06-18 00:15:00;6;0;4;0;0;0
2020-06-18 00:30:00;5;0;2;1;0;0
2020-06-18 00:45:00;7;0;4;0;0;0
2020-06-18 01:00:00;3;1;4;0;0;0
2020-06-18 01:15:00;7;1;3;0;0;0
2020-06-18 01:30:00;4;1;1;0;0;0
2020-06-18 01:45:00;4;0;5;0;0;0
2020-06-18 02:00:00;1;1;1;1;0;0
2020-06-18 02:15:00;3;1;6;1;0;0
2020-06-18 02:30:00;2;0;3;1;0;0
2020-06-18 02:45:00;2;0;5;0;0;0
2020-06-18 03:00:00;9;0;1;0;0;0
2020-06-18 03:15:00;1;0;5;0;0;0
2020-06-18 03:30:00;2;0;6;0;0;0
2020-06-18 03:45:00;2;1;3;1;0;0
2020-06-18 04:00:00;5;0;5;1;0;0
2020-06-18 04:15:00;5;0;4;1;0;0
2020-06-18 04:30:00;4;0;5;1;0;0
2020-06-18 05:00:00;13;6;24;0;0;0
2020-06-18 05:15:00;17;13;82;4;6;6
2020-06-18 05:30:00;30;18;96;14;5;4
2020-06-18 05:45:00;76;15;80;52;5;8
2020-06-18 06:00:00;91;11;95;78;15;9
2020-06-18 06:15:00;60;12;78;28;7;5
2020-06-18 06:30:00;60;14;132;15;15;8
2020-06-18 06:45:00;66;12;113;5;8;9
2020-06-18 07:00:00;58;9;105;2;4;7
2020-06-18 07:15:00;61;4;162;0;3;5
2020-06-18 07:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-18 07:45:00;76;5;104;0;2;5
2020-06-18 08:00:00;64;3;84;1;3;1
2020-06-18 08:15:00;44;3;83;2;1;6
2020-06-18 08:30:00;40;0;67;0;4;0
2020-06-18 08:45:00;45;2;51;1;0;0
2020-06-18 09:00:00;48;0;52;3;0;0
2020-06-18 09:15:00;32;0;54;0;0;2
2020-06-18 09:30:00;35;2;38;1;1;0
2020-06-18 09:45:00;35;2;70;6;0;0
2020-06-18 10:00:00;44;0;39;5;0;1
2020-06-18 10:15:00;46;1;40;0;0;0
2020-06-18 10:30:00;58;1;44;1;0;4
2020-06-18 10:45:00;51;1;42;0;0;0
2020-06-18 11:00:00;42;1;56;3;0;1
2020-06-18 11:15:00;67;0;54;5;10;0
2020-06-18 11:30:00;57;3;42;5;5;0
2020-06-18 11:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-18 12:00:00;57;3;54;8;7;0
2020-06-18 12:15:00;55;1;53;5;1;2
2020-06-18 12:30:00;47;1;60;4;0;0
2020-06-18 12:45:00;45;0;72;3;0;0
2020-06-18 13:00:00;53;5;67;3;6;1
2020-06-18 13:15:00;66;1;51;7;6;0
2020-06-18 13:30:00;60;4;69;9;6;3
2020-06-18 13:45:00;76;11;102;22;13;6
2020-06-18 14:00:00;97;5;73;27;19;9
2020-06-18 14:15:00;93;1;67;35;28;7
2020-06-18 14:30:00;104;2;44;25;3;3
2020-06-18 14:45:00;79;0;58;20;13;6
2020-06-18 15:00:00;94;4;57;26;12;13
2020-06-18 15:15:00;106;5;71;30;8;19
2020-06-18 15:30:00;84;6;48;8;10;2
2020-06-18 15:45:00;87;0;60;14;4;1
2020-06-18 16:00:00;85;1;61;7;7;23
2020-06-18 16:15:00;87;0;47;10;4;8
2020-06-18 16:30:00;83;0;53;11;12;0
2020-06-18 16:45:00;83;4;52;7;7;0
2020-06-18 17:00:00;96;4;53;8;3;3
2020-06-18 17:15:00;77;2;54;9;0;1
2020-06-18 17:30:00;70;1;63;3;0;2
2020-06-18 17:45:00;70;0;62;2;0;0
2020-06-18 18:00:00;81;1;44;7;3;1
2020-06-18 18:15:00;66;1;54;6;0;0
2020-06-18 18:30:00;68;2;36;2;0;0
2020-06-18 18:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-18 19:00:00;42;0;34;1;7;1
2020-06-18 19:15:00;42;5;37;7;0;0
2020-06-18 19:30:00;30;1;31;0;0;0
2020-06-18 19:45:00;36;0;22;1;0;0
2020-06-18 20:00:00;28;0;27;3;0;0
2020-06-18 20:15:00;35;0;29;0;0;0
2020-06-18 20:30:00;23;0;21;1;0;0
2020-06-18 20:45:00;28;0;24;0;0;0
2020-06-18 21:00:00;20;3;48;2;1;0
2020-06-18 21:15:00;30;4;42;2;6;0
2020-06-18 21:30:00;17;3;30;10;4;1
2020-06-18 21:45:00;43;1;29;30;0;6
2020-06-18 22:00:00;69;3;13;10;4;1
2020-06-18 22:15:00;19;0;13;3;8;0
2020-06-18 22:30:00;12;0;12;2;0;0
2020-06-18 22:45:00;9;0;7;1;0;1
2020-06-18 23:00:00;13;1;9;0;0;0
2020-06-18 23:15:00;9;0;9;1;0;0
2020-06-18 23:30:00;6;0;2;0;0;0
2020-06-18 23:45:00;8;0;8;0;0;0
