DATUM;1(DA2);2(DA3);3(DB1);4(DB2);5(TA1);6(TA2);7(TA3);8(IRA1);9(IRC1);10(IRC2)
2020-06-06 00:00:00;9;4;1;3;3;0;4;0;0;0
2020-06-06 00:15:00;4;5;3;6;2;5;10;0;0;0
2020-06-06 00:30:00;6;2;3;3;6;3;9;0;0;0
2020-06-06 00:45:00;5;4;4;4;3;7;9;0;0;0
2020-06-06 01:00:00;7;5;2;4;7;3;7;0;0;0
2020-06-06 01:15:00;10;5;0;3;3;8;7;0;0;0
2020-06-06 01:30:00;6;4;1;2;6;7;4;0;0;0
2020-06-06 01:45:00;3;3;1;3;3;3;4;0;0;0
2020-06-06 02:00:00;2;2;2;2;3;1;6;0;0;0
2020-06-06 02:15:00;1;1;1;3;5;7;12;0;0;0
2020-06-06 02:30:00;5;0;0;4;1;2;9;0;0;0
2020-06-06 02:45:00;1;0;0;2;3;4;6;0;0;0
2020-06-06 03:00:00;4;1;1;2;8;4;3;0;0;0
2020-06-06 03:15:00;4;3;1;2;4;4;10;0;0;0
2020-06-06 03:30:00;7;1;0;2;3;5;13;0;0;0
2020-06-06 03:45:00;3;2;1;0;3;1;7;0;0;0
2020-06-06 04:00:00;2;2;0;2;3;2;5;0;0;0
2020-06-06 04:15:00;4;2;3;2;3;4;6;0;0;0
2020-06-06 04:30:00;5;0;0;1;3;0;2;0;0;0
2020-06-06 04:45:00;4;2;0;1;3;4;15;0;0;0
2020-06-06 05:00:00;2;0;3;2;2;8;7;0;0;0
2020-06-06 05:15:00;6;9;11;4;5;2;19;0;0;0
2020-06-06 05:30:00;28;7;11;12;3;1;17;0;0;0
2020-06-06 05:45:00;70;12;18;64;24;1;23;0;0;0
2020-06-06 06:00:00;39;4;10;131;34;2;22;0;0;0
2020-06-06 06:15:00;22;4;6;46;19;6;14;0;0;0
2020-06-06 06:30:00;8;1;5;17;5;3;4;0;0;0
2020-06-06 06:45:00;7;3;9;7;2;1;10;0;0;0
2020-06-06 07:00:00;18;4;9;4;2;0;8;0;0;0
2020-06-06 07:15:00;16;2;5;7;0;0;9;0;0;0
2020-06-06 07:30:00;15;8;8;6;3;0;8;0;0;0
2020-06-06 07:45:00;26;6;10;11;1;0;15;0;0;0
2020-06-06 08:00:00;22;3;11;11;4;0;17;0;0;0
2020-06-06 08:15:00;21;6;8;8;2;1;18;0;0;0
