DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFGB);10(TAFBB)
2019-12-10 00:00:00;2;4;5;0;2;0;0;1;0;0
2019-12-10 00:15:00;2;3;3;1;1;0;1;1;0;0
2019-12-10 00:30:00;1;3;4;1;0;0;0;0;0;0
2019-12-10 00:45:00;8;8;1;2;0;0;1;3;0;0
2019-12-10 01:00:00;2;0;1;0;0;0;0;0;0;0
2019-12-10 01:15:00;2;3;0;1;0;0;1;0;0;0
2019-12-10 01:30:00;6;5;1;2;0;1;1;2;0;0
2019-12-10 01:45:00;1;1;1;0;0;0;0;0;0;0
2019-12-10 02:00:00;1;0;1;1;1;0;1;0;0;0
2019-12-10 02:15:00;2;2;3;0;1;0;0;0;0;0
2019-12-10 02:30:00;1;1;1;1;0;0;0;0;0;0
2019-12-10 02:45:00;2;1;1;1;0;0;0;1;0;0
2019-12-10 03:00:00;3;2;0;0;0;0;0;0;0;0
2019-12-10 03:15:00;2;4;0;0;1;0;0;0;0;0
2019-12-10 03:30:00;4;4;1;2;1;0;3;0;0;0
2019-12-10 03:45:00;9;11;7;6;4;1;1;0;0;0
2019-12-10 04:00:00;3;3;4;1;0;1;0;0;0;0
2019-12-10 04:15:00;6;3;2;0;3;1;1;0;0;0
2019-12-10 04:30:00;15;8;6;1;1;0;0;2;0;0
2019-12-10 04:45:00;37;10;24;4;0;1;1;3;0;0
2019-12-10 05:00:00;71;9;40;3;1;1;1;0;0;0
2019-12-10 05:15:00;134;16;164;8;0;9;2;5;0;0
2019-12-10 05:30:00;172;26;140;12;5;15;13;22;0;0
2019-12-10 05:45:00;127;25;80;11;20;4;73;70;0;0
2019-12-10 06:00:00;81;42;73;14;74;3;118;105;0;0
2019-12-10 06:15:00;73;34;87;5;16;1;59;49;0;0
2019-12-10 06:30:00;76;30;123;7;4;2;9;15;3;0
2019-12-10 06:45:00;103;31;107;0;1;2;1;10;0;0
2019-12-10 07:00:00;87;38;102;7;7;10;9;8;1;0
2019-12-10 07:15:00;72;21;91;5;8;7;11;4;0;0
