DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DI1);6(DC1);7(DD1);8(DD2);9(DE1);10(DF1);11(DF2)
2019-11-12 00:00:00;0;5;4;0;0;2;2;2;2;3;0
2019-11-12 00:15:00;1;3;5;0;1;0;8;1;0;4;1
2019-11-12 00:30:00;1;2;1;0;1;1;1;0;0;6;0
2019-11-12 00:45:00;0;3;6;2;2;1;2;2;0;1;0
2019-11-12 01:00:00;1;1;3;0;1;1;1;1;0;1;1
2019-11-12 01:15:00;0;0;4;0;0;1;0;0;2;4;1
2019-11-12 01:30:00;0;0;0;0;0;0;3;0;1;2;2
2019-11-12 01:45:00;0;0;2;0;0;0;0;0;0;0;0
2019-11-12 02:00:00;0;0;1;0;0;1;0;0;0;1;1
2019-11-12 02:15:00;0;1;0;0;0;0;0;0;0;2;0
2019-11-12 02:30:00;0;0;2;0;0;0;1;0;0;1;0
2019-11-12 02:45:00;0;1;2;0;0;0;1;0;0;0;1
2019-11-12 03:00:00;0;1;0;0;0;0;0;0;0;1;0
2019-11-12 03:15:00;0;1;0;0;0;0;0;0;1;2;2
2019-11-12 03:30:00;0;1;1;0;0;0;0;0;0;3;2
2019-11-12 03:45:00;0;1;3;0;0;0;1;0;0;0;0
2019-11-12 04:00:00;0;1;1;0;0;0;0;0;0;2;2
2019-11-12 04:15:00;0;1;4;0;1;1;1;0;2;2;0
2019-11-12 04:30:00;2;4;3;0;0;1;4;1;2;2;0
2019-11-12 04:45:00;0;5;5;0;0;0;0;0;1;3;3
2019-11-12 05:00:00;1;16;8;2;1;1;2;0;3;2;7
2019-11-12 05:15:00;3;35;42;2;4;9;10;0;2;7;11
2019-11-12 05:30:00;2;35;38;2;4;5;8;1;4;13;16
2019-11-12 05:45:00;8;42;40;2;6;7;10;4;6;31;20
2019-11-12 06:00:00;7;21;16;1;4;5;19;2;8;13;15
2019-11-12 06:15:00;8;33;20;4;8;6;16;3;10;21;27
2019-11-12 06:30:00;3;58;39;9;9;12;19;4;10;30;24
2019-11-12 06:45:00;4;52;52;6;10;16;24;6;22;30;29
2019-11-12 07:00:00;12;83;70;14;23;14;34;18;23;48;33
2019-11-12 07:15:00;20;71;59;24;33;11;35;15;42;63;28
2019-11-12 07:30:00;15;59;55;40;56;26;40;28;72;82;36
2019-11-12 07:45:00;14;60;66;19;34;29;52;39;56;79;39
2019-11-12 08:00:00;10;45;50;21;27;23;39;15;25;51;32
2019-11-12 08:15:00;17;78;65;12;24;18;41;17;42;57;35
2019-11-12 08:30:00;13;52;67;13;23;12;37;15;33;44;22
2019-11-12 08:45:00;17;41;44;20;26;16;25;17;31;41;20
2019-11-12 09:00:00;4;31;40;14;18;9;25;11;28;40;24
2019-11-12 09:15:00;7;38;29;10;16;22;23;18;28;54;19
2019-11-12 09:30:00;11;36;34;12;17;24;32;16;36;54;26
2019-11-12 09:45:00;11;27;33;11;19;25;30;20;27;39;21
2019-11-12 10:00:00;10;24;32;10;17;19;29;20;37;27;21
2019-11-12 10:15:00;5;20;53;14;19;20;41;20;26;33;20
2019-11-12 10:30:00;3;24;56;7;12;17;42;18;27;29;26
2019-11-12 10:45:00;7;21;28;9;13;21;31;14;18;23;27
2019-11-12 11:00:00;7;30;36;12;17;18;30;16;27;32;24
2019-11-12 11:15:00;11;39;43;9;16;18;36;19;30;32;21
2019-11-12 11:30:00;9;36;32;7;14;14;31;27;24;22;23
2019-11-12 11:45:00;7;26;45;12;18;17;32;17;26;29;21
2019-11-12 12:00:00;11;39;41;12;19;15;37;34;29;32;30
2019-11-12 12:15:00;11;31;45;6;10;18;43;26;31;29;21
2019-11-12 12:30:00;14;41;31;5;16;18;37;23;30;23;19
2019-11-12 12:45:00;7;36;39;11;17;23;37;24;26;33;20
2019-11-12 13:00:00;8;43;55;10;13;32;42;47;21;29;23
2019-11-12 13:15:00;4;43;45;7;10;33;36;42;21;39;27
2019-11-12 13:30:00;6;64;55;17;16;20;39;19;30;37;27
2019-11-12 13:45:00;18;54;42;8;24;20;28;21;35;28;24
2019-11-12 14:00:00;12;31;26;8;12;21;41;23;32;36;31
2019-11-12 14:15:00;15;42;43;9;24;18;34;22;29;39;45
2019-11-12 14:30:00;11;46;33;8;18;19;41;27;27;45;34
2019-11-12 14:45:00;17;42;40;9;21;16;36;19;42;41;36
2019-11-12 15:00:00;13;46;48;5;14;25;44;35;40;33;41
2019-11-12 15:15:00;10;43;45;11;19;25;41;16;39;33;37
2019-11-12 15:30:00;14;41;47;14;25;23;44;36;40;49;59
2019-11-12 15:45:00;24;36;50;13;29;23;55;55;56;54;47
2019-11-12 16:00:00;18;57;59;11;24;27;57;48;33;32;56
2019-11-12 16:15:00;16;52;61;8;21;31;51;35;36;30;65
2019-11-12 16:30:00;19;46;54;12;26;14;49;31;38;42;57
2019-11-12 16:45:00;18;45;54;9;20;23;53;31;55;56;44
2019-11-12 17:00:00;14;66;60;13;23;27;44;28;34;42;45
2019-11-12 17:15:00;14;38;47;10;20;20;47;35;48;50;54
2019-11-12 17:30:00;9;35;45;12;18;20;39;29;42;40;34
2019-11-12 17:45:00;14;47;45;8;17;24;42;23;30;36;38
2019-11-12 18:00:00;15;30;32;9;19;17;38;21;38;37;28
2019-11-12 18:15:00;13;38;47;7;17;15;36;15;28;32;28
2019-11-12 18:30:00;6;38;35;7;10;16;36;21;33;30;23
2019-11-12 18:45:00;4;27;31;9;12;10;29;18;24;26;28
2019-11-12 19:00:00;2;29;25;6;9;9;31;11;24;20;17
2019-11-12 19:15:00;9;20;26;6;12;5;33;14;16;24;24
2019-11-12 19:30:00;5;23;16;3;6;10;27;9;14;29;16
2019-11-12 19:45:00;6;15;16;7;11;14;25;15;14;18;16
2019-11-12 20:00:00;6;19;29;3;9;17;21;11;12;15;13
2019-11-12 20:15:00;2;17;22;2;4;18;16;11;10;13;12
2019-11-12 20:30:00;2;23;17;1;3;12;21;11;10;11;13
2019-11-12 20:45:00;5;22;22;2;6;7;23;7;4;15;12
2019-11-12 21:00:00;1;20;19;4;6;12;22;9;9;11;17
2019-11-12 21:15:00;3;19;18;1;2;9;13;5;9;8;9
2019-11-12 21:30:00;1;16;19;0;0;6;31;10;9;8;15
2019-11-12 21:45:00;2;17;18;2;3;6;10;7;10;7;12
2019-11-12 22:00:00;3;7;12;2;1;14;18;6;8;16;16
2019-11-12 22:15:00;1;15;19;2;3;14;11;1;3;9;13
2019-11-12 22:30:00;1;13;10;1;1;8;14;3;5;7;11
2019-11-12 22:45:00;0;5;7;2;3;5;14;6;7;9;4
2019-11-12 23:00:00;2;4;8;0;1;7;9;7;1;4;6
2019-11-12 23:15:00;1;5;4;0;1;4;3;1;1;2;1
2019-11-12 23:30:00;0;1;4;2;2;2;5;1;3;9;4
2019-11-12 23:45:00;0;3;1;0;0;2;4;1;1;5;0
