DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DCL1);7(TAFBA);8(TAFBB1);9(TAFBB2);10(TAFBC)
2020-01-31 00:00:00;6;4;2;1;5;1;0;0;0;0
2020-01-31 00:15:00;8;8;1;2;0;2;0;0;0;0
2020-01-31 00:30:00;4;7;0;0;0;0;0;0;0;0
2020-01-31 00:45:00;3;0;1;4;1;0;0;0;0;0
2020-01-31 01:00:00;0;3;3;3;0;2;0;0;0;0
2020-01-31 01:15:00;3;2;2;1;0;1;0;0;0;0
2020-01-31 01:30:00;1;2;0;4;0;0;0;0;0;0
2020-01-31 01:45:00;2;3;0;1;0;0;0;0;0;0
2020-01-31 02:00:00;1;1;0;0;0;0;0;0;0;0
2020-01-31 02:15:00;2;1;0;1;1;0;0;0;0;0
2020-01-31 02:30:00;1;2;0;1;1;2;0;0;0;0
2020-01-31 02:45:00;2;5;0;0;0;1;0;0;0;0
2020-01-31 03:00:00;2;0;1;1;1;1;0;0;0;0
2020-01-31 03:15:00;1;0;0;0;0;0;0;0;0;0
2020-01-31 03:30:00;1;1;0;1;0;3;0;0;0;0
2020-01-31 03:45:00;1;3;0;0;4;0;0;0;0;0
2020-01-31 04:00:00;0;0;0;0;1;0;0;0;0;0
2020-01-31 04:15:00;2;3;1;0;1;0;0;0;0;0
2020-01-31 04:30:00;1;2;0;2;2;3;0;0;0;0
2020-01-31 04:45:00;1;1;0;4;1;4;0;0;0;0
2020-01-31 05:00:00;4;6;5;1;1;4;0;0;0;0
2020-01-31 05:15:00;2;4;3;4;5;2;0;0;0;0
2020-01-31 05:30:00;7;11;10;7;6;14;0;0;0;0
2020-01-31 05:45:00;9;14;7;6;9;20;0;0;0;0
2020-01-31 06:00:00;5;16;9;11;14;27;0;0;0;0
2020-01-31 06:15:00;13;32;19;8;12;32;0;0;0;0
2020-01-31 06:30:00;13;21;25;13;26;42;0;0;0;0
2020-01-31 06:45:00;23;31;29;11;44;50;0;0;0;0
2020-01-31 07:00:00;14;36;34;20;29;61;0;0;0;0
2020-01-31 07:15:00;19;50;99;25;47;85;0;0;0;0
2020-01-31 07:30:00;28;59;100;32;62;107;0;0;0;0
2020-01-31 07:45:00;46;66;83;44;61;89;0;0;0;0
2020-01-31 08:00:00;28;50;60;33;57;81;0;0;0;0
2020-01-31 08:15:00;16;48;41;29;37;54;0;0;0;0
2020-01-31 08:30:00;22;38;40;28;42;43;0;0;0;0
2020-01-31 08:45:00;23;32;34;35;44;57;0;0;0;0
2020-01-31 09:00:00;26;27;28;35;30;47;0;0;0;0
2020-01-31 09:15:00;26;26;24;33;30;44;0;0;0;0
2020-01-31 09:30:00;27;28;34;50;28;49;0;0;0;0
2020-01-31 09:45:00;21;48;37;38;44;46;0;0;0;0
2020-01-31 10:00:00;34;35;31;54;29;38;0;0;0;0
2020-01-31 10:15:00;41;35;24;57;20;28;0;0;0;0
2020-01-31 10:30:00;45;37;52;58;35;34;0;0;0;0
2020-01-31 10:45:00;45;45;42;60;27;53;0;0;0;0
2020-01-31 11:00:00;49;43;35;43;37;32;0;0;0;0
2020-01-31 11:15:00;50;38;40;66;23;34;0;0;0;0
2020-01-31 11:30:00;49;50;41;58;33;24;0;0;0;0
2020-01-31 11:45:00;40;46;35;59;40;44;0;0;0;0
2020-01-31 12:00:00;55;43;27;53;20;42;0;0;0;0
2020-01-31 12:15:00;54;67;32;59;30;37;0;0;0;0
2020-01-31 12:30:00;67;69;53;63;21;25;0;0;0;0
2020-01-31 12:45:00;68;75;52;61;24;52;0;0;0;0
2020-01-31 13:00:00;98;93;59;66;30;49;0;0;0;0
2020-01-31 13:15:00;82;94;50;52;21;21;0;0;0;0
2020-01-31 13:30:00;60;77;49;58;30;49;0;0;0;0
2020-01-31 13:45:00;64;87;38;53;16;32;0;0;0;0
2020-01-31 14:00:00;78;86;28;61;14;48;0;0;0;0
2020-01-31 14:15:00;69;66;36;58;24;41;0;0;0;0
2020-01-31 14:30:00;82;136;47;60;29;40;0;0;0;0
2020-01-31 14:45:00;54;83;40;49;22;24;0;0;0;0
2020-01-31 15:00:00;78;98;52;60;28;49;0;0;0;0
2020-01-31 15:15:00;61;82;60;67;23;35;0;0;0;0
2020-01-31 15:30:00;57;106;51;46;24;48;0;0;0;0
2020-01-31 15:45:00;55;62;47;53;23;61;0;0;0;0
2020-01-31 16:00:00;51;60;44;59;22;38;0;0;0;0
2020-01-31 16:15:00;73;74;51;75;17;42;0;0;0;0
2020-01-31 16:30:00;52;55;46;57;22;37;0;0;0;0
2020-01-31 16:45:00;36;62;48;55;30;46;0;0;0;0
2020-01-31 17:00:00;58;59;41;49;36;53;0;0;0;0
2020-01-31 17:15:00;40;51;42;56;20;51;0;0;0;0
2020-01-31 17:30:00;57;53;40;66;24;36;0;0;0;0
2020-01-31 17:45:00;55;60;53;60;33;55;0;0;0;0
2020-01-31 18:00:00;61;82;33;43;37;50;0;0;0;0
2020-01-31 18:15:00;69;87;54;50;66;60;0;0;0;0
2020-01-31 18:30:00;39;74;41;49;53;42;0;0;0;0
2020-01-31 18:45:00;43;47;63;46;24;75;0;0;0;0
2020-01-31 19:00:00;39;57;29;32;26;93;0;0;0;0
2020-01-31 19:15:00;35;40;32;33;14;46;0;0;0;0
2020-01-31 19:30:00;36;34;25;40;24;32;0;0;0;0
2020-01-31 19:45:00;38;29;26;31;14;53;0;0;0;0
2020-01-31 20:00:00;37;41;36;31;8;36;0;0;0;0
2020-01-31 20:15:00;34;36;29;33;19;37;0;0;0;0
2020-01-31 20:30:00;39;29;29;24;14;30;0;0;0;0
2020-01-31 20:45:00;36;39;30;24;5;18;0;0;0;0
2020-01-31 21:00:00;59;19;11;19;6;25;0;0;0;0
2020-01-31 21:15:00;32;25;8;25;8;12;0;0;0;0
