IN_0012;1(DA1);2(DA2);3(DC2);4(DC1);;;;;;;;;;;;
IN_0013;1(DA1);2(DA2);3(DC1);4(DC2);;;;;;;;;;;;
IN_0024;1(DA1);2(DA2);3(DC1);4(DC2);;;;;;;;;;;;
IN_0026;1(DA1);3(DC1);;;;;;;;;;;;;;
IN_0036;1(DA1);2(DA2);3(DB1);4(DB2);;;;;;;;;;;;
In_0048;1(DA1);2(DB1);;;;;;;;;;;;;;
In_1010;1(DA1);2(DA2);3(DA3);4(DAL1);5(DB1);6(DB2);7(DB3);8(DBL1);9(DBL2);10(DC1);11(DCL1);12(DCL2);13(DD1);14(DD2);15(DD3);16(DDL1)
IN_1011;1(DAL1);2(DBR1);3(DBL1);4(DBL2);5(DC1);6(DC2);7(DC3);;;;;;;;;
IN_1012;1(DA1);2(DA2RES);3(DB1);4(DC1);5(DC2RES);6(DD1);;;;;;;;;;
IN_1022;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);;;;;;;;
IN_1040;1(DA1);;;;;;;;;;;;;;;
IN_1080;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);;;;;;;;;;;
IN_2010;1(DA1);2(DA2);3(VDB1);4(VDB2);7(DC1);8(DC2);9(VDD1);10(VDD2);;;;;;;;
IN_3010;1(DA1);2(DA2);3(DB1);4(DB2);5(DD1);6(DD2);7(DF1);8(DF2);10(DA3);;;;;;;
IN_3021;1(DA1);2(DA2);3(DA3);4(DC4);5(DC1);6(DC2);7(DD1);8(DD2);9(DE1);10(DE2);11(DF1);;;;;
IN_3022;1(DA1);2(DA2);4(DC1);5(DC2);6(DC3);8(DH1);9(DH2);11(DH4);10(DH3);;;;;;;
IN_3030;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(DD2);8(DE1);;;;;;;;
IN_3040;2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DD3);;;;
IN_3060;1(DA1);2(DA2);3(DB1);4(DD1);5(DD2);6(DE1);7(DC1);8(DC2);9(DF2);10(DF1);;;;;;
IN_3080;1(DA1);2(DB1);3(DB2);4(DC1);5(DC2);;;;;;;;;;;
IN_3090;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);9(DD1);10(DD2);11(DD3);;;;;;
IN_3091;1(DA1);2(DA2);3(DB1);4(DC1);;;;;;;;;;;;
IN_3100;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DD1);;;;;;;;;
IN_3110;1(DA1);2(DA2);3(DAL1);4(DB1);5(DB2);6(DC1);7(DC2);8(DCL1);9(DD1);10(DD2);11(DD3);;;;;
IN_3120;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);;;;;;
IN_3140;1(DA1);2(DB1);3(DC1);4(DD2);;;;;;;;;;;;
IN_3130;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2);;;;;;;
IN_3150;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(DC3);10(DD1);11(DE1);;;;;
IN_3160;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);;;;;;;;;
IN_3180;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);;;;;;;;
IN_4010;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);;;;;;;;
IN_4020;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DD1);9(DD2);10(DD3);;;;;;
IN_4040;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);;;;;;
IN_4050;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DB1);;;;;;;;;;
IN_4060;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);;;;;;;;;
IN_4070;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);;;;;;;;;
IN_4100;1(DB1);2(DB2);3(DB3);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);;;;;;;;
IN_4110;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);;;;;;;;;
IN_4140;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(DD4);
IN_4150;1(DA1);2(DA2);6(DB2);7(DC1);8(DC2);;;;;;;;;;;
