DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(DD4);16(TAFBA);53(TAFBA2);54(TAFBB2);55(TAFBC);56(TAFBD);57(TAFBE)
2019-11-30 00:00:00;4;15;5;5;9;9;4;1;16;6;1;3;11;4;2;0;0;0;0;0;0
2019-11-30 00:15:00;5;20;11;8;5;11;0;2;22;16;2;4;9;6;3;0;0;0;0;0;0
2019-11-30 00:30:00;9;14;9;3;5;9;2;1;9;11;2;1;7;7;1;0;0;0;0;0;0
2019-11-30 00:45:00;6;8;2;2;3;18;3;2;13;9;2;2;6;4;1;0;0;0;0;0;0
2019-11-30 01:00:00;7;15;3;3;6;5;1;3;11;10;1;2;8;2;2;0;0;0;0;0;0
2019-11-30 01:15:00;5;12;4;1;2;6;1;1;11;11;0;0;3;8;1;0;0;0;0;0;0
2019-11-30 01:30:00;7;7;3;0;1;6;1;1;13;5;0;2;4;5;4;0;0;0;0;0;0
2019-11-30 01:45:00;1;7;4;6;1;1;1;0;5;1;1;0;4;2;5;0;0;0;0;0;0
2019-11-30 02:00:00;3;9;4;1;2;7;1;0;9;4;0;1;2;1;0;0;0;0;0;0;0
2019-11-30 02:15:00;4;7;4;1;1;4;0;2;5;2;1;0;4;5;3;0;0;0;0;0;0
2019-11-30 02:30:00;1;7;4;2;1;4;0;0;3;0;0;0;2;0;1;0;0;0;0;0;0
2019-11-30 02:45:00;4;9;1;0;1;2;0;0;9;4;1;0;3;1;0;0;0;0;0;0;0
2019-11-30 03:00:00;2;1;1;2;2;3;1;0;5;4;0;1;3;3;0;0;0;0;0;0;0
2019-11-30 03:15:00;3;2;3;1;0;2;0;1;1;0;1;0;6;3;0;0;0;0;0;0;0
2019-11-30 03:30:00;2;5;2;1;2;5;1;0;2;4;0;0;3;2;0;0;0;0;0;0;0
2019-11-30 03:45:00;1;3;2;0;0;3;1;0;1;2;0;1;5;2;0;0;0;0;0;0;0
2019-11-30 04:00:00;2;6;2;2;2;1;0;0;5;4;1;0;2;4;0;0;0;0;0;0;0
2019-11-30 04:15:00;1;5;0;0;1;2;0;0;3;2;0;1;0;2;1;0;0;0;0;0;0
2019-11-30 04:30:00;2;7;1;3;3;1;1;0;4;1;0;1;0;0;0;0;0;0;0;0;0
2019-11-30 04:45:00;1;11;2;1;2;2;0;1;2;2;0;2;1;2;0;0;0;0;0;0;0
2019-11-30 05:00:00;3;7;2;1;0;3;0;0;1;5;0;0;1;1;3;0;0;0;0;0;0
2019-11-30 05:15:00;3;11;3;0;3;4;0;0;9;4;1;4;5;3;0;0;0;0;0;0;0
2019-11-30 05:30:00;12;18;10;3;7;11;1;2;14;11;2;8;5;6;3;0;0;0;0;0;0
2019-11-30 05:45:00;11;26;16;6;4;7;5;3;14;6;9;9;12;4;2;0;0;0;0;0;0
2019-11-30 06:00:00;6;31;11;3;6;8;4;0;8;6;3;29;23;9;8;0;0;0;0;0;0
2019-11-30 06:15:00;8;20;13;5;6;3;1;0;18;9;9;11;24;1;4;0;0;0;0;0;0
2019-11-30 06:30:00;9;12;1;3;6;12;2;2;18;16;8;12;13;4;6;0;0;0;0;0;0
2019-11-30 06:45:00;15;21;9;4;5;11;3;2;10;16;6;8;11;10;6;0;0;0;0;0;0
2019-11-30 07:00:00;9;15;10;4;6;4;2;3;10;13;5;7;14;4;2;0;0;0;0;0;0
2019-11-30 07:15:00;9;22;9;2;8;4;2;0;13;18;3;10;11;12;3;0;0;0;0;0;0
2019-11-30 07:30:00;8;31;11;6;10;13;6;3;20;19;8;3;27;14;8;0;0;0;0;0;0
2019-11-30 07:45:00;18;30;13;5;15;16;6;6;23;19;11;12;21;18;12;0;0;0;0;0;0
2019-11-30 08:00:00;19;37;12;4;27;17;17;1;23;21;7;9;16;9;4;0;0;0;0;0;0
2019-11-30 08:15:00;18;39;15;5;19;11;7;6;28;21;13;10;25;11;2;0;0;0;0;0;0
2019-11-30 08:30:00;23;48;21;17;32;13;11;0;33;19;19;8;43;18;14;0;0;0;0;0;0
2019-11-30 08:45:00;21;67;32;14;29;22;15;3;32;30;18;14;37;15;14;0;0;0;0;0;0
2019-11-30 09:00:00;19;74;35;18;25;21;21;2;36;21;18;17;38;17;14;0;9;3;0;0;0
2019-11-30 09:15:00;23;81;50;14;37;27;16;4;43;32;12;20;72;21;15;0;0;1;0;0;0
2019-11-30 09:30:00;28;69;35;22;41;26;24;11;26;22;14;31;56;24;20;0;0;0;0;0;0
2019-11-30 09:45:00;33;112;66;18;47;46;20;7;68;59;29;25;76;36;23;1;0;1;0;0;0
2019-11-30 10:00:00;26;104;64;15;49;34;17;21;44;41;28;33;85;31;22;7;0;0;2;0;0
2019-11-30 10:15:00;31;95;48;29;55;41;25;15;52;48;30;28;74;27;25;3;0;6;0;0;0
2019-11-30 10:30:00;37;99;61;15;50;44;25;10;60;68;31;26;62;33;29;2;0;0;0;2;0
2019-11-30 10:45:00;45;112;75;33;65;43;17;17;46;47;24;26;70;39;30;0;0;0;10;0;0
2019-11-30 11:00:00;23;102;69;26;48;53;29;12;54;49;22;18;65;32;24;0;0;0;0;0;0
2019-11-30 11:15:00;32;125;66;36;61;63;27;16;82;74;27;34;76;40;34;3;1;0;0;0;0
2019-11-30 11:30:00;35;108;73;33;61;50;26;21;63;53;26;43;68;43;35;0;0;2;0;10;0
2019-11-30 11:45:00;46;122;91;26;80;60;27;14;64;57;26;33;99;41;31;0;0;1;0;0;0
2019-11-30 12:00:00;31;90;59;18;43;47;18;18;76;61;30;28;47;31;19;0;0;2;0;7;0
2019-11-30 12:15:00;27;128;74;36;41;49;26;12;75;72;30;38;69;39;40;0;2;0;0;1;0
2019-11-30 12:30:00;35;122;77;35;69;56;26;19;72;76;24;36;88;46;34;0;0;2;0;0;0
2019-11-30 12:45:00;43;124;90;40;48;40;33;23;89;74;35;33;77;32;24;0;0;5;0;0;0
2019-11-30 13:00:00;25;121;80;32;47;40;28;14;65;98;27;28;55;31;19;1;0;0;0;0;0
2019-11-30 13:15:00;28;121;97;34;65;59;26;14;87;67;29;21;69;37;29;19;0;0;0;5;10
2019-11-30 13:30:00;37;125;88;32;67;63;30;25;92;94;44;38;69;36;30;0;0;1;0;5;0
2019-11-30 13:45:00;34;133;92;26;51;43;38;22;94;84;31;45;63;42;33;0;6;0;0;0;0
2019-11-30 14:00:00;32;144;93;32;59;53;35;24;138;95;34;43;83;46;33;5;0;1;0;10;1
2019-11-30 14:15:00;28;129;74;33;40;51;17;27;81;84;39;45;64;46;32;0;0;8;0;1;3
2019-11-30 14:30:00;28;111;78;27;60;46;24;22;81;79;37;37;70;40;22;1;0;5;0;1;5
2019-11-30 14:45:00;35;119;87;32;57;54;29;21;89;89;30;40;65;35;25;0;0;0;0;0;0
2019-11-30 15:00:00;30;124;83;36;64;64;27;28;101;96;36;30;55;35;18;0;0;0;1;0;0
2019-11-30 15:15:00;35;134;76;29;64;53;27;21;100;111;34;28;65;34;32;0;1;1;0;1;0
2019-11-30 15:30:00;26;119;78;35;65;38;43;26;97;75;29;36;69;39;28;0;1;14;0;1;0
2019-11-30 15:45:00;32;120;83;19;49;56;23;18;101;77;28;34;73;38;27;6;0;0;0;1;0
2019-11-30 16:00:00;22;128;75;31;52;42;36;23;89;91;33;38;75;33;25;0;0;0;1;0;0
2019-11-30 16:15:00;36;111;77;18;52;48;22;14;65;63;19;44;68;39;26;1;0;0;0;26;0
2019-11-30 16:30:00;28;130;87;24;66;50;20;16;85;64;36;41;100;53;47;1;0;12;0;3;0
2019-11-30 16:45:00;38;112;74;36;43;38;27;37;110;110;34;31;75;48;39;0;2;12;0;0;0
2019-11-30 17:00:00;22;127;88;29;62;50;26;25;99;97;31;24;75;35;35;5;1;0;0;1;2
2019-11-30 17:15:00;33;123;99;9;56;52;33;28;84;85;37;32;53;41;26;0;0;0;0;0;0
2019-11-30 17:30:00;23;122;74;29;49;47;25;26;85;96;28;33;80;42;29;5;0;1;0;0;0
2019-11-30 17:45:00;35;115;82;28;45;43;30;15;96;81;27;39;70;51;27;2;0;0;0;0;0
2019-11-30 18:00:00;37;117;69;25;56;36;21;17;97;103;26;27;67;45;33;3;0;1;0;1;0
2019-11-30 18:15:00;22;119;76;23;51;37;19;23;89;93;26;25;74;35;23;1;0;0;0;0;0
2019-11-30 18:30:00;24;96;64;18;34;26;23;29;105;82;19;27;51;33;22;0;1;0;0;0;0
2019-11-30 18:45:00;21;86;42;16;48;38;15;34;86;70;28;18;80;27;13;0;0;0;0;0;0
2019-11-30 19:00:00;23;83;47;26;40;28;19;22;84;83;24;21;44;26;9;0;0;0;0;2;0
2019-11-30 19:15:00;21;76;44;11;41;28;14;19;83;78;22;23;33;23;10;0;0;3;0;0;1
2019-11-30 19:30:00;20;62;36;7;22;20;13;13;69;64;16;17;41;18;11;1;0;0;0;0;0
2019-11-30 19:45:00;17;59;44;18;26;16;13;22;69;58;14;23;44;24;20;0;0;0;0;9;6
2019-11-30 20:00:00;17;56;31;11;9;16;13;18;105;90;17;25;37;22;45;0;0;0;0;1;0
2019-11-30 20:15:00;14;46;32;8;20;17;2;23;77;64;16;13;24;21;11;0;0;0;0;0;0
2019-11-30 20:30:00;23;53;34;9;17;18;7;7;47;41;12;8;18;11;9;0;0;0;0;0;0
2019-11-30 20:45:00;12;46;22;10;12;16;4;5;29;35;6;6;18;15;8;0;0;0;0;0;0
2019-11-30 21:00:00;11;41;21;12;12;17;4;11;29;30;9;2;8;7;12;0;0;0;0;1;0
2019-11-30 21:15:00;13;35;19;11;5;15;1;2;28;32;6;4;9;10;2;3;0;0;0;0;0
2019-11-30 21:30:00;13;32;15;13;9;8;3;5;28;26;8;4;12;5;6;0;0;0;0;0;0
2019-11-30 21:45:00;7;28;15;7;9;9;6;3;27;21;2;6;17;10;9;2;0;0;0;0;0
2019-11-30 22:00:00;11;26;13;9;11;29;6;7;21;27;5;5;16;16;6;0;0;0;0;0;0
2019-11-30 22:15:00;13;42;26;10;14;22;6;4;41;54;8;5;8;7;2;0;0;1;0;0;0
2019-11-30 22:30:00;8;29;19;9;11;12;4;3;20;15;2;3;12;10;3;0;0;0;0;2;0
2019-11-30 22:45:00;9;38;31;3;9;15;3;1;37;33;0;3;14;6;3;0;0;0;0;0;0
2019-11-30 23:00:00;6;23;12;6;12;21;8;6;22;19;4;4;17;9;5;0;0;0;0;0;0
2019-11-30 23:15:00;10;20;10;10;24;18;2;3;26;22;6;0;11;15;5;0;0;0;0;0;0
