DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(DF1);10(DF2);11(D11RES);12(D12RES);13(D13RES);14(D14RES)
2020-08-23 00:00:00;9;12;17;3;11;10;2;2;7;15;0;0;0;0
2020-08-23 00:15:00;13;14;27;5;20;10;12;6;8;14;0;0;0;0
2020-08-23 00:30:00;8;3;16;4;12;7;5;1;5;8;0;0;0;0
2020-08-23 00:45:00;13;12;26;6;15;11;9;5;13;10;0;0;0;0
2020-08-23 01:00:00;10;11;20;8;16;7;12;2;10;3;0;0;0;0
2020-08-23 01:15:00;4;11;26;4;9;7;11;6;9;4;0;0;0;0
2020-08-23 01:30:00;8;9;12;2;9;4;7;1;5;6;0;0;0;0
2020-08-23 01:45:00;6;8;13;5;13;8;6;1;8;6;0;0;0;0
2020-08-23 02:00:00;8;7;9;1;7;8;5;2;8;6;0;0;0;0
2020-08-23 02:15:00;7;5;9;0;10;9;3;0;2;3;0;0;0;0
2020-08-23 02:30:00;5;1;8;1;5;3;1;1;5;5;0;0;0;0
2020-08-23 02:45:00;6;7;7;2;5;6;4;0;4;4;0;0;0;0
2020-08-23 03:00:00;4;3;4;1;2;5;5;3;4;3;0;0;0;0
2020-08-23 03:15:00;2;1;5;1;3;2;3;0;1;2;0;0;0;0
2020-08-23 03:30:00;0;1;3;0;3;3;2;1;0;2;0;0;0;0
2020-08-23 03:45:00;3;4;6;1;1;2;2;1;2;1;0;0;0;0
2020-08-23 04:00:00;4;0;2;0;7;5;0;0;2;2;0;0;0;0
2020-08-23 04:15:00;2;3;5;0;6;3;2;0;2;4;0;0;0;0
2020-08-23 04:30:00;2;1;6;0;2;0;2;0;1;3;0;0;0;0
2020-08-23 04:45:00;4;5;4;1;1;5;3;1;2;2;0;0;0;0
2020-08-23 05:00:00;2;2;3;0;5;1;1;0;4;2;0;0;0;0
2020-08-23 05:15:00;4;1;3;3;4;7;3;2;1;6;0;0;0;0
2020-08-23 05:30:00;7;5;9;1;6;7;4;1;1;3;0;0;0;0
2020-08-23 05:45:00;5;8;7;1;5;1;3;0;3;3;0;0;0;0
2020-08-23 06:00:00;1;9;7;0;8;0;1;0;5;3;0;0;0;0
2020-08-23 06:15:00;4;5;5;0;6;6;5;0;9;4;0;0;0;0
2020-08-23 06:30:00;7;3;4;2;6;4;3;1;4;2;0;0;0;0
2020-08-23 06:45:00;2;2;8;1;6;5;4;0;5;9;0;0;0;0
2020-08-23 07:00:00;8;3;14;3;8;4;2;1;7;8;0;0;0;0
2020-08-23 07:15:00;10;10;7;2;11;6;1;1;2;4;0;0;0;0
