DATUM;1(DA2);2(DA3);3(DB1);4(DB2);5(TA1);6(TA2);7(TA3);8(IRA1);9(IRC1);10(IRC2)
2021-01-04 00:00:00;2;0;0;1;0;0;0;0;0;0
2021-01-04 00:15:00;2;0;0;1;3;0;0;0;0;0
2021-01-04 00:30:00;3;4;0;0;0;1;0;0;0;0
2021-01-04 00:45:00;1;0;0;0;0;0;1;0;0;0
2021-01-04 01:00:00;0;0;0;2;1;0;0;0;0;0
2021-01-04 01:15:00;2;0;0;0;0;2;3;0;0;0
2021-01-04 01:30:00;0;1;0;2;1;0;0;0;0;0
2021-01-04 01:45:00;0;0;0;1;1;0;0;0;0;0
2021-01-04 02:00:00;0;1;1;0;0;1;0;0;0;0
2021-01-04 02:15:00;0;0;0;0;1;0;0;0;0;0
2021-01-04 02:30:00;1;0;1;0;2;1;2;0;0;0
2021-01-04 02:45:00;3;0;0;0;0;0;0;0;0;0
2021-01-04 03:00:00;1;0;0;1;0;0;1;0;0;0
2021-01-04 03:15:00;3;1;0;0;0;1;0;0;0;0
2021-01-04 03:30:00;1;2;1;0;0;1;0;0;0;0
2021-01-04 03:45:00;0;1;0;0;0;0;2;0;0;0
2021-01-04 04:00:00;5;1;0;0;1;2;5;0;0;0
2021-01-04 04:15:00;4;3;1;0;0;5;0;0;0;0
2021-01-04 04:30:00;1;1;0;2;0;1;3;0;0;0
2021-01-04 04:45:00;5;2;1;3;1;5;3;0;0;0
2021-01-04 05:00:00;3;6;5;2;1;7;5;0;0;0
2021-01-04 05:15:00;7;10;16;4;2;10;4;0;0;1
2021-01-04 05:30:00;23;18;24;1;2;10;8;0;0;2
2021-01-04 05:45:00;12;11;12;6;2;14;5;0;0;1
2021-01-04 06:00:00;10;13;16;11;6;10;0;0;0;2
2021-01-04 06:15:00;18;13;14;15;6;9;9;0;0;1
2021-01-04 06:30:00;28;21;23;14;5;13;9;0;0;2
2021-01-04 06:45:00;35;17;28;13;3;12;9;0;0;2
2021-01-04 07:00:00;31;13;23;10;7;6;9;0;0;1
2021-01-04 07:15:00;44;17;20;14;8;13;9;0;0;0
2021-01-04 07:30:00;48;19;25;8;6;14;7;0;0;2
2021-01-04 07:45:00;36;15;27;14;11;13;6;0;0;3
2021-01-04 08:00:00;35;15;23;16;7;19;15;0;0;1
2021-01-04 08:15:00;27;16;19;6;3;9;16;0;0;2
2021-01-04 08:30:00;41;16;25;10;6;19;14;0;0;2
