DATUM;1(DA1);2(DA2);3(DB1);4(DD1);5(DD2);6(DE1);7(DC1);8(DC2);9(DF2);10(DF1)
2019-12-20 00:00:00;14;9;1;9;14;6;14;8;10;14
2019-12-20 00:15:00;18;8;2;11;11;4;12;8;14;17
2019-12-20 00:30:00;12;6;0;11;11;6;13;9;5;11
2019-12-20 00:45:00;12;3;1;13;17;3;18;12;8;11
2019-12-20 01:00:00;10;13;1;13;10;1;8;6;13;6
2019-12-20 01:15:00;13;8;0;6;7;0;7;4;6;10
2019-12-20 01:30:00;9;5;1;11;7;0;7;7;5;7
2019-12-20 01:45:00;12;9;0;9;8;2;8;5;9;9
2019-12-20 02:00:00;6;1;0;2;6;1;6;1;1;6
2019-12-20 02:15:00;8;4;0;3;8;2;8;2;2;7
2019-12-20 02:30:00;8;4;0;5;8;0;8;2;4;7
2019-12-20 02:45:00;7;4;3;10;7;0;5;6;5;5
2019-12-20 03:00:00;8;6;1;2;3;0;2;0;5;6
2019-12-20 03:15:00;11;6;0;1;4;0;4;1;4;8
2019-12-20 03:30:00;11;6;0;0;2;0;3;0;6;9
2019-12-20 03:45:00;4;4;0;4;4;2;2;2;3;4
2019-12-20 04:00:00;1;5;0;6;2;0;2;5;5;1
2019-12-20 04:15:00;9;11;0;6;9;0;8;5;9;7
2019-12-20 04:30:00;5;4;0;5;6;1;6;5;4;4
2019-12-20 04:45:00;8;6;0;10;13;3;13;6;6;6
2019-12-20 05:00:00;16;7;1;10;12;1;12;9;11;14
2019-12-20 05:15:00;20;13;0;20;24;3;28;19;14;18
2019-12-20 05:30:00;24;11;1;36;44;12;46;31;13;23
2019-12-20 05:45:00;27;19;3;60;63;7;69;56;22;25
2019-12-20 06:00:00;28;15;0;43;43;8;45;38;17;25
2019-12-20 06:15:00;38;38;3;58;66;22;71;57;36;33
2019-12-20 06:30:00;45;28;2;85;83;25;91;82;37;42
2019-12-20 06:45:00;45;40;6;115;96;12;97;114;45;43
2019-12-20 07:00:00;45;31;11;154;76;21;96;125;36;37
2019-12-20 07:15:00;54;31;10;167;142;21;137;162;43;40
2019-12-20 07:30:00;75;57;20;130;128;40;131;130;60;58
2019-12-20 07:45:00;91;70;14;107;91;52;110;109;71;80
2019-12-20 08:00:00;68;40;13;109;106;24;114;97;44;56
2019-12-20 08:15:00;66;52;9;86;84;26;90;87;55;47
2019-12-20 08:30:00;69;44;14;87;97;25;143;83;54;47
2019-12-20 08:45:00;69;50;13;95;88;27;99;99;51;57
