DATUM;1(DB1);2(DB2);3(DB3);4(DC1);5(DC2);6(DC3);7(DE1);8(DE2);9(DE3);10(DR2);11(DR3);12(TA1);13(TA2);14(TA3)
2020-06-21 00:00:00;8;14;0;12;16;9;4;10;0;0;1;0;0;0
2020-06-21 00:15:00;15;14;0;12;26;10;7;7;1;0;0;0;0;0
2020-06-21 00:30:00;6;13;0;9;23;10;6;10;2;0;0;0;0;0
2020-06-21 00:45:00;11;10;0;21;19;8;4;7;3;0;0;0;0;0
2020-06-21 01:00:00;9;16;0;20;17;11;4;6;3;0;0;0;0;0
2020-06-21 01:15:00;8;7;0;9;12;4;3;7;3;0;0;0;0;0
2020-06-21 01:30:00;3;5;0;3;16;8;6;5;1;0;0;0;0;0
2020-06-21 01:45:00;6;10;0;11;18;4;3;5;1;0;0;0;0;0
2020-06-21 02:00:00;3;4;0;3;13;2;2;7;1;0;0;0;0;0
2020-06-21 02:15:00;5;6;0;8;9;1;1;6;0;0;0;0;0;0
2020-06-21 02:30:00;3;6;0;4;6;4;5;7;0;1;0;0;0;0
2020-06-21 02:45:00;2;2;0;5;10;4;7;6;0;0;0;0;0;0
2020-06-21 03:00:00;3;4;0;1;3;2;1;3;0;2;0;0;0;0
2020-06-21 03:15:00;3;2;0;0;7;1;2;2;0;0;0;0;0;0
2020-06-21 03:30:00;3;2;0;2;2;1;1;1;0;0;0;0;0;0
2020-06-21 03:45:00;0;0;0;1;3;3;1;6;0;0;0;0;0;0
2020-06-21 04:00:00;1;2;0;5;4;1;0;2;0;0;0;0;0;0
2020-06-21 04:15:00;0;1;0;1;3;1;3;3;0;0;0;0;0;0
2020-06-21 04:30:00;0;2;0;0;4;1;0;1;0;0;0;0;0;0
2020-06-21 04:45:00;4;4;0;3;5;1;0;1;0;0;0;0;0;0
2020-06-21 05:00:00;0;3;0;4;6;1;0;0;0;0;0;0;0;0
2020-06-21 05:15:00;1;4;0;3;4;3;3;3;1;0;0;0;0;0
2020-06-21 05:30:00;2;11;0;2;5;0;0;5;0;0;0;0;0;0
2020-06-21 05:45:00;9;10;0;6;5;1;0;2;1;1;0;0;0;0
2020-06-21 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-21 06:15:00;1;8;0;9;13;6;0;5;4;0;0;0;0;0
2020-06-21 06:30:00;3;10;0;7;7;3;0;5;1;1;0;0;0;0
2020-06-21 06:45:00;5;13;0;4;13;4;1;1;0;2;0;0;0;0
2020-06-21 07:00:00;6;4;0;9;13;2;0;2;1;0;0;0;0;0
2020-06-21 07:15:00;2;7;1;7;14;5;4;2;5;3;0;0;0;0
2020-06-21 07:30:00;5;12;0;11;14;4;1;2;0;2;0;0;0;0
2020-06-21 07:45:00;9;18;1;14;23;14;4;7;1;1;0;0;0;0
2020-06-21 08:00:00;8;14;2;20;6;8;0;5;2;0;0;0;0;0
2020-06-21 08:15:00;12;15;4;22;15;4;2;7;3;5;1;0;0;0
