DATUM;1(DA1);2(DB1);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFBA);9(TAFBB);10(TAFGC);11(TAFBC);12(TAFBD)
2020-07-26 21:00:00;59;0;48;0;0;1;0;0;0;0;0;0
2020-07-26 21:15:00;53;0;53;0;0;0;0;0;0;2;0;0
2020-07-26 21:30:00;47;0;42;0;0;0;0;0;0;0;0;0
2020-07-26 21:45:00;33;0;32;0;0;0;0;0;0;0;0;0
2020-07-26 22:00:00;24;0;23;0;0;0;0;0;0;0;0;0
2020-07-26 22:15:00;36;0;34;0;0;0;0;0;0;0;0;0
2020-07-26 22:30:00;29;0;25;0;0;0;0;0;0;0;0;0
2020-07-26 22:45:00;26;0;20;0;0;0;0;0;0;0;0;0
2020-07-26 23:00:00;18;0;15;0;0;0;0;0;0;0;0;0
2020-07-26 23:15:00;14;0;16;0;0;0;0;0;0;0;0;0
2020-07-26 23:30:00;16;0;12;0;0;0;0;0;0;0;0;0
2020-07-26 23:45:00;9;0;7;0;0;0;0;0;0;0;0;0
