DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(TAFGC)
2019-11-09 00:00:00;11;8;7;0;0;15;3;15;2;0;0
2019-11-09 00:15:00;7;1;1;0;0;12;0;12;0;0;0
2019-11-09 00:30:00;12;3;4;0;0;18;1;18;0;0;0
2019-11-09 00:45:00;10;3;1;0;0;17;1;17;0;0;0
2019-11-09 01:00:00;16;2;1;0;0;14;1;14;1;0;0
2019-11-09 01:15:00;6;2;0;0;0;18;1;18;0;0;0
2019-11-09 01:30:00;10;3;3;0;0;17;2;17;0;0;0
2019-11-09 01:45:00;7;4;3;0;0;18;3;17;0;0;0
2019-11-09 02:00:00;9;3;3;0;0;7;1;7;0;0;0
2019-11-09 02:15:00;7;2;1;0;0;12;0;12;0;0;0
2019-11-09 02:30:00;5;1;1;0;0;3;0;3;0;0;0
2019-11-09 02:45:00;1;0;0;0;0;5;0;5;0;0;0
2019-11-09 03:00:00;5;2;1;0;0;6;0;6;0;1;0
2019-11-09 03:15:00;5;2;1;0;0;3;1;3;0;0;0
2019-11-09 03:30:00;5;4;3;0;0;4;1;4;0;0;0
2019-11-09 03:45:00;7;1;1;0;0;2;0;2;0;0;0
2019-11-09 04:00:00;1;2;0;0;0;11;1;11;0;0;0
2019-11-09 04:15:00;3;0;1;0;0;5;0;5;0;0;0
2019-11-09 04:30:00;6;1;1;0;0;7;3;6;2;1;0
2019-11-09 04:45:00;2;2;2;0;1;8;2;8;0;0;0
2019-11-09 05:00:00;4;1;2;0;0;6;2;6;0;0;0
2019-11-09 05:15:00;9;3;3;0;0;5;2;5;0;2;0
2019-11-09 05:30:00;17;2;1;0;0;14;1;14;0;1;0
2019-11-09 05:45:00;19;1;0;0;0;12;2;12;1;0;0
2019-11-09 06:00:00;12;4;0;0;0;22;1;22;0;0;0
2019-11-09 06:15:00;26;2;0;0;0;14;0;14;0;0;0
2019-11-09 06:30:00;31;3;2;0;0;12;1;12;0;1;0
2019-11-09 06:45:00;20;0;0;0;0;16;0;16;0;0;0
2019-11-09 07:00:00;30;0;0;0;0;17;1;16;0;0;0
2019-11-09 07:15:00;39;0;0;0;0;15;0;15;0;0;0
2019-11-09 07:30:00;52;1;1;0;0;18;0;18;1;0;0
2019-11-09 07:45:00;54;4;3;0;0;18;4;18;0;0;0
2019-11-09 08:00:00;32;0;0;0;0;21;7;21;0;2;0
2019-11-09 08:15:00;57;4;3;0;0;27;9;27;4;6;0
2019-11-09 08:30:00;60;3;2;0;0;32;10;32;8;5;0
2019-11-09 08:45:00;62;2;2;0;1;40;13;40;1;4;1
2019-11-09 09:00:00;63;1;0;1;0;35;14;35;3;1;1
2019-11-09 09:15:00;71;2;0;1;0;49;21;50;16;9;0
2019-11-09 09:30:00;128;1;0;2;3;59;16;59;6;4;0
2019-11-09 09:45:00;125;1;1;0;0;60;25;60;13;7;0
2019-11-09 10:00:00;108;3;1;0;0;67;25;67;19;8;0
2019-11-09 10:15:00;95;2;1;0;2;73;32;73;12;10;1
2019-11-09 10:30:00;105;0;0;0;0;69;29;69;14;6;2
2019-11-09 10:45:00;136;0;0;1;4;73;54;73;25;7;1
2019-11-09 11:00:00;106;1;0;0;2;71;41;70;42;10;0
2019-11-09 11:15:00;127;2;1;1;3;105;43;104;31;14;0
2019-11-09 11:30:00;106;2;0;1;0;104;41;104;27;9;0
2019-11-09 11:45:00;117;3;1;0;0;63;34;63;20;13;0
2019-11-09 12:00:00;114;2;2;0;2;105;48;105;35;16;0
2019-11-09 12:15:00;135;0;0;0;4;95;48;95;27;15;0
2019-11-09 12:30:00;137;3;2;0;1;109;48;110;37;23;0
2019-11-09 12:45:00;158;3;3;2;1;90;58;87;26;11;1
2019-11-09 13:00:00;181;3;2;0;5;103;84;102;35;12;10
2019-11-09 13:15:00;169;4;5;4;2;97;57;99;33;16;13
2019-11-09 13:30:00;167;4;2;3;2;95;54;95;34;15;6
2019-11-09 13:45:00;130;3;1;5;3;90;38;90;33;17;5
