DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(TAA);6(TAFBA)
2020-07-27 00:00:00;11;10;4;7;0;0
2020-07-27 00:15:00;11;6;5;5;0;0
2020-07-27 00:30:00;10;6;9;4;0;0
2020-07-27 00:45:00;7;6;13;9;0;0
2020-07-27 01:00:00;12;7;5;4;0;0
2020-07-27 01:15:00;7;3;3;1;0;0
2020-07-27 01:30:00;8;6;10;7;0;0
2020-07-27 01:45:00;8;1;6;2;0;0
2020-07-27 02:00:00;10;6;2;2;0;0
2020-07-27 02:15:00;5;3;2;3;0;0
2020-07-27 02:30:00;7;3;5;5;0;0
2020-07-27 02:45:00;4;3;3;1;0;0
2020-07-27 03:00:00;4;2;5;2;0;0
2020-07-27 03:15:00;3;5;3;5;0;0
2020-07-27 03:30:00;8;3;6;4;0;0
2020-07-27 03:45:00;6;2;14;8;0;0
2020-07-27 04:00:00;8;6;7;4;0;0
2020-07-27 04:15:00;15;10;11;4;0;0
2020-07-27 04:30:00;14;14;22;5;0;0
2020-07-27 04:45:00;27;15;53;25;0;0
2020-07-27 05:00:00;33;22;83;53;0;0
2020-07-27 05:15:00;39;30;132;116;0;0
2020-07-27 05:30:00;54;53;150;144;0;0
2020-07-27 05:45:00;45;42;102;101;0;0
2020-07-27 06:00:00;52;61;112;104;0;0
2020-07-27 06:15:00;46;53;115;126;0;0
2020-07-27 06:30:00;65;75;135;132;1;0
2020-07-27 06:45:00;76;90;133;140;0;0
2020-07-27 07:00:00;55;50;123;127;1;0
2020-07-27 07:15:00;73;85;127;134;3;0
2020-07-27 07:30:00;60;57;130;153;4;0
2020-07-27 07:45:00;79;75;141;143;2;0
2020-07-27 08:00:00;81;84;122;118;7;2
2020-07-27 08:15:00;71;74;107;131;10;10
2020-07-27 08:30:00;81;89;111;103;9;0
2020-07-27 08:45:00;87;77;108;124;12;0
2020-07-27 09:00:00;94;85;92;120;3;0
2020-07-27 09:15:00;80;74;104;112;11;0
2020-07-27 09:30:00;67;65;93;86;17;0
2020-07-27 09:45:00;78;96;98;73;5;0
2020-07-27 10:00:00;80;68;117;127;23;5
2020-07-27 10:15:00;107;86;78;76;3;0
2020-07-27 10:30:00;92;83;109;114;26;0
2020-07-27 10:45:00;108;96;108;96;18;0
2020-07-27 11:00:00;102;90;108;100;21;0
2020-07-27 11:15:00;102;81;81;83;4;0
2020-07-27 11:30:00;87;92;99;82;9;0
2020-07-27 11:45:00;111;110;105;81;12;16
2020-07-27 12:00:00;110;115;93;84;8;0
2020-07-27 12:15:00;99;115;100;73;12;0
2020-07-27 12:30:00;94;97;75;66;27;0
2020-07-27 12:45:00;93;102;92;82;13;0
2020-07-27 13:00:00;101;114;102;93;12;3
2020-07-27 13:15:00;101;111;120;103;22;0
2020-07-27 13:30:00;99;106;129;137;9;0
2020-07-27 13:45:00;120;123;133;119;14;7
2020-07-27 14:00:00;117;138;109;93;22;0
2020-07-27 14:15:00;144;199;100;96;15;0
2020-07-27 14:30:00;182;217;101;89;26;0
2020-07-27 14:45:00;206;244;102;86;16;6
2020-07-27 15:00:00;136;172;72;99;6;0
2020-07-27 15:15:00;130;184;116;94;33;39
2020-07-27 15:30:00;137;180;98;72;35;0
2020-07-27 15:45:00;140;175;96;83;11;0
2020-07-27 16:00:00;182;183;90;78;8;0
2020-07-27 16:15:00;168;199;107;89;6;0
2020-07-27 16:30:00;157;195;124;105;9;0
2020-07-27 16:45:00;173;203;83;82;19;0
2020-07-27 17:00:00;131;157;131;82;70;1
2020-07-27 17:15:00;132;164;73;75;45;0
2020-07-27 17:30:00;120;161;105;81;42;0
2020-07-27 17:45:00;139;135;122;89;22;0
2020-07-27 18:00:00;107;131;96;80;84;0
2020-07-27 18:15:00;114;136;91;79;69;0
2020-07-27 18:30:00;91;96;74;63;18;5
2020-07-27 18:45:00;75;96;60;64;22;0
2020-07-27 19:00:00;81;82;78;61;12;1
2020-07-27 19:15:00;74;75;63;49;1;0
2020-07-27 19:30:00;73;54;53;47;41;0
2020-07-27 19:45:00;68;62;51;47;17;7
2020-07-27 20:00:00;67;62;71;44;27;0
2020-07-27 20:15:00;65;62;72;52;17;0
2020-07-27 20:30:00;49;46;60;49;5;1
2020-07-27 20:45:00;52;44;91;70;70;0
2020-07-27 21:00:00;39;45;107;93;1;0
2020-07-27 21:15:00;43;41;103;100;3;0
2020-07-27 21:30:00;53;54;63;58;5;0
2020-07-27 21:45:00;104;119;48;22;9;0
2020-07-27 22:00:00;88;103;42;24;1;0
2020-07-27 22:15:00;58;62;44;32;6;0
2020-07-27 22:30:00;25;34;30;17;0;0
2020-07-27 22:45:00;25;19;30;16;0;0
2020-07-27 23:00:00;17;14;17;10;0;0
2020-07-27 23:15:00;27;24;17;12;0;0
2020-07-27 23:30:00;20;14;22;12;0;0
2020-07-27 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
