DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DI1);6(DC1);7(DD1);8(DD2);9(DE1);10(DF1);11(DF2)
2019-08-20 00:00:00;0;1;3;1;1;1;3;1;1;3;1
2019-08-20 00:15:00;0;2;6;0;0;3;4;1;0;3;2
2019-08-20 00:30:00;1;2;6;0;1;0;2;5;0;2;0
2019-08-20 00:45:00;0;3;9;1;2;3;2;2;3;1;3
2019-08-20 01:00:00;0;1;3;1;1;1;4;1;0;3;2
2019-08-20 01:15:00;0;1;4;0;0;0;1;1;0;1;1
2019-08-20 01:30:00;0;1;3;0;0;1;2;0;1;2;2
2019-08-20 01:45:00;0;0;5;2;2;0;1;0;0;3;2
2019-08-20 02:00:00;0;0;2;0;0;0;2;0;1;2;1
2019-08-20 02:15:00;0;1;3;0;0;0;1;0;1;2;1
2019-08-20 02:30:00;0;0;2;0;0;2;2;0;0;4;2
2019-08-20 02:45:00;0;0;2;0;0;1;1;0;0;2;0
2019-08-20 03:00:00;0;0;1;0;0;0;1;0;0;1;0
2019-08-20 03:15:00;0;1;1;0;0;0;0;0;0;1;2
2019-08-20 03:30:00;1;0;0;0;0;1;1;0;0;3;1
2019-08-20 03:45:00;0;0;3;0;0;0;1;0;0;2;1
2019-08-20 04:00:00;0;0;3;1;1;1;1;0;0;0;0
2019-08-20 04:15:00;0;0;1;0;0;0;0;0;0;0;0
2019-08-20 04:30:00;0;0;1;0;0;2;1;0;1;2;3
2019-08-20 04:45:00;1;4;3;0;1;0;0;0;1;2;3
2019-08-20 05:00:00;1;3;7;0;1;2;2;0;1;1;6
2019-08-20 05:15:00;3;10;10;0;0;1;5;1;1;10;8
2019-08-20 05:30:00;1;19;18;0;0;2;8;1;3;12;12
2019-08-20 05:45:00;1;17;22;1;1;3;9;1;3;14;11
2019-08-20 06:00:00;3;16;13;4;5;2;7;0;6;6;12
2019-08-20 06:15:00;1;19;16;3;5;5;10;0;4;15;11
2019-08-20 06:30:00;5;29;35;7;11;4;16;3;5;15;20
2019-08-20 06:45:00;1;34;27;7;8;7;17;7;12;17;28
2019-08-20 07:00:00;4;31;29;13;15;9;22;5;11;18;20
2019-08-20 07:15:00;5;32;40;11;16;3;20;10;15;13;19
2019-08-20 07:30:00;6;41;36;10;15;11;30;13;20;21;22
2019-08-20 07:45:00;4;37;41;15;18;16;29;13;18;28;23
2019-08-20 08:00:00;4;31;31;7;10;16;25;16;22;26;24
2019-08-20 08:15:00;9;24;28;11;16;13;25;13;20;24;20
2019-08-20 08:30:00;6;29;25;10;12;19;23;8;18;25;19
2019-08-20 08:45:00;5;23;40;14;17;18;17;16;22;36;24
2019-08-20 09:00:00;10;19;42;13;20;13;25;16;19;24;18
2019-08-20 09:15:00;7;26;33;12;16;12;22;12;29;35;11
2019-08-20 09:30:00;10;22;34;8;19;15;28;9;27;29;17
2019-08-20 09:45:00;7;29;47;14;19;10;30;17;28;30;15
2019-08-20 10:00:00;6;36;37;11;14;13;26;15;17;18;15
2019-08-20 10:15:00;5;26;23;5;8;16;28;17;23;26;16
2019-08-20 10:30:00;3;38;37;11;14;11;27;16;26;34;21
2019-08-20 10:45:00;5;30;36;7;9;14;25;16;19;19;15
