DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2)
2020-02-10 00:00:00;0;3;0;1;1;1;8;5;1;0
2020-02-10 00:15:00;0;8;1;0;0;0;7;2;1;1
2020-02-10 00:30:00;0;6;0;0;0;2;13;6;0;0
2020-02-10 00:45:00;0;7;0;1;0;1;11;7;0;0
2020-02-10 01:00:00;0;3;0;0;0;0;4;3;0;0
2020-02-10 01:15:00;0;2;0;0;2;0;10;10;0;0
2020-02-10 01:30:00;0;6;0;0;0;0;5;4;0;0
2020-02-10 01:45:00;0;7;0;0;0;1;6;1;1;1
2020-02-10 02:00:00;0;6;0;0;0;0;3;3;0;0
2020-02-10 02:15:00;0;1;0;0;0;0;1;3;0;0
2020-02-10 02:30:00;0;2;0;0;0;0;7;1;0;0
2020-02-10 02:45:00;0;3;0;0;0;0;5;3;0;0
2020-02-10 03:00:00;0;4;0;0;0;1;4;3;1;1
2020-02-10 03:15:00;0;3;0;0;0;1;4;4;0;0
2020-02-10 03:30:00;0;2;0;0;1;0;11;3;0;0
2020-02-10 03:45:00;0;6;0;0;0;0;4;2;0;0
2020-02-10 04:00:00;0;3;0;0;0;1;6;4;0;0
2020-02-10 04:15:00;0;6;1;0;0;6;12;6;1;1
2020-02-10 04:30:00;0;12;0;2;0;14;20;10;0;0
2020-02-10 04:45:00;0;21;0;2;1;44;43;21;2;3
2020-02-10 05:00:00;0;33;0;0;0;107;66;49;4;3
2020-02-10 05:15:00;0;45;1;3;2;186;84;97;9;10
2020-02-10 05:30:00;0;60;1;2;3;166;83;100;9;13
2020-02-10 05:45:00;0;60;4;11;12;190;72;107;24;31
2020-02-10 06:00:00;0;64;19;36;34;179;48;94;24;25
2020-02-10 06:15:00;0;74;11;10;10;240;77;136;23;44
2020-02-10 06:30:00;0;80;7;10;9;242;100;110;42;55
2020-02-10 06:45:00;0;105;3;14;20;258;106;167;35;49
2020-02-10 07:00:00;0;65;9;16;10;207;90;147;41;54
2020-02-10 07:15:00;0;109;10;25;13;278;93;169;35;43
2020-02-10 07:30:00;0;97;10;14;17;238;96;171;32;40
2020-02-10 07:45:00;0;126;3;13;22;277;88;169;33;42
2020-02-10 08:00:00;0;92;11;14;17;201;64;120;19;32
2020-02-10 08:15:00;0;92;7;15;13;182;81;135;36;43
2020-02-10 08:30:00;0;82;10;9;11;149;61;122;12;13
2020-02-10 08:45:00;0;126;10;15;13;133;78;129;14;15
2020-02-10 09:00:00;0;75;10;15;18;79;65;91;6;8
2020-02-10 09:15:00;0;93;6;15;18;82;73;130;12;7
2020-02-10 09:30:00;0;83;6;17;14;70;75;97;4;2
2020-02-10 09:45:00;0;99;16;11;16;69;73;87;10;7
2020-02-10 10:00:00;0;70;14;16;19;61;66;87;10;9
2020-02-10 10:15:00;0;94;11;19;22;52;81;123;15;7
2020-02-10 10:30:00;0;91;8;17;16;45;69;106;7;2
2020-02-10 10:45:00;0;115;14;19;21;36;76;95;7;7
2020-02-10 11:00:00;0;86;7;11;15;50;76;99;6;4
2020-02-10 11:15:00;0;93;14;16;23;47;79;111;8;8
2020-02-10 11:30:00;0;95;15;20;21;49;81;102;12;5
2020-02-10 11:45:00;0;101;10;18;26;64;95;97;3;7
2020-02-10 12:00:00;0;115;10;17;21;41;75;98;8;2
2020-02-10 12:15:00;0;119;19;30;30;47;78;88;7;3
2020-02-10 12:30:00;0;97;8;17;26;40;69;90;9;4
2020-02-10 12:45:00;0;114;20;21;28;70;87;122;8;4
2020-02-10 13:00:00;0;104;13;19;31;111;89;131;8;5
2020-02-10 13:15:00;0;123;13;28;32;128;117;164;18;14
2020-02-10 13:30:00;0;104;18;29;34;168;99;139;16;16
2020-02-10 13:45:00;0;149;26;35;54;143;106;162;14;9
2020-02-10 14:00:00;0;140;35;54;45;71;77;111;12;7
2020-02-10 14:15:00;0;213;26;64;66;43;95;130;7;1
2020-02-10 14:30:00;0;168;32;68;66;34;85;133;9;5
2020-02-10 14:45:00;0;171;55;75;82;50;85;117;10;7
2020-02-10 15:00:00;0;142;40;67;69;59;77;104;16;10
2020-02-10 15:15:00;0;168;31;70;76;48;95;145;8;4
2020-02-10 15:30:00;0;164;50;62;59;36;81;115;11;4
2020-02-10 15:45:00;0;192;45;67;78;46;108;143;5;3
2020-02-10 16:00:00;0;172;52;66;66;38;95;124;5;4
2020-02-10 16:15:00;0;204;48;76;77;45;100;157;9;3
2020-02-10 16:30:00;0;93;18;52;45;17;66;92;7;0
2020-02-10 16:45:00;
2020-02-10 17:00:00;
2020-02-10 17:15:00;0;47;9;15;14;8;37;41;2;0
2020-02-10 17:30:00;0;143;33;74;75;13;71;111;8;3
2020-02-10 17:45:00;0;200;18;74;68;26;105;133;11;1
2020-02-10 18:00:00;0;131;27;69;68;21;93;119;4;2
2020-02-10 18:15:00;0;158;28;47;46;21;79;129;10;3
2020-02-10 18:30:00;0;115;7;33;39;11;62;89;2;2
2020-02-10 18:45:00;0;113;6;29;34;28;90;105;4;5
2020-02-10 19:00:00;0;88;12;18;20;10;52;62;4;0
2020-02-10 19:15:00;0;107;9;16;20;16;77;82;3;2
2020-02-10 19:30:00;0;67;4;19;16;11;50;56;6;0
2020-02-10 19:45:00;0;90;8;12;8;10;55;60;4;2
2020-02-10 20:00:00;0;94;4;8;11;11;58;64;4;3
2020-02-10 20:15:00;0;81;1;5;7;9;56;65;7;3
2020-02-10 20:30:00;0;60;1;5;7;26;40;54;3;2
2020-02-10 20:45:00;0;70;1;5;5;54;56;58;1;0
2020-02-10 21:00:00;0;66;3;3;11;121;58;69;6;5
2020-02-10 21:15:00;0;63;2;7;8;157;61;100;7;9
