DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DC1);7(DC2);8(DD1);9(TAFGA)
2019-08-15 00:00:00;17;14;0;0;0;8;5;0;1
2019-08-15 00:15:00;16;9;0;0;0;13;9;0;0
2019-08-15 00:30:00;17;7;0;0;0;21;4;2;3
2019-08-15 00:45:00;21;12;0;0;0;7;11;3;5
2019-08-15 01:00:00;11;10;0;0;0;15;11;1;2
2019-08-15 01:15:00;21;11;0;0;0;14;7;1;2
2019-08-15 01:30:00;13;7;0;0;0;5;1;0;0
2019-08-15 01:45:00;17;6;0;0;0;11;7;0;1
2019-08-15 02:00:00;10;3;0;0;0;12;7;0;0
2019-08-15 02:15:00;9;8;0;0;0;11;6;0;1
2019-08-15 02:30:00;9;5;0;0;0;8;5;2;4
2019-08-15 02:45:00;15;13;0;0;0;5;8;1;1
2019-08-15 03:00:00;12;4;0;0;0;7;3;0;1
2019-08-15 03:15:00;7;5;0;0;0;2;2;0;0
2019-08-15 03:30:00;9;7;0;0;0;9;4;0;0
2019-08-15 03:45:00;4;5;0;0;0;5;6;0;0
2019-08-15 04:00:00;9;5;0;0;0;7;5;1;2
2019-08-15 04:15:00;9;3;0;0;0;13;5;1;3
2019-08-15 04:30:00;4;3;0;0;0;5;1;0;0
2019-08-15 04:45:00;7;3;0;0;0;10;2;2;3
2019-08-15 05:00:00;4;3;0;0;0;6;3;1;2
2019-08-15 05:15:00;10;6;0;0;0;19;6;0;1
2019-08-15 05:30:00;6;3;0;0;0;9;7;2;3
2019-08-15 05:45:00;10;11;0;0;0;18;3;0;0
2019-08-15 06:00:00;14;10;0;0;0;14;8;0;1
2019-08-15 06:15:00;21;5;0;0;0;19;9;1;2
2019-08-15 06:30:00;7;3;0;0;0;13;9;1;1
2019-08-15 06:45:00;12;4;0;0;0;16;4;3;5
2019-08-15 07:00:00;14;7;0;0;0;16;13;2;4
2019-08-15 07:15:00;21;12;0;0;0;26;5;1;3
2019-08-15 07:30:00;18;11;0;0;0;23;7;3;4
2019-08-15 07:45:00;17;9;0;0;0;21;23;2;4
2019-08-15 08:00:00;23;12;0;0;0;31;16;3;6
2019-08-15 08:15:00;16;11;0;0;0;33;17;4;8
2019-08-15 08:30:00;21;13;0;0;0;34;30;4;10
2019-08-15 08:45:00;20;19;0;0;0;53;31;4;7
2019-08-15 09:00:00;22;24;0;0;0;49;21;7;14
2019-08-15 09:15:00;17;20;0;0;0;71;19;4;9
2019-08-15 09:30:00;42;32;0;0;0;69;23;6;19
2019-08-15 09:45:00;32;31;0;0;0;60;44;5;9
2019-08-15 10:00:00;35;20;0;0;0;53;28;7;13
2019-08-15 10:15:00;45;27;0;0;0;62;21;5;37
2019-08-15 10:30:00;38;24;0;0;0;58;33;7;8
2019-08-15 10:45:00;35;28;0;0;0;43;41;4;7
2019-08-15 11:00:00;47;42;0;0;0;54;24;5;9
2019-08-15 11:15:00;44;41;0;0;0;61;19;7;11
2019-08-15 11:30:00;34;56;0;0;0;45;37;6;13
2019-08-15 11:45:00;45;67;0;0;0;57;36;4;7
2019-08-15 12:00:00;47;33;0;0;0;75;32;4;12
2019-08-15 12:15:00;38;36;0;0;0;71;29;3;12
2019-08-15 12:30:00;49;37;0;0;0;72;18;3;5
2019-08-15 12:45:00;51;60;0;0;0;53;27;3;10
2019-08-15 13:00:00;57;44;0;0;0;71;25;7;13
2019-08-15 13:15:00;56;35;0;0;0;49;22;2;8
2019-08-15 13:30:00;62;38;0;0;0;64;27;7;19
2019-08-15 13:45:00;53;40;0;0;0;57;28;8;10
2019-08-15 14:00:00;59;62;0;0;0;55;30;9;11
2019-08-15 14:15:00;62;43;0;0;0;65;25;10;12
2019-08-15 14:30:00;57;41;0;0;0;69;15;3;7
2019-08-15 14:45:00;51;36;0;0;0;61;19;9;7
2019-08-15 15:00:00;64;40;0;0;0;36;37;5;7
2019-08-15 15:15:00;39;37;0;0;0;48;48;7;7
2019-08-15 15:30:00;42;46;0;0;0;44;22;3;10
2019-08-15 15:45:00;61;44;0;0;0;57;39;2;9
2019-08-15 16:00:00;37;45;0;0;0;77;35;9;10
2019-08-15 16:15:00;53;57;0;0;0;54;27;5;6
2019-08-15 16:30:00;57;52;0;0;0;67;20;5;9
2019-08-15 16:45:00;45;59;0;0;0;65;27;8;11
2019-08-15 17:00:00;47;39;0;0;0;66;33;4;8
2019-08-15 17:15:00;54;57;0;0;0;70;19;7;9
2019-08-15 17:30:00;62;51;0;0;0;75;33;8;11
2019-08-15 17:45:00;74;56;0;0;0;56;19;8;16
2019-08-15 18:00:00;68;47;0;0;0;64;26;8;12
2019-08-15 18:15:00;65;56;0;0;0;47;36;7;12
2019-08-15 18:30:00;60;63;0;0;0;51;25;8;11
2019-08-15 18:45:00;50;49;0;0;0;55;22;8;12
2019-08-15 19:00:00;55;50;0;0;0;55;18;5;7
2019-08-15 19:15:00;54;43;0;0;0;61;23;8;15
2019-08-15 19:30:00;57;43;0;0;0;40;22;4;12
2019-08-15 19:45:00;53;40;0;0;0;48;18;5;8
2019-08-15 20:00:00;35;33;0;0;0;37;25;4;10
2019-08-15 20:15:00;63;42;0;0;0;57;23;5;12
2019-08-15 20:30:00;39;35;0;0;0;38;15;10;13
2019-08-15 20:45:00;36;33;0;0;0;44;10;0;3
2019-08-15 21:00:00;49;39;0;0;0;44;17;1;9
2019-08-15 21:15:00;32;36;0;0;0;33;20;6;10
2019-08-15 21:30:00;44;41;0;0;0;28;17;3;7
2019-08-15 21:45:00;34;24;0;0;0;35;17;1;2
2019-08-15 22:00:00;33;23;0;0;0;26;20;3;4
2019-08-15 22:15:00;19;13;0;0;0;23;14;2;6
2019-08-15 22:30:00;22;24;0;0;0;27;9;0;6
2019-08-15 22:45:00;30;20;0;0;0;29;13;4;4
2019-08-15 23:00:00;17;14;0;0;0;37;10;1;1
2019-08-15 23:15:00;32;25;0;0;0;31;7;0;3
