DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DD1);7(DE1);8(DE2);9(TAFBC);10(TAFGDE);11(TAFBDE);12(DC3);13(TARDB);14(TARDC);15(TARDD)
2020-07-03 00:00:00;17;13;0;0;0;1;11;12;0;0;0;0;0;0;0
2020-07-03 00:15:00;18;12;0;1;0;0;19;21;0;0;0;1;0;0;0
2020-07-03 00:30:00;19;14;3;0;1;1;13;13;0;0;0;2;0;0;0
2020-07-03 00:45:00;11;14;0;0;1;0;14;12;0;0;0;2;0;0;0
2020-07-03 01:00:00;7;8;2;1;0;0;19;15;0;0;0;0;0;0;0
2020-07-03 01:15:00;11;6;0;0;0;0;15;11;0;0;0;0;0;0;0
2020-07-03 01:30:00;10;5;0;0;0;0;15;13;0;0;0;0;0;0;0
2020-07-03 01:45:00;7;8;2;0;0;0;16;16;0;0;0;0;0;0;0
2020-07-03 02:00:00;6;6;2;0;0;0;19;12;0;0;0;0;0;0;0
2020-07-03 02:15:00;6;5;0;0;0;0;9;7;0;0;0;0;0;0;0
2020-07-03 02:30:00;9;4;1;0;0;1;9;9;0;0;0;0;0;0;0
2020-07-03 02:45:00;4;5;1;0;0;0;8;8;0;0;0;0;0;0;0
2020-07-03 03:00:00;6;4;1;0;0;0;19;12;0;0;0;0;0;0;0
2020-07-03 03:15:00;4;6;0;0;0;0;7;8;0;0;0;0;0;0;0
2020-07-03 03:30:00;6;7;1;0;0;0;13;10;0;0;0;0;0;0;0
2020-07-03 03:45:00;7;3;0;0;0;0;18;13;0;0;0;0;0;0;0
2020-07-03 04:00:00;7;6;0;0;1;0;15;14;0;0;0;1;0;0;0
2020-07-03 04:15:00;4;6;0;0;1;0;29;20;0;0;0;1;0;0;0
2020-07-03 04:30:00;26;7;0;0;0;0;20;21;0;0;0;0;0;0;0
2020-07-03 04:45:00;27;19;0;0;1;1;19;17;0;0;0;1;0;0;0
2020-07-03 05:00:00;57;37;0;1;0;0;58;43;0;0;0;0;0;0;0
2020-07-03 05:15:00;104;66;0;2;0;0;70;62;0;0;0;0;0;0;0
2020-07-03 05:30:00;72;62;1;1;0;2;64;90;0;0;0;0;0;0;0
2020-07-03 05:45:00;68;77;0;3;1;0;49;105;0;0;0;2;0;0;0
2020-07-03 06:00:00;49;46;0;1;3;2;55;147;0;0;0;2;0;0;0
2020-07-03 06:15:00;76;86;4;1;1;3;72;162;0;0;0;2;0;0;0
2020-07-03 06:30:00;91;130;1;3;2;2;62;175;0;0;0;4;0;0;1
2020-07-03 06:45:00;83;101;3;1;3;5;85;152;0;0;0;5;0;0;0
2020-07-03 07:00:00;83;112;4;5;1;3;63;154;0;0;0;2;0;0;3
2020-07-03 07:15:00;91;118;8;4;7;3;78;173;13;0;0;7;0;0;9
2020-07-03 07:30:00;96;131;9;7;7;5;45;177;0;0;0;9;0;0;1
2020-07-03 07:45:00;92;108;6;1;9;5;79;174;0;0;0;10;0;0;0
2020-07-03 08:00:00;88;102;8;4;14;1;69;168;0;0;0;13;1;0;0
2020-07-03 08:15:00;80;114;4;1;9;3;93;167;1;0;0;16;0;0;1
2020-07-03 08:30:00;72;93;8;1;12;5;77;160;0;0;0;13;0;0;0
2020-07-03 08:45:00;97;105;7;3;8;6;89;175;0;0;0;9;0;0;0
2020-07-03 09:00:00;85;92;3;1;7;6;101;147;0;0;0;7;0;0;1
2020-07-03 09:15:00;85;105;7;3;9;3;83;157;0;0;0;13;0;0;1
2020-07-03 09:30:00;84;124;6;5;6;4;109;201;0;0;0;9;1;0;1
2020-07-03 09:45:00;83;100;8;1;6;3;102;201;1;0;0;7;2;0;0
2020-07-03 10:00:00;102;134;4;2;10;5;112;189;0;0;0;11;0;0;3
2020-07-03 10:15:00;120;111;8;0;6;3;106;180;0;0;0;8;0;0;0
2020-07-03 10:30:00;82;116;9;0;11;3;55;162;0;0;0;11;0;0;1
2020-07-03 10:45:00;88;113;6;6;7;4;92;195;0;0;0;9;0;0;5
2020-07-03 11:00:00;78;81;4;2;6;3;102;197;0;0;0;9;0;0;0
2020-07-03 11:15:00;60;79;6;2;4;7;80;213;0;0;0;5;1;0;4
2020-07-03 11:30:00;90;109;6;1;14;2;76;201;0;0;0;15;0;0;2
2020-07-03 11:45:00;97;103;5;5;8;4;85;197;0;0;0;28;1;0;0
2020-07-03 12:00:00;74;106;10;4;13;7;57;180;0;0;0;14;0;0;1
2020-07-03 12:15:00;92;104;9;2;12;9;61;211;0;0;0;14;0;0;8
2020-07-03 12:30:00;101;110;9;2;11;3;68;195;0;0;0;11;1;0;1
2020-07-03 12:45:00;86;116;9;1;13;11;42;163;0;0;0;15;0;0;5
