DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DB4);6(DC1);7(DD1);8(DD2);9(DD3);10(tafga);11(tafgc);12(tafba);13(tafbb);14(tafbc);15(tafbd)
2020-06-04 00:00:00;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-04 00:15:00;3;0;0;4;2;0;0;0;0;0;0;0;0;0;0
2020-06-04 00:30:00;3;0;0;1;1;3;0;1;1;0;0;0;0;0;0
2020-06-04 00:45:00;4;0;0;1;1;2;0;0;0;0;0;0;0;0;0
2020-06-04 01:00:00;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-04 01:15:00;5;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-06-04 01:30:00;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-06-04 01:45:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-04 02:00:00;3;0;0;1;1;1;0;0;0;0;0;0;0;0;0
2020-06-04 02:15:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-04 02:30:00;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
2020-06-04 02:45:00;4;0;0;0;0;1;0;3;3;0;0;0;0;0;0
2020-06-04 03:00:00;1;0;0;1;0;0;0;2;1;0;0;0;0;0;0
2020-06-04 03:15:00;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-06-04 03:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-04 03:45:00;3;0;0;1;1;1;0;0;0;0;0;0;0;0;0
2020-06-04 04:00:00;0;0;0;2;2;0;0;1;1;0;0;0;0;0;0
2020-06-04 04:15:00;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2020-06-04 04:30:00;3;0;0;2;3;3;0;1;1;0;0;0;0;0;0
2020-06-04 04:45:00;8;0;0;2;3;7;0;1;1;0;0;0;0;0;0
2020-06-04 05:00:00;9;0;1;2;2;8;0;5;5;0;0;0;0;0;0
2020-06-04 05:15:00;21;0;0;7;7;14;0;12;12;0;0;0;0;0;0
2020-06-04 05:30:00;40;0;0;12;11;26;0;11;13;0;0;0;0;0;0
2020-06-04 05:45:00;48;0;0;21;18;30;0;10;9;0;0;0;0;0;0
2020-06-04 06:00:00;32;0;0;13;13;21;0;8;7;0;0;0;0;0;0
2020-06-04 06:15:00;48;0;0;17;16;34;0;8;8;0;0;0;0;0;0
2020-06-04 06:30:00;53;0;0;26;28;34;0;19;17;0;0;0;0;0;0
2020-06-04 06:45:00;44;0;0;24;21;34;0;17;15;0;0;0;0;0;0
2020-06-04 07:00:00;42;0;1;26;22;28;0;9;8;0;0;0;0;0;0
2020-06-04 07:15:00;27;0;1;33;27;36;0;14;14;0;0;0;0;0;0
2020-06-04 07:30:00;34;0;0;34;30;41;0;16;16;0;1;0;0;0;0
