DATUM;1(DA1);2(DAL1);3(DAL2);4(DBL1);5(DBL2);6(DBR1);7(DBL3);8(DBL4);9(DCR1);10(DC1);11(TAFGC)
2020-12-18 00:00:00;3;1;0;0;0;0;0;0;0;0;5
2020-12-18 00:15:00;4;1;0;0;0;0;0;0;0;0;7
2020-12-18 00:30:00;7;2;0;0;0;0;0;0;0;0;5
2020-12-18 00:45:00;3;0;0;0;0;0;0;0;0;0;1
2020-12-18 01:00:00;5;1;0;0;0;0;0;0;1;0;4
2020-12-18 01:15:00;4;2;0;0;0;0;0;0;0;0;1
2020-12-18 01:30:00;5;2;0;0;0;0;0;0;0;0;2
2020-12-18 01:45:00;3;0;0;0;0;0;0;0;0;0;9
2020-12-18 02:00:00;4;1;0;0;0;0;0;0;0;0;2
2020-12-18 02:15:00;3;1;0;0;0;0;0;0;0;0;4
2020-12-18 02:30:00;2;0;0;0;0;0;0;0;0;0;3
2020-12-18 02:45:00;4;1;0;0;0;0;0;0;1;0;8
2020-12-18 03:00:00;3;0;1;1;0;0;0;0;1;1;5
2020-12-18 03:15:00;4;0;0;0;0;0;0;0;1;0;4
2020-12-18 03:30:00;2;1;0;0;0;0;0;0;0;0;3
2020-12-18 03:45:00;4;1;0;0;0;0;0;0;0;0;7
2020-12-18 04:00:00;2;1;1;1;0;0;0;0;0;0;4
2020-12-18 04:15:00;2;2;0;0;0;0;0;0;0;0;7
2020-12-18 04:30:00;4;3;0;0;0;0;0;0;0;1;10
2020-12-18 04:45:00;18;11;7;7;0;2;0;0;0;1;19
2020-12-18 05:00:00;26;20;9;9;1;0;1;0;0;6;58
2020-12-18 05:15:00;65;67;37;39;3;1;3;1;1;28;91
2020-12-18 05:30:00;71;48;36;34;3;1;3;1;6;36;53
2020-12-18 05:45:00;102;38;51;51;15;6;15;6;27;67;64
2020-12-18 06:00:00;75;20;38;37;16;8;18;7;16;25;61
2020-12-18 06:15:00;38;17;18;18;4;3;4;3;3;17;43
2020-12-18 06:30:00;42;21;23;23;8;2;9;1;6;25;39
2020-12-18 06:45:00;47;24;19;19;9;1;10;1;2;8;25
2020-12-18 07:00:00;67;30;21;20;9;4;10;4;5;18;24
2020-12-18 07:15:00;42;16;14;14;5;4;5;2;3;17;34
2020-12-18 07:30:00;61;15;15;14;7;2;8;4;9;22;37
2020-12-18 07:45:00;46;14;17;17;7;2;7;2;6;11;21
2020-12-18 08:00:00;52;15;15;15;10;3;10;3;1;21;40
2020-12-18 08:15:00;34;11;10;10;5;2;6;1;2;12;37
2020-12-18 08:30:00;44;13;6;6;6;2;6;2;2;9;36
2020-12-18 08:45:00;45;12;5;5;8;4;9;4;1;6;39
2020-12-18 09:00:00;36;8;3;3;7;4;7;3;1;7;32
2020-12-18 09:15:00;42;12;4;4;4;4;4;4;3;8;36
2020-12-18 09:30:00;53;21;6;6;5;1;6;1;9;3;44
2020-12-18 09:45:00;48;12;8;8;5;1;5;1;3;7;38
2020-12-18 10:00:00;43;8;3;3;8;2;8;2;6;3;32
2020-12-18 10:15:00;43;8;4;4;5;3;5;3;7;6;42
2020-12-18 10:30:00;51;14;7;8;5;2;6;2;2;4;46
2020-12-18 10:45:00;41;9;2;2;10;3;11;3;5;6;43
2020-12-18 11:00:00;44;10;4;4;9;8;9;8;8;7;51
2020-12-18 11:15:00;50;13;1;1;10;1;11;1;10;6;56
2020-12-18 11:30:00;48;12;2;2;14;7;14;8;10;10;46
2020-12-18 11:45:00;38;15;4;4;22;12;22;12;21;5;48
2020-12-18 12:00:00;64;17;2;3;51;25;54;26;58;8;60
2020-12-18 12:15:00;43;15;6;6;24;17;24;17;25;4;67
2020-12-18 12:30:00;55;12;1;1;21;4;21;5;22;6;44
2020-12-18 12:45:00;55;19;4;4;21;10;23;10;14;5;51
2020-12-18 13:00:00;62;21;6;6;20;7;22;7;15;6;74
2020-12-18 13:15:00;71;43;11;10;16;3;16;3;19;8;68
2020-12-18 13:30:00;76;26;16;16;15;9;17;9;10;8;66
2020-12-18 13:45:00;81;35;6;6;33;17;34;17;35;12;79
2020-12-18 14:00:00;121;49;5;4;27;18;30;18;18;6;75
2020-12-18 14:15:00;121;42;1;1;28;18;25;21;28;4;94
2020-12-18 14:30:00;77;13;1;1;28;21;28;18;25;7;91
2020-12-18 14:45:00;56;7;1;1;13;9;15;9;16;8;58
2020-12-18 15:00:00;69;17;3;3;23;11;26;11;16;10;60
2020-12-18 15:15:00;39;12;1;1;26;16;24;16;18;4;55
2020-12-18 15:30:00;42;19;1;1;16;13;17;13;10;9;58
2020-12-18 15:45:00;34;13;3;3;15;5;14;6;8;7;54
2020-12-18 16:00:00;47;11;0;0;16;10;16;10;8;7;63
2020-12-18 16:15:00;37;10;2;2;14;6;16;5;5;3;53
2020-12-18 16:30:00;44;6;1;1;13;9;13;10;9;7;45
2020-12-18 16:45:00;37;8;3;4;14;9;16;8;3;4;44
2020-12-18 17:00:00;45;6;3;2;12;4;14;4;0;6;40
2020-12-18 17:15:00;27;3;2;2;8;4;8;4;4;3;45
2020-12-18 17:30:00;30;10;2;2;12;1;12;1;4;7;40
2020-12-18 17:45:00;28;5;1;1;10;3;10;3;4;3;31
2020-12-18 18:00:00;37;5;1;1;2;1;3;1;5;6;31
2020-12-18 18:15:00;29;5;1;1;1;1;1;0;0;2;35
2020-12-18 18:30:00;25;3;3;3;6;1;6;1;3;3;27
2020-12-18 18:45:00;11;0;2;2;3;0;3;0;4;2;34
2020-12-18 19:00:00;25;5;0;0;6;1;7;1;2;2;22
2020-12-18 19:15:00;16;3;0;0;3;0;3;0;2;0;17
2020-12-18 19:30:00;23;2;0;0;2;1;2;1;0;3;19
2020-12-18 19:45:00;14;1;0;0;5;1;6;2;2;2;22
2020-12-18 20:00:00;4;1;0;0;3;0;2;0;0;2;11
2020-12-18 20:15:00;19;6;0;0;2;0;2;0;0;1;24
2020-12-18 20:30:00;25;8;2;2;1;0;1;0;0;2;29
2020-12-18 20:45:00;30;5;3;3;2;0;2;0;1;4;22
2020-12-18 21:00:00;40;31;11;11;2;0;2;0;0;7;44
2020-12-18 21:15:00;66;39;13;13;1;1;1;0;0;9;44
2020-12-18 21:30:00;45;27;8;8;0;1;0;1;6;3;24
2020-12-18 21:45:00;60;8;3;2;8;2;8;2;10;6;51
2020-12-18 22:00:00;15;3;0;0;2;0;2;0;9;2;39
2020-12-18 22:15:00;3;2;0;0;1;0;1;0;1;1;24
2020-12-18 22:30:00;11;1;0;0;0;0;0;0;1;0;14
2020-12-18 22:45:00;8;2;0;0;0;0;0;0;1;0;8
2020-12-18 23:00:00;3;1;0;0;0;0;0;0;0;0;8
2020-12-18 23:15:00;5;1;0;0;0;0;0;0;0;0;7
2020-12-18 23:30:00;5;1;0;0;0;0;0;0;0;0;3
2020-12-18 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
