DATUM;1(DA1);2(DB1);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFBA);9(TAFBB);10(TAFGC);11(TAFBC);12(TAFBD)
2019-08-18 21:00:00;45;0;38;0;0;0;0;0;0;2;2;0
2019-08-18 21:15:00;54;0;57;0;0;0;0;0;0;0;0;0
2019-08-18 21:30:00;48;0;41;0;0;0;0;0;0;0;0;0
2019-08-18 21:45:00;43;0;43;0;0;0;0;0;0;0;0;0
2019-08-18 22:00:00;30;0;32;0;0;0;0;0;0;0;0;0
2019-08-18 22:15:00;35;0;27;0;0;0;0;0;0;0;0;0
2019-08-18 22:30:00;28;0;30;0;0;0;0;0;0;0;0;0
2019-08-18 22:45:00;30;0;19;0;0;0;0;0;0;0;0;0
2019-08-18 23:00:00;18;0;13;0;0;0;0;0;0;0;0;0
2019-08-18 23:15:00;22;0;12;0;0;0;0;0;0;0;0;0
2019-08-18 23:30:00;18;0;14;0;0;0;0;0;0;0;0;0
2019-08-18 23:45:00;16;0;13;0;0;0;0;0;0;0;0;0
