DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(TAFGC)
2020-01-05 00:00:00;13;2;2;0;0;13;1;13;0;0;0
2020-01-05 00:15:00;9;4;4;0;0;25;2;24;0;0;0
2020-01-05 00:30:00;16;2;1;0;0;22;1;22;0;0;0
2020-01-05 00:45:00;10;4;3;0;0;19;4;19;0;0;0
2020-01-05 01:00:00;14;5;3;0;0;16;5;16;0;0;0
2020-01-05 01:15:00;5;0;0;1;0;17;1;17;0;0;0
2020-01-05 01:30:00;7;2;1;0;0;9;0;9;0;0;0
2020-01-05 01:45:00;4;1;1;0;0;19;2;19;0;0;0
2020-01-05 02:00:00;12;3;1;0;0;12;1;13;0;0;0
2020-01-05 02:15:00;5;3;3;0;0;5;2;5;0;0;0
2020-01-05 02:30:00;5;2;2;0;0;5;2;5;0;0;0
2020-01-05 02:45:00;4;3;3;0;0;3;2;3;0;0;0
2020-01-05 03:00:00;5;4;4;0;0;7;5;7;0;0;0
2020-01-05 03:15:00;3;1;0;0;0;7;0;7;0;0;0
2020-01-05 03:30:00;7;1;0;0;0;3;0;3;0;0;0
2020-01-05 03:45:00;6;2;1;0;0;7;3;7;0;0;0
2020-01-05 04:00:00;5;1;1;0;0;4;1;4;1;1;0
2020-01-05 04:15:00;8;2;2;0;0;7;0;7;0;0;0
2020-01-05 04:30:00;10;2;2;0;0;4;1;4;0;0;0
2020-01-05 04:45:00;6;0;0;0;0;3;1;3;0;0;0
2020-01-05 05:00:00;18;9;5;0;0;3;4;3;0;0;0
2020-01-05 05:15:00;18;5;5;0;0;5;3;5;0;0;0
2020-01-05 05:30:00;8;1;1;0;1;9;1;9;0;0;0
2020-01-05 05:45:00;9;2;2;0;1;6;1;6;0;0;0
2020-01-05 06:00:00;3;0;0;0;0;6;0;6;0;0;0
2020-01-05 06:15:00;4;0;0;0;0;1;0;1;0;0;0
2020-01-05 06:30:00;8;1;1;0;0;5;1;5;0;0;0
2020-01-05 06:45:00;5;0;0;0;0;1;0;1;0;0;0
2020-01-05 07:00:00;5;1;0;0;1;6;2;6;1;0;0
2020-01-05 07:15:00;8;2;2;0;0;4;0;4;0;0;0
2020-01-05 07:30:00;8;1;1;0;0;5;0;5;0;0;0
2020-01-05 07:45:00;16;3;2;0;0;7;0;7;1;0;0
2020-01-05 08:00:00;7;1;1;0;0;5;1;5;0;0;0
2020-01-05 08:15:00;11;3;3;0;0;7;3;7;1;0;0
2020-01-05 08:30:00;24;2;1;0;1;10;1;10;1;0;0
2020-01-05 08:45:00;23;0;0;1;0;13;3;14;0;1;0
2020-01-05 09:00:00;19;2;1;0;0;20;2;20;0;1;0
2020-01-05 09:15:00;23;1;1;0;0;19;3;19;0;0;0
