DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(TAFGB);7(TAFBB);8(TAFBC);9(SKC)
2020-08-22 00:00:00;21;10;21;0;0;0;0;0;0
2020-08-22 00:15:00;42;13;33;0;0;0;0;0;0
2020-08-22 00:30:00;31;12;37;1;1;0;0;0;0
2020-08-22 00:45:00;27;11;29;0;0;0;0;0;0
2020-08-22 01:00:00;22;6;33;0;0;0;0;0;0
2020-08-22 01:15:00;19;7;19;0;0;0;0;0;0
2020-08-22 01:30:00;14;5;18;0;0;0;0;0;0
2020-08-22 01:45:00;16;2;20;0;0;0;0;0;0
2020-08-22 02:00:00;8;6;17;1;1;0;0;0;0
2020-08-22 02:15:00;13;10;10;1;1;0;0;0;0
2020-08-22 02:30:00;4;2;8;0;0;0;0;0;0
2020-08-22 02:45:00;11;10;19;1;1;0;0;0;0
2020-08-22 03:00:00;9;10;11;0;0;0;0;0;0
2020-08-22 03:15:00;12;7;6;2;2;0;0;0;0
2020-08-22 03:30:00;6;5;8;0;0;0;0;0;0
2020-08-22 03:45:00;7;2;7;0;0;0;0;0;0
2020-08-22 04:00:00;13;10;5;0;0;0;0;0;0
2020-08-22 04:15:00;11;7;5;1;1;0;0;0;0
2020-08-22 04:30:00;12;7;17;0;0;0;0;0;0
2020-08-22 04:45:00;6;2;6;0;0;0;0;0;0
2020-08-22 05:00:00;10;3;22;0;0;0;0;0;0
2020-08-22 05:15:00;21;12;25;0;0;0;0;0;0
2020-08-22 05:30:00;24;12;38;0;1;0;0;0;0
2020-08-22 05:45:00;19;8;25;0;0;0;0;0;0
2020-08-22 06:00:00;20;8;33;0;0;0;0;0;0
2020-08-22 06:15:00;35;8;40;0;0;0;0;0;0
2020-08-22 06:30:00;23;7;34;1;1;0;0;0;0
2020-08-22 06:45:00;20;10;40;0;0;0;0;0;0
2020-08-22 07:00:00;28;5;55;0;0;0;0;0;0
2020-08-22 07:15:00;27;7;64;1;1;0;0;0;0
2020-08-22 07:30:00;44;18;55;1;1;0;0;0;0
2020-08-22 07:45:00;47;29;74;0;0;0;0;0;0
2020-08-22 08:00:00;36;17;93;0;0;1;0;0;0
2020-08-22 08:15:00;67;35;105;1;1;0;0;0;0
2020-08-22 08:30:00;62;27;107;1;2;1;0;0;0
2020-08-22 08:45:00;90;31;150;1;1;1;0;0;0
2020-08-22 09:00:00;85;28;142;0;0;1;0;0;0
2020-08-22 09:15:00;108;41;158;1;1;1;0;0;0
2020-08-22 09:30:00;98;41;164;1;1;0;0;0;0
2020-08-22 09:45:00;102;73;189;1;1;0;0;0;0
2020-08-22 10:00:00;107;52;174;1;1;1;0;0;0
2020-08-22 10:15:00;118;64;209;2;2;0;0;0;0
2020-08-22 10:30:00;140;59;195;1;1;0;0;0;0
2020-08-22 10:45:00;134;61;218;2;1;1;0;0;0
2020-08-22 11:00:00;125;68;192;0;0;0;0;0;0
2020-08-22 11:15:00;152;79;222;3;3;1;0;0;0
2020-08-22 11:30:00;148;55;195;3;3;5;0;0;0
2020-08-22 11:45:00;161;62;221;0;0;1;0;0;0
2020-08-22 12:00:00;154;75;221;1;1;2;0;0;0
2020-08-22 12:15:00;148;61;213;1;1;2;0;0;0
2020-08-22 12:30:00;155;55;203;1;1;0;0;0;0
2020-08-22 12:45:00;128;65;217;2;1;4;0;0;0
2020-08-22 13:00:00;150;64;216;1;1;1;0;0;0
2020-08-22 13:15:00;152;73;183;2;2;0;0;0;0
2020-08-22 13:30:00;154;49;213;2;2;0;0;0;0
2020-08-22 13:45:00;140;52;226;1;1;0;0;0;0
2020-08-22 14:00:00;172;58;230;0;0;0;0;0;0
2020-08-22 14:15:00;156;58;207;1;1;1;0;0;0
2020-08-22 14:30:00;141;64;221;2;3;2;0;0;0
2020-08-22 14:45:00;153;62;214;0;0;0;0;0;0
2020-08-22 15:00:00;161;55;198;0;1;1;0;0;0
2020-08-22 15:15:00;142;62;186;1;1;1;0;0;0
2020-08-22 15:30:00;142;71;174;2;3;0;0;0;0
2020-08-22 15:45:00;130;47;220;0;0;0;0;0;0
2020-08-22 16:00:00;120;57;201;1;0;2;0;0;0
2020-08-22 16:15:00;136;57;226;1;1;0;0;0;0
2020-08-22 16:30:00;122;52;170;3;1;2;0;0;0
2020-08-22 16:45:00;132;58;181;0;0;0;0;0;0
2020-08-22 17:00:00;137;64;183;0;0;0;0;0;0
2020-08-22 17:15:00;131;58;155;1;1;0;0;0;0
2020-08-22 17:30:00;120;51;162;0;0;2;0;0;0
2020-08-22 17:45:00;120;51;182;2;2;1;0;0;0
2020-08-22 18:00:00;109;45;168;1;1;2;0;0;0
2020-08-22 18:15:00;116;47;149;0;1;0;0;0;0
2020-08-22 18:30:00;110;44;143;2;2;1;0;0;0
2020-08-22 18:45:00;106;42;158;2;1;1;0;0;0
2020-08-22 19:00:00;103;48;129;3;2;1;0;0;0
2020-08-22 19:15:00;92;36;140;0;0;0;0;0;0
2020-08-22 19:30:00;87;47;112;1;1;0;0;0;0
2020-08-22 19:45:00;82;40;98;1;1;0;0;0;0
2020-08-22 20:00:00;92;39;88;1;1;0;0;0;0
2020-08-22 20:15:00;80;24;96;1;1;0;0;0;0
2020-08-22 20:30:00;61;28;86;0;0;0;0;0;0
2020-08-22 20:45:00;67;22;92;1;1;0;0;0;0
2020-08-22 21:00:00;68;21;73;1;1;0;0;0;0
2020-08-22 21:15:00;59;22;57;2;2;0;0;0;0
2020-08-22 21:30:00;37;17;58;1;1;0;0;0;0
2020-08-22 21:45:00;50;14;57;0;0;0;0;0;0
2020-08-22 22:00:00;63;25;46;0;0;0;0;0;0
2020-08-22 22:15:00;43;27;59;1;1;0;0;0;0
2020-08-22 22:30:00;43;16;54;2;2;0;0;0;0
2020-08-22 22:45:00;46;18;63;0;0;0;0;0;0
2020-08-22 23:00:00;41;12;52;0;0;0;0;0;0
2020-08-22 23:15:00;44;13;42;2;2;0;0;0;0
2020-08-22 23:30:00;36;9;39;0;0;0;0;0;0
2020-08-22 23:45:00;42;18;34;1;1;0;0;0;0
