DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGC);8(TAFBB);9(TAFBC);10(TAFBD)
2020-02-17 00:00:00;7;0;1;4;2;0;0;0;0;0
2020-02-17 00:15:00;5;6;0;2;3;0;0;0;0;0
2020-02-17 00:30:00;8;3;0;4;3;0;0;0;0;0
2020-02-17 00:45:00;11;5;0;7;3;0;0;0;0;0
2020-02-17 01:00:00;4;4;0;5;2;0;0;0;0;0
2020-02-17 01:15:00;9;2;0;4;4;0;0;0;0;0
2020-02-17 01:30:00;6;3;0;3;1;0;0;0;0;0
2020-02-17 01:45:00;9;1;0;6;1;0;0;0;0;0
2020-02-17 02:00:00;4;3;0;1;1;0;0;0;0;0
2020-02-17 02:15:00;8;4;0;3;4;0;0;0;0;0
2020-02-17 02:30:00;4;2;1;1;0;0;0;0;0;0
2020-02-17 02:45:00;8;8;0;5;2;0;0;0;0;0
2020-02-17 03:00:00;1;0;1;7;4;0;0;0;0;0
2020-02-17 03:15:00;4;2;0;9;3;0;0;0;0;0
2020-02-17 03:30:00;9;4;0;5;7;1;0;0;0;0
2020-02-17 03:45:00;5;3;0;0;0;0;0;0;0;0
2020-02-17 04:00:00;5;5;2;7;4;0;0;0;0;0
2020-02-17 04:15:00;8;6;0;12;7;0;0;0;0;0
2020-02-17 04:30:00;11;3;0;8;3;0;0;0;0;0
2020-02-17 04:45:00;16;10;2;20;13;1;0;0;0;0
2020-02-17 05:00:00;15;7;7;31;9;0;0;0;0;0
2020-02-17 05:15:00;28;24;1;43;22;0;0;0;0;0
2020-02-17 05:30:00;44;17;1;48;18;0;0;0;0;0
2020-02-17 05:45:00;64;45;2;76;28;3;0;0;0;0
2020-02-17 06:00:00;43;23;0;63;27;2;0;0;0;0
2020-02-17 06:15:00;75;41;1;89;31;1;0;0;0;0
2020-02-17 06:30:00;80;46;0;86;45;8;0;0;0;0
2020-02-17 06:45:00;120;80;0;104;53;6;1;0;0;0
2020-02-17 07:00:00;105;45;0;123;77;7;0;0;0;0
2020-02-17 07:15:00;125;68;1;117;83;7;0;0;0;0
2020-02-17 07:30:00;124;79;2;115;70;7;2;0;0;0
2020-02-17 07:45:00;152;103;0;101;66;10;5;0;0;0
2020-02-17 08:00:00;124;96;3;97;46;7;0;0;0;0
2020-02-17 08:15:00;109;97;0;102;58;6;0;0;0;0
