DATUM;1(DA1);2(DA2);3(DA3);4(DC4);5(DC1);6(DC2);7(DD1);8(DD2);9(DE1);10(DE2);11(DF1);12(DH1);13(DB1)
2020-08-03 00:00:00;3;3;0;0;3;7;3;4;3;0;0;0;0
2020-08-03 00:15:00;2;3;0;0;9;12;6;1;4;1;0;0;0
2020-08-03 00:30:00;6;2;0;0;4;5;3;5;1;0;0;0;0
2020-08-03 00:45:00;1;0;0;0;5;5;5;4;1;1;1;0;0
2020-08-03 01:00:00;4;0;0;0;6;4;7;2;2;1;0;0;0
2020-08-03 01:15:00;1;1;0;0;7;3;0;0;1;2;0;0;0
2020-08-03 01:30:00;0;1;0;0;0;1;2;3;1;0;0;0;0
2020-08-03 01:45:00;2;0;0;0;3;2;5;5;0;0;0;0;0
2020-08-03 02:00:00;0;1;0;0;0;0;1;0;0;0;0;0;0
2020-08-03 02:15:00;1;1;0;0;2;8;1;0;0;2;0;0;0
2020-08-03 02:30:00;2;3;0;0;2;2;2;1;0;1;0;0;0
2020-08-03 02:45:00;1;1;0;0;0;0;2;2;2;1;0;0;0
2020-08-03 03:00:00;1;1;1;0;0;2;3;1;0;2;0;0;0
2020-08-03 03:15:00;2;0;0;0;3;0;2;0;1;1;0;0;0
2020-08-03 03:30:00;1;0;0;0;3;2;0;0;2;2;0;0;0
2020-08-03 03:45:00;3;1;0;0;0;1;1;1;1;1;1;0;0
2020-08-03 04:00:00;2;0;0;1;3;3;6;4;0;0;0;0;0
2020-08-03 04:15:00;0;0;0;0;1;1;2;1;2;2;2;0;0
2020-08-03 04:30:00;1;0;0;0;5;2;5;3;6;1;0;0;0
2020-08-03 04:45:00;3;4;0;0;9;9;4;2;1;1;0;0;0
2020-08-03 05:00:00;0;1;0;0;11;11;9;5;3;1;0;0;0
2020-08-03 05:15:00;2;2;0;0;9;12;23;6;6;3;2;0;0
2020-08-03 05:30:00;10;2;0;0;15;18;39;26;17;4;3;0;0
2020-08-03 05:45:00;8;5;0;0;17;14;50;36;26;7;4;3;0
2020-08-03 06:00:00;17;5;0;0;23;21;28;24;24;4;1;1;1
2020-08-03 06:15:00;12;4;0;0;17;15;49;39;43;13;4;3;1
2020-08-03 06:30:00;12;9;2;2;40;29;51;51;29;15;6;3;1
2020-08-03 06:45:00;11;7;0;2;38;37;66;55;44;28;4;7;1
2020-08-03 07:00:00;18;7;1;3;44;37;63;41;49;23;4;2;0
2020-08-03 07:15:00;17;10;1;8;54;43;56;51;56;15;1;3;0
2020-08-03 07:30:00;20;13;0;2;44;56;72;49;58;23;3;3;2
2020-08-03 07:45:00;22;14;1;1;39;41;58;39;65;37;5;1;1
2020-08-03 08:00:00;25;11;0;4;42;50;70;47;63;30;8;1;2
2020-08-03 08:15:00;21;12;0;5;58;58;64;38;65;20;3;2;1
2020-08-03 08:30:00;21;13;2;13;71;65;58;42;56;26;5;1;0
2020-08-03 08:45:00;30;21;0;3;42;54;58;27;53;28;5;2;0
