DATUM;1(DA2);2(DA3);3(DB1);4(DB2);5(TA1);6(TA2);7(TA3);8(IRA1);9(IRC1);10(IRC2)
2021-01-03 00:00:00;0;1;1;0;0;0;0;0;0;0
2021-01-03 00:15:00;2;1;1;1;1;0;1;0;0;0
2021-01-03 00:30:00;1;1;0;0;0;0;0;0;0;0
2021-01-03 00:45:00;0;1;1;1;1;0;0;0;0;0
2021-01-03 01:00:00;1;1;0;1;1;1;1;0;0;0
2021-01-03 01:15:00;0;0;0;0;0;0;2;0;0;0
2021-01-03 01:30:00;0;0;0;0;0;0;0;0;0;0
2021-01-03 01:45:00;1;2;1;0;0;0;0;0;0;0
2021-01-03 02:00:00;0;2;0;0;0;0;1;0;0;0
2021-01-03 02:15:00;0;0;0;1;1;1;0;0;0;0
2021-01-03 02:30:00;0;1;1;1;2;1;1;0;0;0
2021-01-03 02:45:00;1;2;1;1;1;2;2;0;0;0
2021-01-03 03:00:00;1;1;0;0;0;0;0;0;0;0
2021-01-03 03:15:00;0;1;2;0;0;0;0;0;0;0
2021-01-03 03:30:00;1;1;0;0;0;1;0;0;0;0
2021-01-03 03:45:00;0;0;0;0;0;3;4;0;0;0
2021-01-03 04:00:00;0;1;3;1;3;1;1;0;0;0
2021-01-03 04:15:00;1;1;1;1;1;0;0;0;0;0
2021-01-03 04:30:00;2;1;1;0;0;3;1;0;0;0
2021-01-03 04:45:00;0;0;0;1;1;2;1;0;0;0
2021-01-03 05:00:00;5;5;4;0;0;2;6;0;0;0
2021-01-03 05:15:00;3;1;1;6;5;2;0;0;0;0
2021-01-03 05:30:00;6;2;0;0;2;1;1;0;0;0
2021-01-03 05:45:00;6;2;2;4;2;2;1;0;0;0
2021-01-03 06:00:00;4;2;1;2;5;2;2;0;0;0
2021-01-03 06:15:00;2;2;1;4;4;2;3;0;0;0
2021-01-03 06:30:00;3;6;1;0;1;6;2;0;0;0
2021-01-03 06:45:00;1;2;2;2;0;3;2;0;0;0
2021-01-03 07:00:00;3;1;1;2;0;2;2;0;0;0
2021-01-03 07:15:00;0;1;2;2;0;4;3;0;0;0
2021-01-03 07:30:00;2;2;0;2;3;4;2;0;0;0
2021-01-03 07:45:00;6;2;1;2;2;6;2;0;0;0
2021-01-03 08:00:00;1;1;1;5;2;2;4;0;0;0
2021-01-03 08:15:00;4;3;2;3;2;2;3;0;0;0
2021-01-03 08:30:00;5;4;2;6;4;2;3;0;0;0
2021-01-03 08:45:00;4;5;1;7;1;1;7;0;0;0
2021-01-03 09:00:00;5;6;1;1;1;5;4;0;0;0
2021-01-03 09:15:00;11;10;6;5;2;2;2;0;0;0
2021-01-03 09:30:00;11;6;6;9;4;4;5;0;0;0
2021-01-03 09:45:00;8;10;6;4;3;7;9;0;0;0
2021-01-03 10:00:00;13;8;4;7;3;9;7;0;0;0
2021-01-03 10:15:00;10;8;6;10;3;7;8;0;0;0
2021-01-03 10:30:00;10;7;6;15;2;6;12;0;0;0
2021-01-03 10:45:00;24;6;7;13;9;8;13;0;0;0
2021-01-03 11:00:00;14;6;9;15;3;11;13;0;0;0
2021-01-03 11:15:00;18;6;6;12;5;7;12;0;0;0
2021-01-03 11:30:00;11;11;5;20;2;13;8;0;0;0
2021-01-03 11:45:00;21;6;6;15;3;13;8;0;0;0
2021-01-03 12:00:00;21;13;11;19;4;17;8;0;0;0
2021-01-03 12:15:00;23;13;8;17;2;6;14;0;0;0
2021-01-03 12:30:00;32;8;4;20;7;16;13;0;0;0
