DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFBA);10(TAFBA1);11(TAFBB);12(TAFBC);13(TAFBC1);14(TAFBD)
2019-11-17 00:00:00;11;13;14;2;21;14;7;6;0;0;0;0;0;0
2019-11-17 00:15:00;18;17;8;8;13;27;6;7;0;0;0;0;0;0
2019-11-17 00:30:00;20;21;15;2;20;20;4;8;0;0;0;0;0;0
2019-11-17 00:45:00;23;18;7;4;11;23;9;8;0;0;0;0;0;0
2019-11-17 01:00:00;13;15;11;2;18;24;5;5;0;0;0;0;0;0
2019-11-17 01:15:00;18;17;10;7;8;13;5;6;0;0;0;0;0;0
2019-11-17 01:30:00;18;17;7;1;20;24;6;4;0;2;0;0;0;0
2019-11-17 01:45:00;15;18;4;2;17;17;3;2;0;2;0;0;0;0
2019-11-17 02:00:00;15;21;7;1;4;13;4;5;0;0;0;0;0;0
2019-11-17 02:15:00;10;4;12;1;4;5;1;6;0;0;0;0;0;0
2019-11-17 02:30:00;8;8;7;2;11;9;3;6;0;0;0;0;0;0
2019-11-17 02:45:00;11;12;4;0;6;6;3;2;0;0;0;0;0;0
2019-11-17 03:00:00;13;11;7;1;5;5;6;4;0;0;0;0;0;0
2019-11-17 03:15:00;14;8;6;5;2;6;5;2;0;0;0;0;0;0
2019-11-17 03:30:00;3;5;5;0;5;3;3;1;0;0;0;0;0;0
2019-11-17 03:45:00;4;9;3;1;9;7;2;1;0;0;0;0;0;0
2019-11-17 04:00:00;8;4;3;0;8;5;4;1;0;0;0;0;0;0
2019-11-17 04:15:00;13;5;3;0;5;9;4;3;0;0;0;0;0;0
2019-11-17 04:30:00;5;1;5;4;6;6;2;1;0;0;0;0;0;0
2019-11-17 04:45:00;4;6;1;0;6;10;4;0;0;0;0;0;0;0
2019-11-17 05:00:00;3;3;5;0;4;4;6;3;0;0;0;0;0;0
2019-11-17 05:15:00;10;9;3;0;5;7;3;2;0;0;0;0;0;0
2019-11-17 05:30:00;16;11;0;2;8;10;7;3;0;0;0;0;0;0
2019-11-17 05:45:00;6;6;5;0;8;10;2;4;0;0;0;0;0;0
2019-11-17 06:00:00;8;5;4;0;7;9;2;1;0;0;0;0;0;0
2019-11-17 06:15:00;9;7;2;1;7;12;4;4;0;0;0;0;0;0
2019-11-17 06:30:00;7;5;8;2;12;14;3;2;0;0;0;0;0;0
2019-11-17 06:45:00;11;9;3;0;7;12;4;6;0;0;0;0;0;0
2019-11-17 07:00:00;6;6;4;2;7;10;8;1;0;0;0;0;0;0
2019-11-17 07:15:00;10;5;7;1;10;8;12;6;0;0;0;0;0;0
2019-11-17 07:30:00;11;9;11;1;9;9;14;3;0;0;0;0;0;0
2019-11-17 07:45:00;15;11;8;1;8;12;18;4;0;0;0;0;0;0
2019-11-17 08:00:00;10;9;6;2;11;12;12;5;0;0;0;0;0;0
2019-11-17 08:15:00;25;20;5;8;17;14;13;11;0;0;0;0;0;0
2019-11-17 08:30:00;23;32;11;5;22;25;9;10;0;0;0;0;0;0
2019-11-17 08:45:00;31;26;13;9;20;27;16;16;0;0;0;0;0;0
2019-11-17 09:00:00;26;25;19;2;25;23;15;16;0;0;0;0;0;0
2019-11-17 09:15:00;41;29;15;6;21;25;16;12;0;4;0;0;0;0
2019-11-17 09:30:00;42;44;18;10;34;44;32;24;0;0;0;0;0;0
2019-11-17 09:45:00;50;64;31;8;41;60;28;18;0;0;0;0;0;0
2019-11-17 10:00:00;60;55;23;10;40;39;21;21;0;0;0;0;0;0
2019-11-17 10:15:00;41;41;17;11;41;36;20;21;0;0;0;0;0;0
2019-11-17 10:30:00;45;48;28;7;42;52;33;24;0;0;0;1;0;0
