DATUM;1(DA1);2(DA2);3(VDB1);4(VDB2);5(DB3);6(DB4);7(DC1);8(DC2);9(VDD1);10(VDD2);11(DD3);12(DD4);13(TAFGA);14(TAFGC);15(TAFBA);16(TAFBB);17(TAFBC);18(TAFBD)
2020-08-28 00:00:00;5;11;1;0;1;0;3;4;3;0;3;4;0;0;0;0;0;0
2020-08-28 00:15:00;1;2;0;0;2;2;4;8;1;0;1;0;0;0;0;0;0;0
2020-08-28 00:30:00;0;0;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0
2020-08-28 00:45:00;0;2;0;1;1;4;3;4;0;0;0;1;0;0;0;0;0;0
2020-08-28 01:00:00;0;0;0;1;1;2;0;0;0;2;1;2;0;0;0;0;0;0
2020-08-28 01:15:00;0;2;0;0;2;0;3;1;2;0;3;3;0;0;0;0;0;0
2020-08-28 01:30:00;0;1;0;1;1;2;1;3;1;0;1;1;0;0;0;0;0;0
2020-08-28 01:45:00;0;2;0;0;0;1;3;7;0;0;0;0;0;0;0;0;0;0
2020-08-28 02:00:00;2;5;2;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0
2020-08-28 02:15:00;0;0;0;0;0;4;2;2;2;0;2;1;0;0;0;0;0;0
2020-08-28 02:30:00;1;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2020-08-28 02:45:00;0;0;0;0;2;2;3;2;0;1;1;1;0;0;0;0;0;0
2020-08-28 03:00:00;1;2;0;0;0;3;4;4;1;1;1;1;0;0;0;0;0;0
2020-08-28 03:15:00;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0
2020-08-28 03:30:00;0;2;0;0;0;1;4;4;0;0;0;0;0;0;0;0;0;0
2020-08-28 03:45:00;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0
2020-08-28 04:00:00;0;0;0;0;3;0;1;2;3;0;3;2;0;0;0;0;0;0
2020-08-28 04:15:00;1;2;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0
2020-08-28 04:30:00;1;2;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0
2020-08-28 04:45:00;0;2;1;1;2;3;0;0;2;0;2;0;0;0;0;0;0;0
2020-08-28 05:00:00;1;0;0;0;0;1;6;6;0;1;0;1;0;1;0;0;1;0
2020-08-28 05:15:00;4;7;0;0;1;5;1;5;1;2;2;2;0;0;0;0;1;0
2020-08-28 05:30:00;17;11;1;4;6;6;5;5;4;0;4;5;0;0;0;0;0;0
2020-08-28 05:45:00;29;24;0;1;8;5;5;6;1;3;2;11;0;0;0;0;0;0
2020-08-28 06:00:00;19;21;1;3;8;11;10;15;5;0;9;6;0;0;0;6;0;0
2020-08-28 06:15:00;23;25;0;0;12;10;17;20;9;0;9;6;0;0;0;0;0;0
2020-08-28 06:30:00;30;21;3;3;13;9;16;13;6;3;6;14;0;0;0;1;0;0
2020-08-28 06:45:00;31;28;7;2;17;11;10;17;1;2;4;9;0;0;0;0;0;0
2020-08-28 07:00:00;28;28;0;1;19;9;17;20;16;5;20;8;0;0;0;0;0;0
2020-08-28 07:15:00;32;29;0;1;15;8;18;14;6;1;9;6;0;0;0;0;0;0
2020-08-28 07:30:00;20;25;6;5;14;13;16;23;9;3;9;14;2;0;1;0;0;0
2020-08-28 07:45:00;18;26;0;0;16;14;21;24;11;5;15;6;0;0;0;1;0;0
2020-08-28 08:00:00;24;34;2;3;14;17;29;18;9;5;9;9;0;0;1;0;0;0
2020-08-28 08:15:00;15;33;0;0;21;18;22;21;10;1;16;9;0;0;0;0;0;0
2020-08-28 08:30:00;15;31;14;5;22;18;32;28;16;2;22;12;1;0;2;0;0;1
2020-08-28 08:45:00;23;46;2;2;26;23;34;41;21;9;27;19;0;2;0;1;2;0
2020-08-28 09:00:00;15;39;4;1;22;24;30;28;14;2;16;7;0;1;0;0;0;0
2020-08-28 09:15:00;22;28;18;7;28;20;34;21;13;4;17;18;1;0;1;0;0;0
2020-08-28 09:30:00;21;37;6;2;26;14;30;20;18;7;29;11;1;0;1;0;0;0
2020-08-28 09:45:00;29;52;5;5;13;25;45;44;27;6;26;14;1;1;2;0;2;0
2020-08-28 10:00:00;17;31;3;9;16;18;34;29;10;10;19;14;0;0;0;9;0;0
2020-08-28 10:15:00;20;47;18;8;21;20;41;27;25;5;30;12;2;0;0;0;0;3
2020-08-28 10:30:00;21;33;14;9;18;18;32;25;24;6;24;10;1;1;1;3;0;0
2020-08-28 10:45:00;23;40;10;5;21;19;42;33;29;8;30;13;3;2;24;0;0;0
2020-08-28 11:00:00;17;45;12;13;20;19;36;33;22;10;26;15;0;2;2;2;0;0
2020-08-28 11:15:00;24;44;13;9;20;29;43;34;24;7;30;10;0;0;0;0;0;3
2020-08-28 11:30:00;20;53;14;6;24;10;41;41;35;8;35;17;0;1;0;11;0;1
2020-08-28 11:45:00;20;42;20;16;25;19;39;32;24;11;33;19;0;0;0;0;0;0
2020-08-28 12:00:00;16;41;17;13;23;22;38;42;19;11;23;19;0;1;0;29;0;0
2020-08-28 12:15:00;29;41;12;13;16;20;28;43;30;13;34;20;0;1;0;0;0;0
2020-08-28 12:30:00;17;38;27;11;27;15;43;33;29;13;35;25;0;0;0;2;0;17
2020-08-28 12:45:00;21;49;19;13;20;17;47;28;31;13;37;17;2;1;0;1;0;1
2020-08-28 13:00:00;13;52;16;17;19;19;51;36;44;18;44;27;0;0;0;16;0;3
2020-08-28 13:15:00;18;35;18;15;18;20;32;31;30;13;36;16;2;0;0;2;0;0
2020-08-28 13:30:00;17;42;14;14;14;20;39;37;26;6;30;16;0;1;0;0;0;1
2020-08-28 13:45:00;16;32;15;12;14;15;26;28;25;10;30;13;0;0;0;0;0;2
2020-08-28 14:00:00;16;38;17;16;21;14;42;44;28;12;31;13;4;0;2;0;0;29
2020-08-28 14:15:00;14;37;16;24;20;28;44;35;29;12;36;20;0;1;0;0;0;1
2020-08-28 14:30:00;14;31;22;17;27;26;55;23;25;6;26;7;2;0;0;1;0;2
2020-08-28 14:45:00;14;43;18;21;21;29;49;42;23;13;29;18;0;0;0;0;0;0
2020-08-28 15:00:00;8;42;25;14;26;16;30;34;23;8;31;8;0;0;0;1;2;4
2020-08-28 15:15:00;18;47;16;21;17;20;36;41;28;10;28;12;0;0;0;0;0;0
2020-08-28 15:30:00;16;48;17;13;20;17;48;37;26;9;30;15;0;0;0;1;0;1
