DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(TAFGA);11(TAFBA);12(TAFGB);13(TAFBB);14(TAFGC);15(TAFBC);16(TAFBD);17(TAFBE);18(TARDC);19(TARDD)
2020-11-26 00:00:00;5;14;5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-26 00:15:00;4;9;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-26 00:30:00;16;8;8;15;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-26 00:45:00;2;8;6;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-26 01:00:00;6;10;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-26 01:15:00;3;7;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-26 01:30:00;6;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-26 01:45:00;4;6;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-26 02:00:00;4;8;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-26 02:15:00;9;3;4;7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-26 02:30:00;7;5;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-26 02:45:00;5;8;6;8;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-26 03:00:00;8;8;7;11;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-26 03:15:00;9;6;3;10;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-26 03:30:00;8;3;2;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-26 03:45:00;6;8;6;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-26 04:00:00;8;14;7;14;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-26 04:15:00;12;17;4;19;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-26 04:30:00;25;24;8;20;1;1;1;3;3;0;0;0;0;0;0;0;0;0;0
2020-11-26 04:45:00;27;39;13;39;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-26 05:00:00;48;92;30;86;7;7;7;2;2;0;0;0;0;0;0;0;0;0;0
2020-11-26 05:15:00;63;127;19;112;1;1;1;4;4;1;0;0;0;0;0;0;0;0;0
2020-11-26 05:30:00;84;130;13;96;6;6;6;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-26 05:45:00;76;104;20;99;5;9;4;6;6;0;0;0;0;0;0;0;0;0;0
