DATUM;1(TAA);3(DA1);4(DA2);5(DC1);6(DC2);7(DC3);8(DC4)
2020-07-05 00:00:00;0;35;8;37;22;0;0
2020-07-05 00:15:00;0;18;18;45;26;2;2
2020-07-05 00:30:00;1;23;17;47;29;1;1
2020-07-05 00:45:00;0;18;10;22;7;0;0
2020-07-05 01:00:00;0;17;10;28;10;0;0
2020-07-05 01:15:00;0;15;15;23;13;0;0
2020-07-05 01:30:00;0;9;11;19;9;0;0
2020-07-05 01:45:00;0;17;9;17;8;0;0
2020-07-05 02:00:00;0;6;2;10;6;0;0
2020-07-05 02:15:00;0;8;8;10;6;1;1
2020-07-05 02:30:00;0;8;6;13;9;0;0
2020-07-05 02:45:00;0;9;6;9;4;0;0
2020-07-05 03:00:00;0;5;4;13;3;0;0
2020-07-05 03:15:00;0;5;6;5;6;0;0
2020-07-05 03:30:00;0;5;3;6;5;0;0
2020-07-05 03:45:00;0;4;5;6;5;0;0
2020-07-05 04:00:00;0;4;3;6;5;0;0
2020-07-05 04:15:00;0;1;5;2;5;1;1
2020-07-05 04:30:00;0;3;4;3;2;0;0
2020-07-05 04:45:00;0;2;5;5;3;1;1
2020-07-05 05:00:00;0;5;4;6;5;0;0
2020-07-05 05:15:00;0;12;4;8;5;1;1
2020-07-05 05:30:00;0;8;14;9;4;0;0
2020-07-05 05:45:00;0;14;7;12;2;1;1
2020-07-05 06:00:00;0;14;8;10;7;0;0
2020-07-05 06:15:00;0;13;3;12;4;1;1
2020-07-05 06:30:00;0;8;7;15;9;0;0
2020-07-05 06:45:00;0;10;10;12;5;1;1
2020-07-05 07:00:00;2;14;6;12;10;0;0
2020-07-05 07:15:00;3;9;10;10;7;1;1
2020-07-05 07:30:00;1;15;17;21;13;0;0
2020-07-05 07:45:00;3;0;40;19;9;1;1
2020-07-05 08:00:00;8;1;32;23;12;2;2
2020-07-05 08:15:00;0;0;34;20;19;0;0
2020-07-05 08:30:00;0;0;46;29;24;2;2
2020-07-05 08:45:00;7;6;60;32;28;0;0
2020-07-05 09:00:00;11;23;36;27;11;1;1
2020-07-05 09:15:00;0;41;42;41;37;0;0
2020-07-05 09:30:00;5;53;53;54;25;2;2
2020-07-05 09:45:00;7;10;102;53;38;0;0
2020-07-05 10:00:00;10;4;109;54;38;2;2
2020-07-05 10:15:00;5;1;104;61;50;0;0
2020-07-05 10:30:00;9;6;105;59;46;2;2
2020-07-05 10:45:00;25;5;110;74;47;0;0
2020-07-05 11:00:00;8;32;95;70;58;2;2
2020-07-05 11:15:00;25;39;64;74;43;0;0
2020-07-05 11:30:00;10;45;70;73;54;2;2
2020-07-05 11:45:00;6;49;87;64;68;0;0
2020-07-05 12:00:00;6;39;60;58;50;2;2
2020-07-05 12:15:00;0;49;75;78;58;1;1
2020-07-05 12:30:00;10;43;79;62;58;2;2
2020-07-05 12:45:00;21;41;76;77;74;0;0
2020-07-05 13:00:00;24;36;80;79;77;2;2
2020-07-05 13:15:00;0;41;71;75;65;1;1
2020-07-05 13:30:00;4;49;63;88;50;1;1
2020-07-05 13:45:00;24;57;72;80;65;0;0
2020-07-05 14:00:00;30;40;89;84;71;2;2
2020-07-05 14:15:00;2;62;71;85;78;0;0
2020-07-05 14:30:00;12;63;111;74;63;1;1
2020-07-05 14:45:00;2;59;78;85;101;1;1
2020-07-05 15:00:00;11;65;79;75;55;2;2
2020-07-05 15:15:00;9;42;73;75;53;0;0
2020-07-05 15:30:00;3;54;84;73;59;2;2
2020-07-05 15:45:00;11;63;86;84;69;0;0
2020-07-05 16:00:00;17;65;77;75;67;2;2
2020-07-05 16:15:00;7;53;54;77;65;0;0
2020-07-05 16:30:00;9;70;60;78;55;1;1
2020-07-05 16:45:00;9;69;76;96;85;1;1
2020-07-05 17:00:00;12;75;73;77;82;2;2
2020-07-05 17:15:00;1;77;80;100;88;0;0
2020-07-05 17:30:00;11;81;64;79;90;3;3
2020-07-05 17:45:00;8;79;82;82;89;0;0
2020-07-05 18:00:00;70;58;69;97;64;2;2
2020-07-05 18:15:00;6;68;85;82;58;0;0
2020-07-05 18:30:00;20;62;93;81;68;1;1
2020-07-05 18:45:00;12;32;102;94;80;0;0
2020-07-05 19:00:00;10;34;113;76;80;2;2
2020-07-05 19:15:00;6;39;100;85;59;2;2
2020-07-05 19:30:00;17;41;108;77;70;2;2
2020-07-05 19:45:00;5;44;80;68;70;0;0
2020-07-05 20:00:00;1;64;66;70;74;2;2
2020-07-05 20:15:00;2;53;58;67;38;0;0
2020-07-05 20:30:00;6;56;52;62;54;1;1
2020-07-05 20:45:00;5;52;55;61;47;0;0
2020-07-05 21:00:00;8;50;48;60;47;2;2
2020-07-05 21:15:00;0;47;36;47;50;0;0
2020-07-05 21:30:00;5;32;30;43;32;1;1
2020-07-05 21:45:00;0;35;32;57;43;1;1
2020-07-05 22:00:00;0;43;32;49;47;2;2
2020-07-05 22:15:00;0;23;30;45;30;1;1
2020-07-05 22:30:00;2;26;26;25;26;1;1
2020-07-05 22:45:00;0;19;21;20;24;1;1
2020-07-05 23:00:00;0;22;17;30;9;2;2
2020-07-05 23:15:00;0;18;14;27;17;1;1
2020-07-05 23:30:00;0;22;19;15;25;1;1
2020-07-05 23:45:00;0;17;4;16;14;0;0
