DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DD1);9(DD2);10(DD3);11(TAFBA);12(TAFBA2);13(TAFBB);14(TAFBC);15(TAFBC2);16(TAFBD);17(TAFBE)
2020-12-10 00:00:00;6;0;2;3;1;0;1;1;4;1;0;0;0;0;0;0;0
2020-12-10 00:15:00;4;2;3;5;3;1;0;1;6;4;0;0;0;0;0;0;0
2020-12-10 00:30:00;4;0;0;2;0;0;2;0;0;3;0;0;0;0;0;0;0
2020-12-10 00:45:00;4;1;4;3;0;1;1;8;6;4;0;0;0;0;0;0;0
2020-12-10 01:00:00;4;2;5;1;0;0;0;1;5;3;0;0;0;0;1;0;0
2020-12-10 01:15:00;4;1;0;0;0;0;0;1;2;3;0;0;0;0;0;0;0
2020-12-10 01:30:00;6;2;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0
2020-12-10 01:45:00;4;0;1;1;0;0;0;2;2;1;0;0;0;0;0;0;0
2020-12-10 02:00:00;4;2;1;0;0;0;2;3;5;1;0;0;0;0;0;0;0
2020-12-10 02:15:00;2;3;0;1;0;0;0;3;2;2;0;0;0;0;0;0;0
2020-12-10 02:30:00;3;0;0;1;0;1;3;2;3;3;0;0;0;0;0;0;0
2020-12-10 02:45:00;1;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0
2020-12-10 03:00:00;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0
2020-12-10 03:15:00;5;1;0;2;0;0;0;1;1;4;0;0;0;0;0;0;0
2020-12-10 03:30:00;4;2;0;0;0;0;1;4;5;2;0;0;0;0;0;0;0
2020-12-10 03:45:00;7;0;0;0;0;0;1;1;2;3;0;0;0;0;0;0;0
2020-12-10 04:00:00;7;2;4;0;0;0;0;0;1;8;0;0;0;0;0;0;0
2020-12-10 04:15:00;2;0;0;2;1;2;3;2;4;2;0;0;0;0;0;0;0
2020-12-10 04:30:00;11;0;2;1;0;2;3;2;2;3;0;0;0;0;0;0;0
2020-12-10 04:45:00;16;2;5;1;1;0;5;4;6;7;0;0;0;0;0;0;0
2020-12-10 05:00:00;47;7;14;23;0;2;5;7;10;11;0;0;0;0;0;0;0
2020-12-10 05:15:00;82;12;28;58;2;3;9;10;12;9;0;0;0;0;0;0;0
2020-12-10 05:30:00;76;6;47;61;5;2;24;28;36;19;0;0;0;0;0;0;0
2020-12-10 05:45:00;43;7;32;41;6;4;12;68;50;70;0;0;0;0;0;0;0
2020-12-10 06:00:00;39;14;19;35;0;11;16;71;74;104;0;0;0;0;0;0;0
2020-12-10 06:15:00;60;7;35;38;6;2;12;28;25;34;0;0;0;0;0;0;0
2020-12-10 06:30:00;53;15;61;61;4;5;16;34;36;38;0;0;0;0;0;0;0
2020-12-10 06:45:00;48;9;45;47;12;17;26;31;27;30;0;0;0;0;4;0;0
2020-12-10 07:00:00;50;9;33;28;8;7;17;31;20;29;0;0;0;0;1;0;1
2020-12-10 07:15:00;53;25;55;52;14;12;16;65;45;35;0;0;0;0;0;0;0
2020-12-10 07:30:00;61;23;57;70;17;22;35;43;46;39;0;0;0;0;0;0;0
2020-12-10 07:45:00;64;12;68;70;15;12;37;85;46;35;0;0;0;0;0;0;0
2020-12-10 08:00:00;57;18;54;67;23;12;21;38;42;45;0;1;0;0;0;2;0
2020-12-10 08:15:00;54;23;38;37;11;14;19;32;36;30;0;0;0;0;0;0;0
2020-12-10 08:30:00;44;20;26;44;13;24;29;31;42;31;0;0;0;0;2;0;0
2020-12-10 08:45:00;45;16;30;34;8;21;21;35;33;23;0;0;0;0;4;0;0
2020-12-10 09:00:00;33;23;33;37;16;11;19;25;31;18;0;0;0;1;0;4;0
2020-12-10 09:15:00;41;27;24;23;8;16;15;37;34;27;0;0;0;0;0;0;0
2020-12-10 09:30:00;30;23;24;22;14;12;21;37;34;34;0;0;4;0;0;0;0
2020-12-10 09:45:00;44;34;29;25;11;16;24;33;32;28;0;0;5;0;0;0;0
2020-12-10 10:00:00;35;26;23;27;15;13;25;29;35;24;4;0;1;0;0;0;0
2020-12-10 10:15:00;38;35;28;27;18;21;20;25;26;26;0;0;0;0;0;0;0
2020-12-10 10:30:00;46;36;31;28;13;19;19;37;40;33;0;0;0;0;0;0;0
2020-12-10 10:45:00;36;25;25;29;18;8;31;27;30;40;0;0;0;0;7;0;3
2020-12-10 11:00:00;36;26;30;30;15;24;19;29;37;32;2;0;7;0;3;0;0
2020-12-10 11:15:00;28;27;23;68;14;15;27;28;35;29;0;0;0;0;0;0;0
2020-12-10 11:30:00;31;29;23;30;20;13;30;38;40;42;4;0;0;0;0;0;0
2020-12-10 11:45:00;49;30;26;28;13;22;20;36;37;35;0;0;0;0;1;0;1
2020-12-10 12:00:00;46;24;50;38;12;30;24;36;33;43;0;0;2;0;0;0;0
2020-12-10 12:15:00;38;31;22;40;18;14;22;29;36;36;0;0;0;0;0;3;0
2020-12-10 12:30:00;40;29;32;41;14;11;27;38;39;36;1;1;0;0;0;0;0
2020-12-10 12:45:00;46;26;16;37;19;15;28;56;43;46;0;0;1;0;0;0;0
2020-12-10 13:00:00;54;17;41;58;18;15;21;33;34;28;0;0;0;0;0;0;0
2020-12-10 13:15:00;85;18;32;54;14;13;30;25;35;36;0;0;0;0;0;4;0
2020-12-10 13:30:00;97;34;36;68;26;10;40;32;37;34;1;0;0;0;0;0;0
2020-12-10 13:45:00;73;23;65;70;21;16;35;46;52;41;0;0;0;0;0;0;0
2020-12-10 14:00:00;130;40;34;44;14;23;31;55;62;79;0;0;0;0;0;0;0
2020-12-10 14:15:00;52;30;28;29;20;22;28;93;78;126;1;0;0;0;0;1;0
2020-12-10 14:30:00;57;33;21;19;16;17;27;57;60;73;0;0;0;0;0;0;0
2020-12-10 14:45:00;46;45;32;28;23;16;32;64;55;64;0;0;1;0;0;0;0
2020-12-10 15:00:00;44;26;27;29;12;20;32;55;43;63;0;0;0;0;5;0;0
2020-12-10 15:15:00;46;28;28;21;7;20;31;55;51;61;0;0;1;0;1;0;0
2020-12-10 15:30:00;46;38;32;32;20;12;19;58;51;54;0;0;0;0;0;2;0
2020-12-10 15:45:00;43;32;27;21;16;31;32;56;37;50;15;0;21;8;0;0;0
2020-12-10 16:00:00;49;37;42;34;29;29;32;62;64;52;21;0;0;1;14;1;0
2020-12-10 16:15:00;76;35;34;27;12;26;36;53;41;53;0;0;1;1;10;0;0
2020-12-10 16:30:00;50;29;36;33;24;32;29;47;40;46;0;0;2;0;0;0;0
2020-12-10 16:45:00;45;37;32;77;30;24;26;41;48;58;4;0;0;0;1;6;0
2020-12-10 17:00:00;62;34;41;39;25;31;35;42;49;41;0;0;2;0;0;1;0
2020-12-10 17:15:00;41;28;31;32;23;28;24;47;34;62;0;0;0;0;5;0;0
2020-12-10 17:30:00;46;36;36;24;19;23;29;46;40;40;0;2;1;2;0;0;0
2020-12-10 17:45:00;52;20;32;34;22;16;20;37;48;56;1;0;14;1;1;2;0
2020-12-10 18:00:00;45;29;35;25;14;19;30;40;42;34;0;0;1;0;1;0;0
2020-12-10 18:15:00;40;30;25;71;15;12;24;35;38;32;0;1;0;0;2;0;0
2020-12-10 18:30:00;27;20;16;18;15;10;21;26;27;26;0;0;0;0;1;2;0
2020-12-10 18:45:00;43;20;25;10;9;17;20;41;36;32;2;0;6;0;1;0;0
2020-12-10 19:00:00;34;15;17;20;7;11;12;22;22;17;2;1;0;0;3;0;0
2020-12-10 19:15:00;29;18;28;22;11;10;26;27;25;27;0;0;0;0;0;5;0
2020-12-10 19:30:00;41;16;19;18;6;11;21;18;17;15;0;0;0;0;0;0;0
