DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(DC3);10(DD1);11(DE1)
2020-07-30 00:00:00;10;3;3;3;0;8;7;4;0;1;0
2020-07-30 00:15:00;16;10;3;3;0;3;14;7;1;2;0
2020-07-30 00:30:00;12;13;4;1;0;1;20;4;0;1;0
2020-07-30 00:45:00;6;1;1;0;0;3;17;3;0;2;0
2020-07-30 01:00:00;8;3;1;1;0;3;23;4;0;1;0
2020-07-30 01:15:00;4;3;3;1;0;1;4;0;0;3;0
2020-07-30 01:30:00;6;1;2;2;1;6;9;4;0;1;0
2020-07-30 01:45:00;7;11;2;2;0;3;7;5;0;1;0
2020-07-30 02:00:00;4;8;1;0;0;0;4;4;0;0;0
2020-07-30 02:15:00;8;4;0;1;0;1;12;3;0;1;0
2020-07-30 02:30:00;3;6;1;2;1;4;11;1;0;2;0
2020-07-30 02:45:00;2;2;1;0;0;3;10;2;0;0;0
2020-07-30 03:00:00;7;4;0;0;1;3;3;1;0;0;0
2020-07-30 03:15:00;5;3;2;0;0;3;8;1;0;0;0
2020-07-30 03:30:00;9;2;3;0;0;2;8;1;0;0;0
2020-07-30 03:45:00;0;3;0;1;0;2;10;2;0;1;0
2020-07-30 04:00:00;6;6;1;1;0;2;11;4;0;0;0
2020-07-30 04:15:00;9;8;3;5;1;4;15;3;0;0;0
2020-07-30 04:30:00;17;10;4;4;0;5;20;3;0;3;0
2020-07-30 04:45:00;10;14;5;1;0;4;25;7;0;3;0
2020-07-30 05:00:00;23;13;6;3;0;4;69;42;0;3;0
2020-07-30 05:15:00;37;25;16;4;0;7;106;67;1;6;0
2020-07-30 05:30:00;40;25;21;8;1;16;89;95;0;2;0
2020-07-30 05:45:00;84;35;30;21;2;31;77;86;0;3;0
2020-07-30 06:00:00;101;41;50;13;4;19;88;90;0;4;1
2020-07-30 06:15:00;78;41;43;27;7;37;95;102;0;6;1
2020-07-30 06:30:00;70;43;34;20;9;33;130;123;1;5;2
2020-07-30 06:45:00;58;41;44;27;7;37;134;121;2;9;0
2020-07-30 07:00:00;68;42;49;38;13;45;138;140;0;8;0
2020-07-30 07:15:00;88;33;33;36;16;54;123;137;3;21;0
2020-07-30 07:30:00;72;35;32;49;15;68;125;154;2;9;0
2020-07-30 07:45:00;90;50;41;36;12;56;123;157;2;9;2
2020-07-30 08:00:00;71;31;25;24;8;36;117;93;1;8;0
2020-07-30 08:15:00;79;36;39;33;9;49;107;110;1;11;2
2020-07-30 08:30:00;75;46;37;31;8;42;104;100;1;6;0
2020-07-30 08:45:00;83;32;36;25;8;36;84;107;2;10;1
2020-07-30 09:00:00;88;43;34;17;0;19;88;84;3;9;1
2020-07-30 09:15:00;74;41;38;21;4;28;109;79;1;7;0
2020-07-30 09:30:00;109;43;32;17;6;24;95;86;1;5;6
2020-07-30 09:45:00;111;41;45;20;4;26;92;106;3;12;1
2020-07-30 10:00:00;101;47;46;14;3;20;84;78;1;10;1
2020-07-30 10:15:00;93;41;35;14;3;20;97;103;1;14;1
2020-07-30 10:30:00;103;41;34;12;3;19;104;73;1;5;4
2020-07-30 10:45:00;101;47;49;12;6;16;83;82;1;7;0
2020-07-30 11:00:00;148;54;47;23;8;29;88;67;0;10;0
2020-07-30 11:15:00;123;48;37;21;8;31;98;78;2;8;2
2020-07-30 11:30:00;114;32;31;22;5;27;80;69;1;9;1
2020-07-30 11:45:00;86;41;38;17;9;29;94;62;1;6;1
2020-07-30 12:00:00;117;51;51;6;2;9;91;80;1;12;1
