DATUM;1(DA1);2(DC1);3(TAFGA);4(TAFBA)
2019-08-06 18:15:00;0;0;1;0
2019-08-06 18:30:00;0;0;1;0
2019-08-06 18:45:00;0;0;0;0
2019-08-06 19:00:00;0;0;0;0
2019-08-06 19:15:00;0;0;0;0
2019-08-06 19:30:00;0;0;0;0
2019-08-06 19:45:00;0;0;0;0
2019-08-06 20:00:00;0;0;0;0
2019-08-06 20:15:00;0;0;1;8
2019-08-06 20:30:00;0;0;0;5
2019-08-06 20:45:00;0;0;0;0
2019-08-06 21:00:00;0;0;1;0
2019-08-06 21:15:00;0;0;0;0
2019-08-06 21:30:00;0;0;0;0
2019-08-06 21:45:00;0;0;0;0
2019-08-06 22:00:00;0;0;0;0
2019-08-06 22:15:00;0;0;0;0
2019-08-06 22:30:00;0;0;0;0
2019-08-06 22:45:00;0;0;0;0
2019-08-06 23:00:00;0;0;0;0
2019-08-06 23:15:00;0;0;0;0
2019-08-06 23:30:00;0;0;0;0
