DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DC1);8(DC2);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC)
2020-05-31 00:00:00;26;8;13;4;5;3;2;27;0;0;0;0;0
2020-05-31 00:15:00;27;8;9;6;2;2;0;34;0;0;0;0;0
2020-05-31 00:30:00;29;2;5;2;0;0;3;34;0;0;0;0;0
2020-05-31 00:45:00;12;5;5;0;0;0;2;25;0;0;0;0;0
2020-05-31 01:00:00;14;4;6;2;0;0;1;22;0;0;0;0;0
2020-05-31 01:15:00;16;7;11;4;2;2;1;19;0;0;0;0;0
2020-05-31 01:30:00;8;3;5;2;1;1;0;22;0;0;0;0;0
2020-05-31 01:45:00;9;3;4;1;1;1;1;7;0;0;0;0;0
2020-05-31 02:00:00;13;3;4;2;0;0;0;12;0;0;0;0;0
2020-05-31 02:15:00;5;3;3;0;0;0;1;4;0;0;0;0;0
2020-05-31 02:30:00;3;3;4;1;2;2;0;7;0;0;0;0;0
2020-05-31 02:45:00;4;1;2;2;0;0;0;3;0;0;0;0;0
2020-05-31 03:00:00;8;3;5;2;0;0;1;8;0;0;0;0;0
2020-05-31 03:15:00;6;0;0;0;0;0;0;10;0;0;0;0;0
2020-05-31 03:30:00;9;1;1;1;0;0;0;5;0;0;0;0;0
2020-05-31 03:45:00;2;2;3;2;0;0;0;4;0;0;0;0;0
2020-05-31 04:00:00;4;1;1;1;0;0;0;2;0;0;0;0;0
2020-05-31 04:15:00;1;1;3;0;0;0;3;3;0;0;0;0;0
2020-05-31 04:30:00;5;1;1;0;0;0;0;0;0;0;0;0;0
2020-05-31 04:45:00;1;2;2;1;2;1;0;2;0;0;0;0;0
2020-05-31 05:00:00;3;3;4;2;0;0;0;5;0;0;0;0;0
2020-05-31 05:15:00;12;0;2;1;0;0;1;6;0;0;0;0;0
2020-05-31 05:30:00;11;3;6;0;1;1;0;13;0;0;0;0;0
2020-05-31 05:45:00;9;1;3;0;1;1;0;18;0;0;0;0;0
2020-05-31 06:00:00;9;3;2;1;0;0;0;9;0;0;0;0;0
2020-05-31 06:15:00;11;2;3;3;1;1;2;8;0;0;0;0;0
2020-05-31 06:30:00;15;4;4;4;4;5;0;11;0;0;0;0;0
2020-05-31 06:45:00;13;4;7;3;2;3;0;7;0;0;0;0;0
2020-05-31 07:00:00;7;4;5;5;3;4;0;12;0;0;0;0;0
2020-05-31 07:15:00;17;6;5;3;2;4;1;15;0;0;0;0;0
2020-05-31 07:30:00;16;3;6;1;3;3;0;20;0;0;0;0;0
2020-05-31 07:45:00;16;7;11;7;3;4;1;22;0;0;0;0;0
2020-05-31 08:00:00;16;6;8;7;2;1;2;24;0;0;0;0;0
2020-05-31 08:15:00;17;5;7;1;3;3;1;15;0;0;0;0;0
2020-05-31 08:30:00;22;4;5;1;0;1;2;17;0;0;0;0;0
2020-05-31 08:45:00;34;5;7;2;5;5;1;23;0;0;0;0;0
2020-05-31 09:00:00;15;5;11;4;10;10;1;29;0;0;0;0;0
2020-05-31 09:15:00;24;2;5;3;3;3;1;26;0;0;0;0;0
2020-05-31 09:30:00;49;9;13;4;2;4;1;41;0;0;0;0;0
2020-05-31 09:45:00;42;10;14;9;8;8;1;39;0;0;0;0;0
2020-05-31 10:00:00;38;5;12;2;5;5;4;56;0;0;0;0;0
2020-05-31 10:15:00;36;3;6;0;5;5;4;44;0;0;0;0;0
2020-05-31 10:30:00;52;10;16;7;5;5;2;65;0;0;0;0;0
2020-05-31 10:45:00;60;16;27;8;6;7;3;74;0;0;0;0;0
2020-05-31 11:00:00;51;7;13;6;3;3;3;60;0;0;0;0;0
2020-05-31 11:15:00;63;7;13;4;5;4;7;72;0;0;0;0;0
2020-05-31 11:30:00;65;10;21;5;11;11;5;103;0;0;0;0;0
2020-05-31 11:45:00;73;14;19;8;8;8;7;77;0;0;0;0;0
2020-05-31 12:00:00;79;13;18;7;3;4;4;69;0;0;0;0;0
2020-05-31 12:15:00;66;15;25;13;9;9;3;82;0;0;0;0;0
2020-05-31 12:30:00;54;12;17;6;9;8;5;84;0;0;0;0;0
2020-05-31 12:45:00;66;15;15;9;12;12;9;66;0;0;0;0;0
2020-05-31 13:00:00;70;13;27;8;9;11;9;87;3;0;0;0;0
2020-05-31 13:15:00;52;10;18;4;8;7;2;76;0;0;0;0;0
2020-05-31 13:30:00;95;8;18;6;6;5;9;86;0;0;0;0;0
2020-05-31 13:45:00;88;12;18;10;13;15;9;76;0;0;0;0;0
2020-05-31 14:00:00;95;15;18;11;18;19;6;82;0;0;0;0;0
2020-05-31 14:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-05-31 14:30:00;100;11;27;8;14;14;4;99;0;0;0;0;0
2020-05-31 14:45:00;100;23;26;12;10;8;3;85;0;0;0;0;0
2020-05-31 15:00:00;102;9;26;13;15;14;6;94;0;3;0;0;0
2020-05-31 15:15:00;87;11;16;7;12;13;11;69;0;3;0;0;0
2020-05-31 15:30:00;102;11;16;7;6;6;6;86;0;0;0;0;0
2020-05-31 15:45:00;92;13;17;4;11;10;4;73;0;1;0;0;0
2020-05-31 16:00:00;86;9;15;7;9;10;7;87;1;0;0;0;0
2020-05-31 16:15:00;90;10;15;8;11;11;8;71;0;0;0;0;0
2020-05-31 16:30:00;89;19;25;10;9;6;5;91;0;0;0;0;0
2020-05-31 16:45:00;103;15;15;5;10;10;8;92;0;0;0;0;0
2020-05-31 17:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-05-31 17:15:00;91;11;18;5;8;9;5;75;0;0;0;0;0
2020-05-31 17:30:00;105;22;26;11;10;13;2;75;0;0;0;0;0
2020-05-31 17:45:00;89;20;23;17;11;10;4;86;0;0;0;0;0
2020-05-31 18:00:00;119;20;30;11;17;19;11;101;0;1;0;0;0
2020-05-31 18:15:00;74;12;19;4;9;9;6;91;0;0;0;0;0
2020-05-31 18:30:00;100;23;34;12;10;10;7;104;0;1;0;0;0
2020-05-31 18:45:00;83;17;28;8;9;8;5;82;0;0;0;0;0
2020-05-31 19:00:00;84;19;27;11;8;8;6;114;0;0;0;0;0
2020-05-31 19:15:00;100;15;27;11;10;11;1;69;0;0;0;0;0
2020-05-31 19:30:00;82;19;28;6;14;12;9;77;2;0;0;0;0
2020-05-31 19:45:00;76;10;26;9;5;5;6;80;0;0;0;0;0
2020-05-31 20:00:00;73;14;26;10;6;8;3;80;0;0;0;0;0
2020-05-31 20:15:00;58;11;20;7;6;6;2;70;0;0;0;0;0
2020-05-31 20:30:00;55;11;23;8;6;5;5;62;0;0;0;0;0
2020-05-31 20:45:00;53;12;18;9;4;5;2;57;0;0;0;0;0
2020-05-31 21:00:00;62;11;23;10;5;5;4;81;0;0;0;0;0
2020-05-31 21:15:00;43;9;18;4;3;3;1;53;0;0;0;0;0
2020-05-31 21:30:00;47;8;11;5;2;2;5;58;0;0;0;0;0
2020-05-31 21:45:00;50;10;18;7;3;4;3;54;0;0;0;0;0
2020-05-31 22:00:00;37;4;19;2;4;3;4;55;0;0;0;0;0
2020-05-31 22:15:00;47;12;17;7;3;3;2;55;0;0;0;0;0
2020-05-31 22:30:00;36;7;9;4;4;3;1;49;0;0;0;0;0
2020-05-31 22:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-05-31 23:00:00;40;7;14;5;2;3;1;32;0;0;0;0;0
2020-05-31 23:15:00;28;7;10;6;0;0;1;22;0;0;0;0;0
2020-05-31 23:30:00;20;8;10;2;2;2;0;43;0;0;0;0;0
2020-05-31 23:45:00;24;4;5;3;1;1;0;21;0;0;0;0;0
