DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC3);7(DD12);8(TAFBB);9(TAFBC);10(TAFBD);11(TARDB);12(TARDD)
2020-06-18 00:00:00;14;18;16;1;0;5;0;0;0;0;0;0
2020-06-18 00:15:00;9;7;9;1;5;4;0;0;0;0;0;0
2020-06-18 00:30:00;15;15;14;0;0;4;0;0;0;0;0;0
2020-06-18 00:45:00;5;7;8;0;0;3;0;0;0;0;0;0
2020-06-18 01:00:00;11;6;3;0;0;1;0;0;0;0;0;0
2020-06-18 01:15:00;4;4;7;0;0;1;0;0;0;0;0;0
2020-06-18 01:30:00;8;5;5;0;0;1;0;0;0;0;0;0
2020-06-18 01:45:00;2;1;1;0;0;1;0;0;0;0;0;0
2020-06-18 02:00:00;5;2;6;0;0;2;0;0;0;0;0;0
2020-06-18 02:15:00;4;6;6;1;0;1;0;0;0;0;0;0
2020-06-18 02:30:00;4;4;4;0;0;1;0;0;0;0;0;0
2020-06-18 02:45:00;6;2;4;0;0;1;0;0;0;0;0;0
2020-06-18 03:00:00;4;4;4;0;0;0;0;0;0;0;0;0
2020-06-18 03:15:00;4;5;2;0;0;0;0;0;0;0;0;0
2020-06-18 03:30:00;3;4;5;0;0;1;0;0;0;0;0;0
2020-06-18 03:45:00;5;2;8;0;0;1;0;0;0;0;0;0
2020-06-18 04:00:00;6;9;7;0;0;1;0;0;0;0;0;0
2020-06-18 04:15:00;9;11;7;0;0;0;0;0;0;0;0;0
2020-06-18 04:30:00;8;8;5;0;0;2;0;0;0;0;0;0
2020-06-18 05:00:00;34;19;8;1;0;1;0;0;0;0;0;0
2020-06-18 05:15:00;58;26;19;1;0;5;0;0;0;0;0;0
2020-06-18 05:30:00;83;40;38;1;4;11;0;0;0;0;0;0
2020-06-18 05:45:00;81;48;48;3;4;19;0;0;0;0;0;0
2020-06-18 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-18 06:15:00;140;98;64;7;5;27;0;0;0;0;0;0
2020-06-18 06:30:00;179;104;94;17;11;33;0;0;0;0;0;0
2020-06-18 06:45:00;170;122;110;28;6;41;0;0;0;0;0;0
2020-06-18 07:00:00;181;161;115;47;7;39;1;0;6;0;0;0
2020-06-18 07:15:00;136;162;171;62;9;57;1;0;0;0;0;0
2020-06-18 07:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-18 07:45:00;129;180;211;35;10;74;1;0;0;0;0;0
2020-06-18 08:00:00;137;129;127;26;9;48;2;0;0;0;0;0
2020-06-18 08:15:00;147;107;135;33;6;54;1;0;0;1;0;0
2020-06-18 08:30:00;136;122;131;31;11;48;2;0;2;0;0;0
2020-06-18 08:45:00;119;116;125;19;5;55;0;0;0;0;0;0
2020-06-18 09:00:00;123;90;115;19;7;46;0;0;0;0;0;0
2020-06-18 09:15:00;130;98;87;31;6;39;0;0;1;1;0;0
2020-06-18 09:30:00;124;84;112;30;9;64;1;0;2;0;0;0
2020-06-18 09:45:00;131;118;130;14;3;49;1;0;0;0;0;0
2020-06-18 10:00:00;110;84;132;26;9;70;1;0;0;0;0;0
2020-06-18 10:15:00;141;109;133;19;7;65;1;0;0;0;0;0
