DATUM;1(DA1);2(DA2);3(DB1);4(DD1);5(DD2);6(DE1);7(DC1);8(DC2);9(DF2);10(DF1)
2019-11-07 00:00:00;8;2;0;2;7;0;6;3;2;6
2019-11-07 00:15:00;16;7;1;5;13;3;15;7;10;15
2019-11-07 00:30:00;5;5;0;6;7;1;7;4;4;3
2019-11-07 00:45:00;3;3;0;3;4;0;4;3;2;3
2019-11-07 01:00:00;7;3;1;9;4;4;4;6;6;7
2019-11-07 01:15:00;1;2;0;8;3;2;5;7;2;1
2019-11-07 01:30:00;3;2;1;4;1;1;2;4;3;3
2019-11-07 01:45:00;2;1;0;3;2;1;3;4;1;2
2019-11-07 02:00:00;3;1;0;2;3;0;3;1;1;3
2019-11-07 02:15:00;5;4;0;3;2;1;4;3;4;3
2019-11-07 02:30:00;1;3;0;3;3;0;3;1;3;1
2019-11-07 02:45:00;5;0;4;3;4;0;3;3;2;6
2019-11-07 03:00:00;4;4;1;3;1;3;2;3;3;2
2019-11-07 03:15:00;1;2;0;2;1;0;2;1;2;0
2019-11-07 03:30:00;1;0;1;2;2;0;3;2;0;1
2019-11-07 03:45:00;4;4;0;3;0;1;0;2;3;3
2019-11-07 04:00:00;3;2;1;1;2;0;2;1;2;2
2019-11-07 04:15:00;8;3;4;5;1;0;1;5;5;8
2019-11-07 04:30:00;7;1;1;4;7;3;8;3;2;7
2019-11-07 04:45:00;12;7;0;15;18;4;20;13;8;11
2019-11-07 05:00:00;15;11;2;15;20;5;23;13;12;13
2019-11-07 05:15:00;26;20;4;29;46;11;54;27;25;23
2019-11-07 05:30:00;35;13;0;46;67;18;76;51;21;30
2019-11-07 05:45:00;48;31;4;61;79;18;84;64;33;42
2019-11-07 06:00:00;45;33;5;46;64;13;64;41;39;40
2019-11-07 06:15:00;57;41;7;115;100;31;112;114;42;50
2019-11-07 06:30:00;48;39;6;142;138;24;144;149;43;47
2019-11-07 06:45:00;66;46;3;167;150;23;157;157;43;61
2019-11-07 07:00:00;65;42;12;204;154;21;165;201;52;46
2019-11-07 07:15:00;65;44;15;202;181;27;189;196;50;54
2019-11-07 07:30:00;72;37;21;153;128;36;138;137;46;71
2019-11-07 07:45:00;93;74;25;139;132;47;131;155;78;83
2019-11-07 08:00:00;78;59;23;123;138;31;144;128;64;63
2019-11-07 08:15:00;87;56;17;127;132;30;141;115;61;75
2019-11-07 08:30:00;67;45;12;133;143;29;150;132;40;56
2019-11-07 08:45:00;63;59;8;97;100;18;104;97;52;56
2019-11-07 09:00:00;57;55;19;71;93;32;91;79;60;51
2019-11-07 09:15:00;63;40;14;75;79;21;83;76;45;55
2019-11-07 09:30:00;63;46;14;90;108;22;109;83;49;50
2019-11-07 09:45:00;68;64;18;71;83;21;91;69;62;65
2019-11-07 10:00:00;62;51;21;68;88;30;98;59;55;54
2019-11-07 10:15:00;72;60;19;74;71;24;79;59;60;56
2019-11-07 10:30:00;66;67;18;77;82;23;87;73;57;59
2019-11-07 10:45:00;59;42;13;68;71;19;81;64;45;48
2019-11-07 11:00:00;73;64;22;80;88;18;88;64;57;69
2019-11-07 11:15:00;84;69;17;85;82;23;88;78;78;74
2019-11-07 11:30:00;67;56;17;60;77;19;81;57;64;54
2019-11-07 11:45:00;89;66;32;81;94;17;95;77;72;74
2019-11-07 12:00:00;65;67;19;72;95;20;93;78;73;69
2019-11-07 12:15:00;92;87;25;80;89;19;92;63;90;91
2019-11-07 12:30:00;83;81;16;60;80;15;82;47;85;70
2019-11-07 12:45:00;87;78;27;74;93;21;106;73;88;85
2019-11-07 13:00:00;105;105;14;77;77;23;76;65;103;100
2019-11-07 13:15:00;111;100;17;74;97;24;95;73;109;106
2019-11-07 13:30:00;103;81;18;81;88;19;93;69;87;91
2019-11-07 13:45:00;102;90;15;70;85;22;95;60;93;87
