DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DC1);8(DC2);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC)
2020-07-25 00:00:00;34;9;13;6;1;2;2;52;0;0;0;0;0
2020-07-25 00:15:00;37;9;14;6;0;0;2;59;0;0;0;0;0
2020-07-25 00:30:00;32;9;15;3;1;1;0;48;0;0;0;0;0
2020-07-25 00:45:00;27;5;8;5;0;0;1;36;0;0;0;0;0
2020-07-25 01:00:00;24;4;8;3;0;0;2;22;0;0;0;0;0
2020-07-25 01:15:00;23;5;8;3;0;0;1;29;0;0;0;0;0
2020-07-25 01:30:00;20;5;14;5;2;2;1;25;0;0;0;0;0
2020-07-25 01:45:00;15;7;5;3;4;4;1;15;0;0;0;0;0
2020-07-25 02:00:00;23;5;8;5;0;0;2;17;0;0;0;0;0
2020-07-25 02:15:00;22;4;5;2;2;2;0;14;0;0;0;0;0
2020-07-25 02:30:00;17;6;9;4;1;1;1;18;0;0;0;0;0
2020-07-25 02:45:00;9;3;3;1;0;0;1;6;0;0;0;0;0
2020-07-25 03:00:00;10;1;2;1;0;0;1;6;0;0;0;0;0
2020-07-25 03:15:00;12;1;2;1;0;0;0;6;0;0;0;0;0
2020-07-25 03:30:00;7;3;6;1;0;0;1;4;0;0;0;0;0
2020-07-25 03:45:00;5;2;2;0;0;0;3;5;0;0;0;0;0
2020-07-25 04:00:00;8;5;4;4;0;0;0;12;0;0;0;0;0
2020-07-25 04:15:00;8;2;1;1;0;0;0;4;0;0;0;0;0
2020-07-25 04:30:00;5;3;4;4;3;3;0;6;0;0;0;0;0
2020-07-25 04:45:00;10;4;6;3;1;1;0;7;0;0;0;0;0
2020-07-25 05:00:00;13;4;4;3;3;2;1;10;0;0;0;0;0
2020-07-25 05:15:00;14;3;2;2;2;2;0;9;0;0;0;0;0
2020-07-25 05:30:00;20;7;10;2;1;1;4;33;0;0;0;0;0
2020-07-25 05:45:00;35;9;9;3;2;1;2;26;0;0;0;0;0
2020-07-25 06:00:00;40;5;7;3;2;2;1;25;0;0;0;0;0
2020-07-25 06:15:00;34;7;9;5;5;5;0;23;0;0;0;0;0
2020-07-25 06:30:00;34;4;5;3;2;2;1;29;0;0;0;0;0
2020-07-25 06:45:00;48;10;19;10;4;3;3;40;0;0;0;0;0
