DATUM;1(DA1);2(DB1);3(DB2);4(DC1);5(DC2);9(TAFGB1);10(TAFGB2);11(TARDD);12(TAFBA);13(TAFBB);14(TAFGE);15(TAFBE)
2020-04-17 20:45:00;5;18;22;23;17;4;4;0;0;12;1;0
2020-04-17 21:00:00;6;18;18;23;20;4;0;0;0;4;1;3
2020-04-17 21:15:00;2;23;19;22;6;0;0;0;0;0;2;1
2020-04-17 21:30:00;2;9;15;15;7;0;0;0;0;0;0;0
2020-04-17 21:45:00;1;12;17;17;9;1;1;0;0;1;0;0
2020-04-17 22:00:00;0;15;12;15;10;0;0;0;0;0;0;0
2020-04-17 22:15:00;3;9;11;9;6;0;0;0;0;0;0;0
2020-04-17 22:30:00;3;12;13;8;4;1;0;0;0;0;1;4
2020-04-17 22:45:00;1;9;8;9;7;0;0;0;0;0;0;0
2020-04-17 23:00:00;2;8;6;6;8;0;0;0;0;0;0;0
2020-04-17 23:15:00;1;7;10;15;5;0;0;0;0;0;0;0
2020-04-17 23:30:00;1;5;4;6;0;0;0;0;0;0;0;0
2020-04-17 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
