DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DF1);8(DH1);9(DH2);10(DH3);11(DH4)
2019-08-27 00:00:00;0;2;0;4;9;37;5;3;4;2;1
2019-08-27 00:15:00;1;2;0;7;6;86;3;11;8;0;0
2019-08-27 00:30:00;1;0;0;6;11;62;1;5;5;0;0
2019-08-27 00:45:00;1;3;0;8;6;94;2;4;3;0;0
2019-08-27 01:00:00;0;0;1;3;3;2;0;5;3;1;0
2019-08-27 01:15:00;0;0;0;8;6;328;2;4;3;1;1
2019-08-27 01:30:00;0;2;0;1;4;188;4;3;2;1;1
2019-08-27 01:45:00;0;0;0;3;0;79;0;2;2;1;1
2019-08-27 02:00:00;2;1;0;2;2;37;1;1;2;0;0
2019-08-27 02:15:00;1;1;0;3;2;12;1;1;1;0;0
2019-08-27 02:30:00;0;1;0;5;0;21;0;2;3;1;1
2019-08-27 02:45:00;0;1;0;4;0;14;0;2;3;1;1
2019-08-27 03:00:00;1;0;0;2;4;6;2;4;6;1;2
2019-08-27 03:15:00;0;1;1;2;1;13;2;2;0;0;0
2019-08-27 03:30:00;0;0;0;1;2;61;0;2;2;0;0
2019-08-27 03:45:00;0;2;0;1;1;44;0;4;2;0;0
2019-08-27 04:00:00;1;0;0;4;0;16;0;3;1;0;0
2019-08-27 04:15:00;0;1;0;8;5;7;2;5;5;2;2
2019-08-27 04:30:00;0;1;0;3;4;8;1;8;5;1;1
2019-08-27 04:45:00;0;0;0;8;3;59;3;13;10;4;3
2019-08-27 05:00:00;1;5;0;9;8;16;1;10;8;2;2
2019-08-27 05:15:00;1;6;2;19;8;22;3;30;22;9;7
2019-08-27 05:30:00;2;9;0;19;14;21;5;38;43;15;15
2019-08-27 05:45:00;7;15;4;33;21;32;8;61;82;25;26
2019-08-27 06:00:00;2;15;4;34;21;36;8;47;43;10;8
2019-08-27 06:15:00;5;22;1;48;26;8;10;68;71;19;11
2019-08-27 06:30:00;2;34;3;46;44;18;11;95;85;11;8
2019-08-27 06:45:00;10;25;6;47;32;7;19;91;104;25;18
2019-08-27 07:00:00;2;28;4;49;29;6;15;101;113;18;15
2019-08-27 07:15:00;7;29;6;62;43;12;26;78;80;16;8
2019-08-27 07:30:00;5;23;5;58;35;8;30;90;86;19;15
2019-08-27 07:45:00;6;34;4;73;37;23;32;98;122;29;27
2019-08-27 08:00:00;3;33;5;71;43;17;19;83;77;20;17
2019-08-27 08:15:00;17;33;7;65;53;18;14;81;96;17;15
2019-08-27 08:30:00;7;20;3;76;46;22;29;74;67;12;11
2019-08-27 08:45:00;10;29;4;79;58;52;20;70;64;11;8
2019-08-27 09:00:00;5;32;8;76;60;14;18;67;66;12;10
2019-08-27 09:15:00;8;19;4;71;57;27;28;62;59;7;7
2019-08-27 09:30:00;8;23;5;56;50;28;27;68;67;5;5
2019-08-27 09:45:00;4;20;4;69;54;11;26;66;67;6;5
2019-08-27 10:00:00;8;27;3;61;51;12;30;67;60;9;5
2019-08-27 10:15:00;7;17;6;87;49;12;32;55;50;11;8
2019-08-27 10:30:00;6;38;2;72;41;13;25;64;51;9;7
2019-08-27 10:45:00;13;15;6;71;46;10;24;70;61;9;5
2019-08-27 11:00:00;19;24;5;86;64;13;22;59;52;4;2
2019-08-27 11:15:00;9;28;7;76;51;12;28;66;46;8;6
2019-08-27 11:30:00;6;24;7;82;61;34;23;58;54;8;7
2019-08-27 11:45:00;10;26;4;93;66;17;32;62;62;13;12
2019-08-27 12:00:00;8;25;4;86;62;9;27;69;49;7;7
2019-08-27 12:15:00;7;14;4;90;68;15;21;66;49;7;6
2019-08-27 12:30:00;12;18;5;83;54;10;30;63;55;14;11
2019-08-27 12:45:00;9;17;4;89;57;17;41;50;52;7;5
2019-08-27 13:00:00;11;26;7;78;50;10;32;50;45;10;10
2019-08-27 13:15:00;8;18;4;69;48;14;16;57;50;11;9
2019-08-27 13:30:00;9;29;2;80;57;14;27;73;55;8;4
2019-08-27 13:45:00;11;20;4;81;65;10;27;71;53;10;6
2019-08-27 14:00:00;10;16;3;100;66;8;23;63;70;22;22
2019-08-27 14:15:00;9;18;2;111;71;16;29;56;49;11;9
2019-08-27 14:30:00;10;23;6;126;79;20;25;60;60;12;9
2019-08-27 14:45:00;8;26;6;89;62;75;30;67;54;11;9
2019-08-27 15:00:00;12;26;5;100;86;42;30;49;48;12;10
2019-08-27 15:15:00;8;23;4;131;102;18;25;65;72;14;6
2019-08-27 15:30:00;8;21;3;122;95;45;34;64;56;11;11
2019-08-27 15:45:00;12;24;5;115;84;75;28;65;65;8;7
2019-08-27 16:00:00;20;32;4;124;103;17;40;75;69;10;10
2019-08-27 16:15:00;6;23;3;143;119;18;32;56;52;10;8
2019-08-27 16:30:00;10;24;3;134;121;21;46;66;72;17;15
2019-08-27 16:45:00;11;22;4;126;88;14;35;91;82;19;17
2019-08-27 17:00:00;10;25;4;126;122;24;29;69;78;11;11
2019-08-27 17:15:00;18;21;1;125;106;16;31;61;65;16;17
2019-08-27 17:30:00;9;20;5;98;98;30;42;72;70;26;22
2019-08-27 17:45:00;14;52;3;103;74;20;25;68;59;15;11
2019-08-27 18:00:00;14;27;2;100;75;8;36;73;80;13;13
2019-08-27 18:15:00;22;24;4;93;78;13;43;61;53;10;8
2019-08-27 18:30:00;4;17;7;74;58;49;17;50;52;8;7
2019-08-27 18:45:00;9;20;3;79;53;9;21;52;49;7;3
2019-08-27 19:00:00;4;13;5;70;58;38;33;58;48;7;7
2019-08-27 19:15:00;6;8;2;50;42;10;18;40;43;6;6
2019-08-27 19:30:00;13;11;1;44;22;13;16;36;37;6;6
2019-08-27 19:45:00;8;8;2;50;35;5;21;35;37;8;6
2019-08-27 20:00:00;5;11;4;52;38;9;19;50;54;6;4
2019-08-27 20:15:00;2;9;1;47;41;11;15;39;42;5;4
2019-08-27 20:30:00;5;11;3;48;38;36;10;25;21;4;3
2019-08-27 20:45:00;0;4;4;36;33;5;25;33;27;8;7
2019-08-27 21:00:00;5;12;4;45;44;12;22;31;31;2;2
2019-08-27 21:15:00;4;5;1;37;24;176;13;25;27;2;1
2019-08-27 21:30:00;2;3;0;35;31;74;14;29;26;2;1
2019-08-27 21:45:00;5;4;1;32;28;132;12;20;17;4;4
2019-08-27 22:00:00;0;5;4;33;34;61;14;21;14;2;1
2019-08-27 22:15:00;2;5;0;40;28;30;18;18;13;1;1
2019-08-27 22:30:00;2;5;10;25;26;175;10;16;13;2;2
2019-08-27 22:45:00;3;7;2;22;23;110;10;20;10;4;2
2019-08-27 23:00:00;3;4;2;19;13;38;8;11;9;3;4
2019-08-27 23:15:00;2;2;1;14;14;12;5;9;14;3;3
2019-08-27 23:30:00;1;3;0;15;9;89;8;8;4;1;1
2019-08-27 23:45:00;2;2;1;7;9;6;4;9;14;2;0
