DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DD3)
2019-12-07 00:00:00;0;14;12;4;7;16;5;16;6;1;13;16;11
2019-12-07 00:15:00;0;23;20;2;7;13;3;18;15;3;14;18;11
2019-12-07 00:30:00;0;22;9;3;13;22;6;10;7;0;13;13;6
2019-12-07 00:45:00;0;10;14;0;1;9;0;18;9;2;9;6;5
2019-12-07 01:00:00;0;14;9;2;5;12;3;13;6;2;12;11;4
2019-12-07 01:15:00;0;17;12;2;5;13;2;12;5;1;9;5;8
2019-12-07 01:30:00;0;14;10;1;6;5;2;12;4;1;8;9;4
2019-12-07 01:45:00;0;16;9;2;5;10;3;11;6;0;7;5;5
2019-12-07 02:00:00;0;11;10;1;2;11;2;8;4;1;8;11;6
2019-12-07 02:15:00;0;11;8;2;6;13;0;5;1;1;5;12;9
2019-12-07 02:30:00;0;17;5;1;4;8;2;5;2;4;4;3;2
2019-12-07 02:45:00;0;6;5;0;3;5;2;4;3;2;6;4;2
2019-12-07 03:00:00;0;9;7;2;3;5;1;2;1;0;5;2;3
2019-12-07 03:15:00;0;9;7;3;3;5;2;8;3;1;5;6;3
2019-12-07 03:30:00;0;6;3;0;3;7;0;6;2;1;5;7;2
2019-12-07 03:45:00;0;5;6;1;2;8;3;5;0;0;2;5;3
2019-12-07 04:00:00;0;7;5;1;2;7;0;1;0;1;6;5;4
2019-12-07 04:15:00;0;6;7;0;1;3;2;5;1;0;2;2;1
2019-12-07 04:30:00;0;6;6;1;1;7;1;6;4;0;9;11;0
2019-12-07 04:45:00;0;7;4;0;3;6;1;5;3;0;10;6;5
2019-12-07 05:00:00;0;5;24;1;5;8;4;6;3;0;14;15;6
2019-12-07 05:15:00;0;7;4;0;2;10;4;13;6;1;17;13;8
2019-12-07 05:30:00;0;18;9;1;14;33;4;19;10;2;15;18;10
2019-12-07 05:45:00;0;14;9;3;22;71;9;20;7;2;16;14;14
2019-12-07 06:00:00;0;21;10;4;29;61;22;18;10;3;13;13;9
2019-12-07 06:15:00;0;15;11;2;14;45;15;19;11;8;16;7;10
2019-12-07 06:30:00;0;9;8;3;11;25;8;21;9;3;18;14;10
2019-12-07 06:45:00;0;16;10;1;18;26;13;16;11;1;25;16;12
2019-12-07 07:00:00;0;18;16;0;12;18;6;18;9;0;17;12;14
2019-12-07 07:15:00;0;20;6;3;11;23;7;19;10;2;12;8;6
2019-12-07 07:30:00;0;30;22;5;15;26;10;29;25;2;19;12;12
2019-12-07 07:45:00;0;22;10;2;17;19;7;40;38;4;22;12;24
2019-12-07 08:00:00;0;23;35;2;15;23;9;26;37;4;23;17;13
2019-12-07 08:15:00;0;24;12;3;17;28;8;36;26;6;15;17;14
2019-12-07 08:30:00;0;23;23;4;27;40;14;35;33;2;32;26;26
2019-12-07 08:45:00;0;23;18;13;33;39;17;35;30;5;22;26;22
2019-12-07 09:00:00;0;34;14;6;27;32;14;57;43;9;42;32;27
2019-12-07 09:15:00;0;41;29;2;34;36;11;61;50;6;43;40;31
2019-12-07 09:30:00;0;39;26;12;34;53;18;42;37;9;50;39;26
2019-12-07 09:45:00;0;43;34;8;53;56;21;65;33;11;54;44;31
2019-12-07 10:00:00;0;48;40;10;46;61;28;65;50;7;56;53;36
2019-12-07 10:15:00;0;55;47;6;44;57;23;69;50;14;53;41;42
