DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGA);8(TAFBA);9(TAFBB);10(TAFGC);11(TAFBC);12(TAFBDRES)
2020-07-24 00:00:00;1;1;0;0;0;0;0;0;0;0;0;0
2020-07-24 00:15:00;0;0;0;0;0;1;0;0;0;0;0;0
2020-07-24 00:30:00;3;2;0;2;1;0;0;0;0;0;0;0
2020-07-24 00:45:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-24 01:00:00;2;1;0;1;0;0;0;0;0;0;0;0
2020-07-24 01:15:00;1;1;0;0;2;1;0;0;0;0;0;0
2020-07-24 01:30:00;1;1;0;1;0;0;0;0;0;0;0;0
2020-07-24 01:45:00;0;0;0;0;1;0;0;0;0;0;0;0
2020-07-24 02:00:00;1;3;0;2;5;0;0;0;0;0;0;0
2020-07-24 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-24 02:30:00;0;1;0;1;2;1;0;0;0;0;0;0
2020-07-24 02:45:00;1;1;0;1;2;0;0;0;0;0;0;0
2020-07-24 03:00:00;1;1;0;0;0;0;0;0;0;0;0;0
2020-07-24 03:15:00;1;2;0;0;3;0;0;0;0;0;0;0
2020-07-24 03:30:00;2;2;0;1;1;0;0;0;0;0;0;0
2020-07-24 03:45:00;2;3;1;1;0;0;0;0;0;0;0;0
2020-07-24 04:00:00;4;2;0;0;1;0;0;0;0;0;0;0
2020-07-24 04:15:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-24 04:30:00;1;2;1;3;3;0;0;0;0;0;0;0
2020-07-24 04:45:00;1;2;0;1;0;1;0;0;0;0;0;0
2020-07-24 05:00:00;2;2;0;4;5;0;0;0;0;0;0;0
2020-07-24 05:15:00;0;0;1;2;4;0;0;0;0;0;0;0
2020-07-24 05:30:00;1;3;1;16;9;1;0;0;0;0;0;0
2020-07-24 05:45:00;5;3;0;12;11;1;0;0;0;0;0;0
2020-07-24 06:00:00;0;1;0;12;16;2;0;0;0;0;0;0
2020-07-24 06:15:00;5;8;0;20;14;2;0;0;0;0;0;0
2020-07-24 06:30:00;7;2;1;37;26;5;0;0;0;0;0;0
2020-07-24 06:45:00;5;10;0;58;48;4;1;0;0;1;0;0
2020-07-24 07:00:00;7;10;0;50;30;1;0;0;0;0;0;0
2020-07-24 07:15:00;8;9;2;33;20;5;1;0;0;0;0;0
2020-07-24 07:30:00;12;13;2;45;34;0;2;0;0;1;0;0
2020-07-24 07:45:00;18;15;1;61;44;7;0;0;0;0;0;0
2020-07-24 08:00:00;21;30;2;45;29;7;1;0;0;0;0;0
2020-07-24 08:15:00;20;27;1;58;28;7;3;0;0;1;10;0
2020-07-24 08:30:00;20;21;1;53;30;2;0;0;0;2;0;0
2020-07-24 08:45:00;20;21;3;63;28;7;1;0;0;2;0;0
