DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DD1);7(DE1);8(DE2);9(TAFBC);10(TAFGDE);11(TAFBDE);12(DC3);13(TARDB);14(TARDC);15(TARDD)
2019-09-17 00:00:00;12;10;2;0;0;0;25;22;0;0;0;1;0;0;0
2019-09-17 00:15:00;20;12;2;0;0;0;15;13;0;0;0;1;0;0;0
2019-09-17 00:30:00;12;9;0;1;0;0;16;17;0;0;0;1;0;0;0
2019-09-17 00:45:00;9;11;1;0;0;0;14;12;0;0;0;1;0;0;0
2019-09-17 01:00:00;7;5;0;0;0;0;7;7;0;0;0;0;0;0;0
2019-09-17 01:15:00;4;1;0;0;0;0;13;13;0;0;0;0;0;0;0
2019-09-17 01:30:00;10;2;2;0;0;0;8;7;0;0;0;0;0;0;0
2019-09-17 01:45:00;6;1;1;0;0;0;10;9;0;0;0;0;0;0;0
2019-09-17 02:00:00;6;5;0;0;2;0;11;9;0;0;0;2;0;0;0
2019-09-17 02:15:00;6;1;1;0;0;0;13;11;0;0;0;0;0;0;0
2019-09-17 02:30:00;11;8;3;0;0;0;15;11;0;0;0;0;0;0;0
2019-09-17 02:45:00;3;8;1;0;0;0;6;6;0;0;0;0;0;0;0
2019-09-17 03:00:00;3;2;1;0;0;0;8;7;0;0;0;0;0;0;0
2019-09-17 03:15:00;9;5;0;0;0;0;5;5;0;0;0;0;0;0;0
2019-09-17 03:30:00;3;8;3;0;0;0;9;9;0;0;0;0;0;0;0
2019-09-17 03:45:00;5;2;0;0;0;0;8;7;0;0;0;0;0;0;0
2019-09-17 04:00:00;13;4;0;0;0;0;15;13;0;0;0;0;0;0;0
2019-09-17 04:15:00;12;11;1;0;1;0;21;18;0;0;0;1;0;0;0
2019-09-17 04:30:00;20;16;1;0;0;2;26;27;0;0;0;0;0;0;0
2019-09-17 04:45:00;31;24;0;0;0;0;25;24;0;0;0;0;0;0;0
2019-09-17 05:00:00;56;49;3;0;1;0;40;43;0;0;0;2;0;0;0
2019-09-17 05:15:00;132;68;0;2;0;1;62;69;0;0;0;0;0;0;0
2019-09-17 05:30:00;109;67;0;1;4;0;51;52;0;0;0;4;0;0;0
2019-09-17 05:45:00;109;67;4;0;0;1;50;70;0;0;0;2;0;0;0
2019-09-17 06:00:00;115;59;0;0;5;2;52;93;0;0;0;4;0;0;4
2019-09-17 06:15:00;133;76;0;0;1;0;48;96;0;0;0;1;0;0;0
2019-09-17 06:30:00;155;94;0;2;3;1;37;140;0;0;0;4;3;0;0
2019-09-17 06:45:00;134;119;3;1;5;1;74;134;0;0;0;6;0;0;0
2019-09-17 07:00:00;93;126;8;0;7;3;33;169;0;0;0;7;0;0;0
2019-09-17 07:15:00;99;131;13;2;9;5;48;200;0;0;0;11;0;0;1
2019-09-17 07:30:00;15;30;4;2;32;4;46;203;0;0;0;10;0;0;3
2019-09-17 07:45:00;12;26;3;7;13;5;52;204;0;0;0;15;0;0;0
2019-09-17 08:00:00;16;17;12;4;14;5;58;199;1;0;0;15;0;0;0
2019-09-17 08:15:00;94;100;5;1;13;6;57;182;0;0;0;16;3;0;0
2019-09-17 08:30:00;95;116;8;0;8;3;63;161;0;0;0;10;0;0;0
2019-09-17 08:45:00;96;114;2;1;13;5;54;194;0;0;0;12;9;0;2
2019-09-17 09:00:00;81;106;6;2;7;5;69;138;0;0;0;7;3;0;0
2019-09-17 09:15:00;94;101;3;3;6;3;61;177;0;0;0;7;0;0;3
2019-09-17 09:30:00;95;132;7;1;5;5;82;161;0;0;0;4;1;0;0
2019-09-17 09:45:00;82;128;4;0;5;0;82;180;0;0;0;7;0;0;0
2019-09-17 10:00:00;84;101;6;1;3;1;80;190;0;0;0;3;0;0;0
2019-09-17 10:15:00;93;111;16;4;1;1;64;188;0;0;0;2;2;0;0
2019-09-17 10:30:00;85;114;6;1;3;4;70;207;0;0;0;6;0;0;3
2019-09-17 10:45:00;109;111;4;0;3;3;71;179;0;0;0;3;0;0;0
2019-09-17 11:00:00;67;82;10;1;4;3;59;198;0;0;0;6;0;0;0
2019-09-17 11:15:00;65;75;8;1;6;4;73;184;0;0;0;11;0;0;11
2019-09-17 11:30:00;77;105;23;0;12;6;73;180;0;0;0;12;0;0;0
2019-09-17 11:45:00;77;89;7;1;8;1;54;186;0;0;0;11;3;0;1
2019-09-17 12:00:00;74;83;7;1;14;2;47;183;0;0;0;15;9;0;0
2019-09-17 12:15:00;80;101;10;1;6;4;58;185;0;0;0;9;0;0;0
2019-09-17 12:30:00;67;100;8;1;12;4;62;180;0;0;0;12;0;0;2
2019-09-17 12:45:00;88;90;4;1;9;3;70;217;0;0;0;9;0;2;1
2019-09-17 13:00:00;94;114;5;1;12;6;87;216;0;0;0;14;0;0;2
2019-09-17 13:15:00;120;117;12;1;7;6;62;223;0;0;0;7;0;0;2
2019-09-17 13:30:00;111;120;2;1;9;2;83;191;0;0;0;11;0;0;3
2019-09-17 13:45:00;88;111;5;0;7;4;53;217;0;0;0;9;0;0;2
2019-09-17 14:00:00;84;111;12;0;13;2;62;208;0;0;0;14;0;1;5
2019-09-17 14:15:00;72;102;12;1;15;4;38;221;0;0;0;15;0;0;1
2019-09-17 14:30:00;91;106;11;2;9;4;39;223;0;0;0;13;0;0;3
2019-09-17 14:45:00;87;106;4;0;10;2;58;236;0;0;0;11;0;7;2
2019-09-17 15:00:00;94;115;10;2;22;5;38;230;2;0;0;23;0;0;4
2019-09-17 15:15:00;102;116;5;0;16;3;34;180;0;0;0;17;0;0;2
2019-09-17 15:30:00;109;143;12;2;25;4;42;185;0;0;0;27;0;0;1
2019-09-17 15:45:00;113;145;4;2;11;2;56;233;0;0;0;11;0;2;0
2019-09-17 16:00:00;88;131;1;2;11;2;40;235;0;0;0;13;1;1;2
2019-09-17 16:15:00;99;134;11;0;11;6;28;211;0;0;0;12;0;0;4
2019-09-17 16:30:00;99;128;4;2;18;4;34;214;0;0;0;17;0;0;3
2019-09-17 16:45:00;98;148;3;1;32;4;32;211;18;0;0;28;1;0;0
2019-09-17 17:00:00;125;123;8;1;15;5;50;207;0;0;0;15;0;0;5
2019-09-17 17:15:00;123;141;11;2;14;7;55;222;0;0;0;14;0;0;0
2019-09-17 17:30:00;140;132;7;2;19;8;33;219;0;0;0;20;0;0;6
2019-09-17 17:45:00;118;140;8;0;16;4;36;225;0;0;0;17;0;0;2
2019-09-17 18:00:00;92;123;3;2;6;4;39;248;0;0;0;11;1;0;2
2019-09-17 18:15:00;104;137;4;0;9;8;48;224;0;0;0;9;0;0;2
2019-09-17 18:30:00;108;127;7;2;9;8;50;220;0;0;0;12;0;0;0
2019-09-17 18:45:00;93;114;5;4;12;2;46;200;0;0;0;13;0;0;3
2019-09-17 19:00:00;90;91;9;1;6;6;45;163;0;0;0;7;0;0;0
2019-09-17 19:15:00;70;93;5;1;6;3;36;183;0;0;0;6;0;0;1
2019-09-17 19:30:00;94;69;9;1;4;0;54;173;0;0;0;4;0;0;4
2019-09-17 19:45:00;97;65;5;0;6;2;45;126;0;0;0;6;0;0;2
2019-09-17 20:00:00;92;60;2;1;4;3;50;115;0;0;0;5;0;0;0
2019-09-17 20:15:00;89;52;3;1;3;0;48;109;0;0;0;4;1;0;0
2019-09-17 20:30:00;68;37;5;1;1;3;34;77;0;0;0;2;0;0;0
2019-09-17 20:45:00;90;40;8;0;0;1;59;82;0;0;0;1;0;0;2
2019-09-17 21:00:00;84;52;6;0;3;1;56;88;0;0;0;3;0;0;0
2019-09-17 21:15:00;95;52;2;0;0;0;58;86;0;0;0;0;0;0;0
2019-09-17 21:30:00;70;55;3;1;0;2;48;80;0;0;0;0;1;0;0
2019-09-17 21:45:00;44;31;3;2;2;0;62;96;0;0;0;2;0;0;0
2019-09-17 22:00:00;51;28;3;0;2;3;54;98;0;0;0;2;0;0;1
2019-09-17 22:15:00;36;27;1;0;2;1;46;85;0;0;0;2;0;0;0
2019-09-17 22:30:00;44;27;4;0;1;0;46;55;0;0;0;2;0;0;0
2019-09-17 22:45:00;34;27;4;0;2;0;39;47;0;0;0;1;0;0;0
2019-09-17 23:00:00;32;19;1;0;0;0;38;37;0;0;0;0;0;0;0
2019-09-17 23:15:00;26;14;2;0;1;0;28;26;0;0;0;1;0;0;0
2019-09-17 23:30:00;19;7;1;0;0;0;27;27;0;0;0;0;0;0;0
2019-09-17 23:45:00;21;15;0;0;0;0;20;18;0;0;0;0;0;0;0
