DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(TAFGC)
2020-07-24 00:00:00;5;2;2;0;0;3;2;3;0;0;0
2020-07-24 00:15:00;5;1;1;0;2;9;3;9;4;5;0
2020-07-24 00:30:00;3;0;0;0;0;7;3;7;1;3;0
2020-07-24 00:45:00;2;1;1;0;0;7;0;7;1;1;0
2020-07-24 01:00:00;8;3;3;0;0;10;2;10;0;0;0
2020-07-24 01:15:00;2;1;1;0;0;6;1;6;0;1;0
2020-07-24 01:30:00;4;1;1;0;0;1;1;1;1;1;0
2020-07-24 01:45:00;2;0;0;0;0;3;3;3;1;3;0
2020-07-24 02:00:00;5;6;7;0;0;6;3;6;0;0;0
2020-07-24 02:15:00;3;1;1;0;0;6;3;6;1;2;0
2020-07-24 02:30:00;5;2;3;0;0;5;4;5;1;4;0
2020-07-24 02:45:00;2;0;0;0;1;4;1;4;1;1;0
2020-07-24 03:00:00;2;1;0;0;0;8;3;8;1;2;0
2020-07-24 03:15:00;5;2;0;0;0;3;4;3;2;3;0
2020-07-24 03:30:00;6;3;1;0;0;5;7;5;0;5;0
2020-07-24 03:45:00;8;5;3;0;0;3;6;3;1;3;0
2020-07-24 04:00:00;10;6;7;0;0;9;9;9;1;7;0
2020-07-24 04:15:00;12;6;5;0;0;4;5;4;2;4;0
2020-07-24 04:30:00;13;4;5;0;0;8;7;8;2;1;0
2020-07-24 04:45:00;21;4;1;0;0;8;7;8;2;4;0
2020-07-24 05:00:00;31;5;3;0;0;22;3;22;3;4;0
2020-07-24 05:15:00;36;2;1;0;0;21;7;21;3;2;0
2020-07-24 05:30:00;79;5;4;0;2;39;8;39;1;5;0
2020-07-24 05:45:00;60;3;2;0;0;34;15;34;4;7;0
2020-07-24 06:00:00;69;3;1;0;0;70;22;70;9;10;0
2020-07-24 06:15:00;89;5;1;0;0;65;15;65;14;13;0
2020-07-24 06:30:00;120;7;2;0;1;82;16;82;12;7;0
2020-07-24 06:45:00;151;6;2;0;5;59;18;59;10;6;0
2020-07-24 07:00:00;129;2;2;0;4;55;8;55;9;2;0
2020-07-24 07:15:00;147;2;0;1;0;57;19;56;11;2;0
2020-07-24 07:30:00;160;3;0;0;1;73;19;73;7;7;1
2020-07-24 07:45:00;129;6;2;0;0;72;17;73;13;4;0
2020-07-24 08:00:00;111;6;2;0;2;53;29;52;16;7;1
2020-07-24 08:15:00;109;1;1;0;2;63;23;66;14;13;0
2020-07-24 08:30:00;127;5;3;0;3;68;23;67;19;11;0
2020-07-24 08:45:00;92;2;3;1;1;63;32;64;25;9;1
2020-07-24 09:00:00;87;0;1;0;3;66;25;66;30;9;3
2020-07-24 09:15:00;104;6;9;0;0;76;29;77;34;10;0
2020-07-24 09:30:00;107;3;0;0;1;78;33;77;38;14;0
2020-07-24 09:45:00;101;4;2;1;1;78;39;78;36;13;9
2020-07-24 10:00:00;126;4;3;1;0;81;32;81;33;7;0
2020-07-24 10:15:00;87;3;1;0;2;86;33;87;16;12;1
2020-07-24 10:30:00;119;4;0;0;4;96;30;96;36;14;1
2020-07-24 10:45:00;104;6;3;0;0;109;38;110;22;10;1
2020-07-24 11:00:00;131;2;0;0;3;104;38;105;32;19;0
2020-07-24 11:15:00;104;3;2;0;1;105;37;105;33;8;2
2020-07-24 11:30:00;95;5;1;0;0;122;35;121;26;10;0
2020-07-24 11:45:00;96;3;0;3;2;129;43;129;31;19;0
2020-07-24 12:00:00;118;3;1;0;2;135;30;135;44;13;3
2020-07-24 12:15:00;99;5;2;3;3;147;47;144;34;16;0
2020-07-24 12:30:00;134;3;2;0;0;115;27;114;33;13;0
2020-07-24 12:45:00;101;3;2;1;1;126;29;126;27;12;0
2020-07-24 13:00:00;122;5;4;1;0;133;35;131;22;18;0
2020-07-24 13:15:00;129;2;1;1;5;126;26;126;23;9;0
2020-07-24 13:30:00;115;4;2;0;2;157;17;156;21;10;0
2020-07-24 13:45:00;103;3;1;0;2;125;28;125;12;14;0
2020-07-24 14:00:00;117;3;0;0;0;133;25;133;18;7;1
2020-07-24 14:15:00;115;6;4;0;1;151;43;149;23;12;0
2020-07-24 14:30:00;106;4;3;1;2;165;37;164;28;16;2
2020-07-24 14:45:00;132;3;1;0;5;170;37;170;26;19;0
2020-07-24 15:00:00;136;2;0;0;5;146;29;147;37;14;1
2020-07-24 15:15:00;112;8;6;0;0;146;22;145;28;15;0
2020-07-24 15:30:00;133;4;2;1;4;115;26;116;18;15;0
2020-07-24 15:45:00;132;8;3;0;0;123;31;123;18;8;0
2020-07-24 16:00:00;105;4;1;0;2;130;18;131;18;7;2
2020-07-24 16:15:00;126;3;1;0;1;142;23;140;11;9;2
2020-07-24 16:30:00;122;1;0;0;1;125;19;125;15;7;2
2020-07-24 16:45:00;113;4;2;1;0;106;18;107;17;13;0
2020-07-24 17:00:00;114;7;3;0;2;110;17;108;18;4;0
2020-07-24 17:15:00;103;2;2;0;0;104;16;104;9;6;0
2020-07-24 17:30:00;107;7;3;2;1;116;14;117;15;7;3
2020-07-24 17:45:00;88;4;3;1;1;115;17;115;11;7;0
2020-07-24 18:00:00;93;3;0;0;3;93;19;94;14;6;0
2020-07-24 18:15:00;79;2;2;1;0;87;9;88;11;7;0
2020-07-24 18:30:00;84;5;2;0;2;79;7;78;8;6;0
2020-07-24 18:45:00;67;3;3;0;0;90;6;90;5;8;0
2020-07-24 19:00:00;58;7;5;0;1;81;6;80;6;4;0
2020-07-24 19:15:00;48;3;2;0;3;70;4;67;6;0;1
2020-07-24 19:30:00;35;1;2;0;0;64;0;64;1;1;1
2020-07-24 19:45:00;45;3;3;0;1;66;3;66;1;0;0
2020-07-24 20:00:00;36;2;0;0;1;70;3;69;4;1;1
2020-07-24 20:15:00;44;8;3;0;0;48;5;48;3;0;3
2020-07-24 20:30:00;32;3;2;1;0;49;2;49;0;0;0
2020-07-24 20:45:00;32;2;2;0;0;30;3;30;0;0;0
2020-07-24 21:00:00;43;10;7;0;0;52;4;52;6;4;0
2020-07-24 21:15:00;34;3;2;0;0;42;1;42;3;3;0
2020-07-24 21:30:00;29;3;2;0;2;29;0;29;0;1;0
2020-07-24 21:45:00;35;5;4;0;0;42;2;42;0;1;0
2020-07-24 22:00:00;35;4;2;0;1;40;5;40;2;1;0
2020-07-24 22:15:00;17;4;2;0;0;51;1;51;0;0;0
2020-07-24 22:30:00;25;3;1;0;0;26;3;26;2;0;0
2020-07-24 22:45:00;18;0;0;0;0;27;3;27;1;1;0
2020-07-24 23:00:00;24;6;2;1;1;30;1;30;0;0;0
2020-07-24 23:15:00;16;4;1;0;0;23;5;23;1;1;0
2020-07-24 23:30:00;19;5;2;0;0;22;0;22;0;0;0
