DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DC1);8(DC2);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC)
2020-01-11 00:00:00;40;11;13;5;0;0;3;49;0;0;0;0;0
2020-01-11 00:15:00;29;7;11;2;0;0;5;54;0;0;0;0;0
2020-01-11 00:30:00;24;4;7;0;1;0;1;50;0;0;0;0;0
2020-01-11 00:45:00;38;6;8;3;0;0;0;42;0;0;0;0;0
2020-01-11 01:00:00;23;3;6;0;1;0;2;29;0;0;0;0;0
2020-01-11 01:15:00;36;9;11;5;0;0;1;28;0;0;0;0;0
2020-01-11 01:30:00;20;6;7;5;0;0;0;25;0;0;0;0;0
2020-01-11 01:45:00;25;6;8;4;0;0;1;27;0;0;0;0;0
2020-01-11 02:00:00;16;2;3;1;2;2;1;20;0;0;0;0;0
2020-01-11 02:15:00;18;7;8;4;1;1;3;19;0;0;0;0;0
2020-01-11 02:30:00;16;3;3;4;0;0;1;11;0;0;0;0;0
2020-01-11 02:45:00;13;2;3;0;0;0;1;17;0;0;0;0;0
2020-01-11 03:00:00;12;6;6;3;0;0;0;11;0;0;0;0;0
2020-01-11 03:15:00;10;10;11;4;0;0;0;18;0;0;0;0;0
2020-01-11 03:30:00;1;0;1;0;0;0;0;11;0;0;0;0;0
2020-01-11 03:45:00;15;7;9;1;0;0;0;12;0;0;0;0;0
2020-01-11 04:00:00;11;2;4;1;0;0;0;10;0;0;0;0;0
2020-01-11 04:15:00;10;11;11;4;1;1;1;11;0;0;0;0;0
2020-01-11 04:30:00;9;3;2;1;1;1;2;7;0;0;0;0;0
2020-01-11 04:45:00;12;4;6;1;0;0;1;11;0;0;0;0;0
2020-01-11 05:00:00;13;5;5;2;0;0;0;14;0;0;0;0;0
2020-01-11 05:15:00;20;3;6;1;1;1;2;15;0;0;0;0;0
2020-01-11 05:30:00;23;8;13;2;2;2;0;33;0;0;0;0;0
2020-01-11 05:45:00;17;5;10;2;2;2;0;42;0;0;0;0;0
2020-01-11 06:00:00;20;7;5;3;2;2;1;25;0;0;0;0;0
2020-01-11 06:15:00;25;4;10;3;2;2;0;26;0;0;0;0;0
2020-01-11 06:30:00;19;3;6;2;0;0;0;31;0;0;0;0;0
2020-01-11 06:45:00;36;9;13;5;1;1;3;29;0;0;0;0;0
2020-01-11 07:00:00;29;6;13;5;1;2;0;35;0;0;0;0;0
2020-01-11 07:15:00;38;5;7;4;1;2;3;35;0;3;0;0;0
2020-01-11 07:30:00;49;11;18;6;4;4;4;59;0;2;0;0;0
2020-01-11 07:45:00;70;12;17;12;10;8;9;56;0;2;0;0;0
2020-01-11 08:00:00;58;9;13;3;11;12;7;54;0;1;0;0;0
2020-01-11 08:15:00;83;10;16;9;9;7;6;61;0;0;0;0;0
2020-01-11 08:30:00;93;14;20;11;31;16;12;100;0;1;0;0;0
2020-01-11 08:45:00;106;18;24;13;25;10;12;98;0;0;0;0;0
2020-01-11 09:00:00;90;10;22;8;23;15;12;116;2;1;0;0;0
2020-01-11 09:15:00;119;11;22;11;30;20;14;147;2;0;0;0;0
2020-01-11 09:30:00;118;17;28;16;11;14;14;162;0;0;0;0;0
2020-01-11 09:45:00;164;16;26;10;27;25;20;137;0;0;0;0;0
2020-01-11 10:00:00;130;17;19;13;25;17;13;201;1;1;0;0;0
2020-01-11 10:15:00;154;13;19;7;28;21;23;181;1;0;0;0;0
2020-01-11 10:30:00;160;11;19;10;17;20;12;196;1;0;0;0;0
2020-01-11 10:45:00;144;16;32;19;15;15;19;216;1;0;0;0;0
2020-01-11 11:00:00;178;19;22;14;21;18;24;232;0;0;0;0;0
2020-01-11 11:15:00;194;15;30;18;29;35;21;209;0;3;0;0;0
2020-01-11 11:30:00;187;20;24;17;24;24;16;225;1;0;0;0;0
2020-01-11 11:45:00;200;17;26;22;30;31;26;211;0;0;0;0;0
2020-01-11 12:00:00;188;18;17;11;19;19;18;207;0;1;0;0;0
2020-01-11 12:15:00;210;15;25;21;21;26;22;231;0;0;0;0;0
2020-01-11 12:30:00;219;13;21;14;37;37;17;230;0;0;0;0;0
2020-01-11 12:45:00;164;13;22;14;18;32;16;263;0;0;0;0;0
2020-01-11 13:00:00;189;13;19;12;26;27;20;259;0;1;0;0;0
2020-01-11 13:15:00;198;10;17;15;18;21;23;245;0;0;0;0;0
2020-01-11 13:30:00;194;16;19;14;17;19;29;226;1;0;0;0;0
2020-01-11 13:45:00;193;21;29;18;18;20;10;214;0;0;0;0;0
2020-01-11 14:00:00;218;14;23;7;31;35;17;250;0;1;0;0;0
2020-01-11 14:15:00;201;12;15;10;16;13;16;236;1;1;0;0;0
2020-01-11 14:30:00;165;11;21;12;14;14;6;214;2;1;0;0;0
2020-01-11 14:45:00;213;10;17;10;18;17;15;237;1;2;0;0;0
2020-01-11 15:00:00;209;7;25;7;17;16;6;212;1;0;0;0;0
2020-01-11 15:15:00;223;10;26;12;15;12;12;240;2;2;0;0;0
2020-01-11 15:30:00;184;15;22;11;8;10;6;221;2;0;0;0;0
2020-01-11 15:45:00;204;11;27;9;9;10;14;243;0;0;0;0;0
2020-01-11 16:00:00;178;15;24;11;10;11;6;223;0;0;0;0;0
2020-01-11 16:15:00;212;7;19;10;11;10;12;230;0;2;0;0;0
2020-01-11 16:30:00;203;10;17;4;12;10;15;223;1;0;0;0;0
2020-01-11 16:45:00;181;15;23;15;9;9;9;233;1;0;0;0;0
2020-01-11 17:00:00;205;8;17;6;14;13;8;241;1;1;0;0;0
2020-01-11 17:15:00;213;13;18;10;11;13;6;195;3;0;0;0;0
2020-01-11 17:30:00;187;15;22;12;11;12;13;211;3;4;0;0;0
2020-01-11 17:45:00;211;7;13;8;12;14;17;218;1;0;0;0;0
2020-01-11 18:00:00;196;8;14;5;7;5;10;194;4;0;0;0;0
2020-01-11 18:15:00;184;12;16;10;7;8;6;153;1;0;0;0;0
2020-01-11 18:30:00;185;7;16;6;5;6;11;187;0;1;0;0;0
2020-01-11 18:45:00;219;9;16;8;8;10;5;164;0;0;0;0;0
2020-01-11 19:00:00;201;12;25;8;4;3;2;161;0;0;0;0;0
2020-01-11 19:15:00;142;4;11;4;10;10;14;138;0;0;0;0;0
2020-01-11 19:30:00;175;18;28;13;7;8;8;148;2;0;0;0;0
2020-01-11 19:45:00;182;10;10;5;2;2;6;87;1;0;0;0;0
2020-01-11 20:00:00;182;12;19;9;3;5;7;107;0;0;0;0;0
2020-01-11 20:15:00;141;11;21;6;4;2;2;68;0;0;0;0;0
2020-01-11 20:30:00;95;13;21;6;7;5;6;91;0;0;0;0;0
2020-01-11 20:45:00;102;10;20;9;2;1;7;96;0;0;0;0;0
2020-01-11 21:00:00;104;8;13;3;7;6;12;79;0;1;0;0;0
2020-01-11 21:15:00;83;5;10;4;1;1;0;76;0;0;0;0;0
2020-01-11 21:30:00;71;4;10;3;2;3;2;84;0;0;0;0;0
2020-01-11 21:45:00;73;10;12;6;4;5;8;83;0;0;0;0;0
2020-01-11 22:00:00;90;8;9;1;5;5;4;91;0;0;0;0;0
2020-01-11 22:15:00;81;12;17;6;3;2;6;88;0;0;0;0;0
2020-01-11 22:30:00;91;8;13;3;3;2;3;84;0;0;0;0;0
2020-01-11 22:45:00;81;11;18;4;3;3;4;58;0;0;0;0;0
2020-01-11 23:00:00;71;10;12;4;2;3;2;62;0;0;0;0;0
2020-01-11 23:15:00;43;5;13;5;3;3;6;65;0;0;0;0;0
2020-01-11 23:30:00;41;4;8;2;4;4;5;58;0;0;0;0;0
2020-01-11 23:45:00;43;6;9;2;2;2;1;42;0;0;0;0;0
