DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DB1);7(TARDCL)
2020-11-13 00:00:00;3;9;10;5;0;0;0
2020-11-13 00:15:00;9;8;8;4;0;1;0
2020-11-13 00:30:00;6;6;12;5;1;0;0
2020-11-13 00:45:00;6;11;12;10;0;2;0
2020-11-13 01:00:00;7;13;11;2;0;2;0
2020-11-13 01:15:00;5;10;8;5;0;2;0
2020-11-13 01:30:00;5;5;8;4;0;1;0
2020-11-13 01:45:00;5;7;1;3;1;1;0
2020-11-13 02:00:00;8;4;5;4;0;0;0
2020-11-13 02:15:00;6;8;3;2;0;0;0
2020-11-13 02:30:00;2;3;3;6;1;0;0
2020-11-13 02:45:00;5;5;10;2;0;0;0
2020-11-13 03:00:00;2;3;4;1;0;0;0
2020-11-13 03:15:00;6;2;0;1;0;0;0
2020-11-13 03:30:00;1;4;4;3;0;1;0
2020-11-13 03:45:00;5;4;10;4;1;0;0
2020-11-13 04:00:00;5;5;4;6;0;0;0
2020-11-13 04:15:00;10;10;16;7;1;0;0
2020-11-13 04:30:00;16;9;14;6;1;2;0
2020-11-13 04:45:00;14;12;39;18;1;3;0
2020-11-13 05:00:00;22;25;105;33;4;3;0
2020-11-13 05:15:00;30;44;160;80;4;13;0
2020-11-13 05:30:00;50;81;196;114;8;16;0
2020-11-13 05:45:00;104;173;152;94;7;14;0
2020-11-13 06:00:00;156;204;127;86;27;11;0
2020-11-13 06:15:00;102;157;160;119;17;23;0
2020-11-13 06:30:00;77;106;191;168;13;39;0
2020-11-13 06:45:00;73;112;182;152;16;26;0
2020-11-13 07:00:00;66;88;157;112;28;27;0
2020-11-13 07:15:00;73;125;154;164;54;43;0
2020-11-13 07:30:00;71;119;177;180;44;37;1
2020-11-13 07:45:00;81;145;156;150;23;31;0
2020-11-13 08:00:00;85;132;129;124;21;30;4
2020-11-13 08:15:00;61;123;144;117;16;28;0
2020-11-13 08:30:00;69;128;122;131;17;29;0
2020-11-13 08:45:00;65;116;144;122;16;25;1
2020-11-13 09:00:00;67;101;91;90;13;24;0
2020-11-13 09:15:00;69;120;91;102;22;20;0
2020-11-13 09:30:00;66;107;101;132;32;26;0
2020-11-13 09:45:00;72;125;111;121;21;17;0
2020-11-13 10:00:00;65;109;91;107;13;13;0
2020-11-13 10:15:00;89;154;102;123;21;25;0
2020-11-13 10:30:00;88;130;105;116;25;30;2
2020-11-13 10:45:00;90;146;116;130;16;33;5
2020-11-13 11:00:00;82;151;109;110;28;17;0
2020-11-13 11:15:00;91;150;113;102;16;28;0
2020-11-13 11:30:00;106;160;110;134;26;24;6
2020-11-13 11:45:00;91;158;119;109;33;29;0
2020-11-13 12:00:00;115;198;128;134;20;36;0
2020-11-13 12:15:00;126;200;117;134;23;24;0
2020-11-13 12:30:00;138;200;126;151;25;25;0
2020-11-13 12:45:00;119;198;132;144;19;40;3
2020-11-13 13:00:00;132;212;137;152;28;50;0
2020-11-13 13:15:00;129;202;184;188;19;49;2
2020-11-13 13:30:00;126;201;212;153;25;48;2
2020-11-13 13:45:00;130;225;210;159;32;41;0
2020-11-13 14:00:00;178;249;159;147;30;24;0
2020-11-13 14:15:00;208;268;121;152;99;22;1
2020-11-13 14:30:00;212;273;130;159;40;34;0
2020-11-13 14:45:00;169;245;120;134;15;34;0
2020-11-13 15:00:00;170;246;117;136;17;47;9
2020-11-13 15:15:00;184;243;123;141;27;28;0
2020-11-13 15:30:00;148;205;134;135;22;46;0
2020-11-13 15:45:00;112;200;113;145;39;33;0
2020-11-13 16:00:00;113;224;120;152;34;32;0
2020-11-13 16:15:00;143;221;116;124;15;37;0
2020-11-13 16:30:00;108;170;120;175;23;29;0
2020-11-13 16:45:00;122;199;127;158;28;32;0
2020-11-13 17:00:00;119;189;121;141;23;29;0
2020-11-13 17:15:00;120;186;110;157;23;26;0
2020-11-13 17:30:00;116;173;89;145;20;22;23
2020-11-13 17:45:00;88;162;87;113;6;25;0
2020-11-13 18:00:00;92;152;100;120;12;22;0
2020-11-13 18:15:00;77;146;89;98;11;31;1
2020-11-13 18:30:00;74;142;82;91;15;26;0
2020-11-13 18:45:00;65;125;84;91;17;19;0
2020-11-13 19:00:00;74;105;92;79;8;12;0
2020-11-13 19:15:00;68;110;72;78;224;14;0
2020-11-13 19:30:00;60;96;62;57;9;22;0
2020-11-13 19:45:00;52;86;53;53;6;16;0
2020-11-13 20:00:00;61;98;54;58;6;15;0
2020-11-13 20:15:00;51;73;62;60;3;6;0
2020-11-13 20:30:00;26;49;61;51;5;9;0
2020-11-13 20:45:00;42;59;104;56;5;5;0
2020-11-13 21:00:00;36;53;145;77;5;12;0
2020-11-13 21:15:00;33;59;227;88;3;16;0
2020-11-13 21:30:00;31;53;126;72;4;19;0
2020-11-13 21:45:00;117;163;59;52;3;6;0
2020-11-13 22:00:00;152;200;37;29;2;5;0
2020-11-13 22:15:00;86;105;39;39;0;4;0
2020-11-13 22:30:00;28;39;44;28;0;5;0
2020-11-13 22:45:00;35;37;34;18;7;3;0
2020-11-13 23:00:00;24;40;32;23;1;3;0
2020-11-13 23:15:00;22;48;19;16;3;2;0
2020-11-13 23:30:00;17;22;15;9;0;4;0
2020-11-13 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
