DATUM;1(DA1);2(DRES);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFGC);9(TAFBA);10(TAFBC);11(TAFBD);12(TARES)
2019-11-16 21:00:00;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-16 21:15:00;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-16 21:30:00;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-16 21:45:00;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-16 22:00:00;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-16 22:15:00;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-16 22:30:00;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-16 22:45:00;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-16 23:00:00;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-16 23:15:00;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-16 23:30:00;0;0;0;0;0;0;0;0;0;0;0;0
2019-11-16 23:45:00;0;0;0;0;0;0;0;0;0;0;0;0
