DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2020-02-27 00:00:00;1;0;0;0;0;0;0;0
2020-02-27 00:15:00;1;1;2;1;0;0;0;0
2020-02-27 00:30:00;3;4;1;2;1;0;0;0
2020-02-27 00:45:00;3;2;4;2;0;0;0;0
2020-02-27 01:00:00;0;0;0;0;0;0;0;0
2020-02-27 01:15:00;1;1;0;0;0;0;0;0
2020-02-27 01:30:00;0;0;0;0;0;0;0;0
2020-02-27 01:45:00;0;0;0;0;0;0;0;0
2020-02-27 02:00:00;1;0;0;0;0;0;0;0
2020-02-27 02:15:00;1;2;1;1;0;0;0;0
2020-02-27 02:30:00;0;0;0;0;0;0;0;0
2020-02-27 02:45:00;0;0;0;0;0;0;0;0
2020-02-27 03:00:00;0;0;0;0;0;0;0;0
2020-02-27 03:15:00;1;1;0;0;1;0;0;0
2020-02-27 03:30:00;0;0;0;0;0;0;0;0
2020-02-27 03:45:00;0;1;1;0;0;0;0;0
2020-02-27 04:00:00;0;1;1;1;0;0;0;0
2020-02-27 04:15:00;0;0;0;0;0;0;0;0
2020-02-27 04:30:00;1;0;0;0;0;0;0;0
2020-02-27 04:45:00;4;2;2;2;0;0;0;0
2020-02-27 05:00:00;4;16;11;3;1;0;0;0
2020-02-27 05:15:00;10;34;35;18;2;0;0;0
2020-02-27 05:30:00;27;32;32;13;6;0;1;0
2020-02-27 05:45:00;20;55;54;13;13;0;0;0
2020-02-27 06:00:00;15;50;51;8;9;0;0;0
2020-02-27 06:15:00;13;55;51;6;3;0;0;0
2020-02-27 06:30:00;47;142;137;9;9;0;0;0
2020-02-27 06:45:00;64;139;133;15;9;2;0;2
2020-02-27 07:00:00;21;100;89;17;9;2;0;0
2020-02-27 07:15:00;24;93;98;17;5;0;0;0
2020-02-27 07:30:00;28;98;90;17;10;0;1;0
2020-02-27 07:45:00;40;74;82;15;13;0;2;0
2020-02-27 08:00:00;19;97;88;14;11;0;1;0
2020-02-27 08:15:00;21;71;69;8;9;0;0;0
2020-02-27 08:30:00;19;63;63;15;5;0;0;0
2020-02-27 08:45:00;20;37;34;8;10;0;0;0
2020-02-27 09:00:00;22;27;23;5;11;0;9;0
2020-02-27 09:15:00;28;25;23;4;9;0;0;0
2020-02-27 09:30:00;22;34;29;10;8;0;5;0
